"Name","RunTime","Rating","Votes"
"Houkutuslintu (1946)","1h 24min",5.8,61
"La fille du diable (1946)","1h 45min",7.1,71
"Asesinato en los estudios (1946)","1h 26min",6,7
"Les démons de l'aube (1946)","1h 40min",5.6,73
"Desiderio (1946)","1h 31min",6.3,175
"Kinokontsert k 25-letiyu Krasnoy Armii (1946)","1h 4min",6.4,11
"Paese senza pace (1946)","1h 20min",NA,NA
"Donde mueren las palabras (1946)","1h 16min",7.2,39
"The Best Years of Our Lives (1946)","2h 50min",8,57827
"Madách: Egy ember tragédiája (1946)","1h 29min",7.2,11
"Senza famiglia (1946)","1h 22min",6.2,9
"Burma Victory (1946)","1h 1min",6.8,21
"Campeón sin corona (1946)","1h 51min",7.4,123
"Canto ma sottovoce... (1946)","1h 25min",6.2,6
"Caravan (1946)","1h 57min",6.1,156
"Les clandestins (1946)","1h 16min",NA,NA
"Colonel Effingham's Raid (1946)","1h 12min",6,347
"Le couple idéal (1946)","1h 32min",5.9,38
"Es peligroso asomarse al exterior (1946)","1h 27min",NA,NA
"The Fighting Guardsman (1946)","1h 24min",5.7,95
"Die Fledermaus (1946)","1h 40min",7,96
"Genius at Work (1946)","1h 1min",5.3,287
"Guadalajara pues (1946)","1h 30min",NA,NA
"Here Comes the Sun (1946)","1h 31min",5.9,37
"L'insaisissable Frédéric (1946)","1h 40min",6.4,9
"Jericho (1946)","2h 19min",7.1,81
"Un ladrón de guante blanco (1946)","1h 31min",NA,NA
"A Letter for Evie (1946)","1h 29min",7,341
"Leyenda de feria (1946)","1h 39min",NA,NA
"Lightning Raiders (1946)","1h 1min",6,80
"Loyal Heart (1946)","1h 20min",5.6,24
"Malìa (1946)","1h 38min",NA,NA
"Miss Susie Slagle's (1946)","1h 28min",6.4,103
"Night Boat to Dublin (1946)","1h 40min",6.1,205
"Nuits d'alerte (1946)","2h",5.6,7
"O sole mio (1946)","1h 32min",7,7
"Partenza ore 7 (1946)","1h 30min",6.4,10
"Le pays sans étoiles (1946)","1h 40min",6.5,49
"Pepita Jiménez (1946)","1h 24min",6.6,35
"Pronto chi parla? (1946)","1h 20min",NA,NA
"Girl on the Spot (1946)","1h 15min",6.1,18
"Strange Voyage (1946)","1h 20min",6.4,12
"Strangler of the Swamp (1946)","59min",6.1,549
"Sylvie et le fantôme (1946)","1h 37min",7.1,283
"La tentation de Barbizon (1946)","1h 40min",7.7,57
"Il testimone (1946)","1h 38min",6.7,144
"They Knew Mr. Knight (1946)","1h 33min",6.5,43
"Tokyo Rose (1946)","1h 9min",5.4,36
"Un ami viendra ce soir... (1946)","2h 5min",6.6,75
"Unter den Brücken (1946)","1h 39min",7.5,683
"Visul unei nopti de iarna (1946)","58min",7.8,81
"The Voice Within (1946)","1h 14min",NA,NA
"Vértigo (1946)","1h 22min",7.3,61
"Zigmund Kolosovskiy (1946)","1h 18min",5.6,9
"100 dragspel och en flicka (1946)","1h 30min",4.9,32
"13 Rue Madeleine (1946)","1h 35min",6.9,2675
"91:an Karlsson (1946)","1h 28min",5.1,95
"Abbasso la ricchezza! (1946)","1h 33min",6.5,168
"Abie's Irish Rose (1946)","1h 36min",5.4,73
"Abilene Town (1946)","1h 29min",6.3,858
"Accomplice (1946)","1h 8min",5.3,147
"L'adultera (1946)","1h 47min",NA,NA
"I See a Dark Stranger (1946)","1h 52min",7,1315
"Affairs of Geraldine (1946)","1h 8min",6.3,15
"Albergo Luna camera 34 (1946)","1h 25min",5.3,15
"Alias Mr. Twilight (1946)","1h 9min",6,44
"L'amante del male (1946)","1h 25min",NA,NA
"Amanti in fuga (1946)","1h 30min",NA,NA
"Ambush Trail (1946)","1h",6,71
"Un americano in vacanza (1946)","1h 50min",5.6,54
"Angel on My Shoulder (1946)","PG",6.8,2436
"L'angelo e il diavolo (1946)","1h 28min",NA,NA
"Anmol Ghadi (1946)","2h 2min",7.3,62
"Anna and the King of Siam (1946)","2h 8min",7,2173
"Aquila nera (1946)","1h 37min",6.2,84
"Asu o tsukuru hitobito (1946)","1h 22min",6.1,151
"Audiencia pública (1946)","1h 37min",5.9,18
"Avalanche (1946)","1h 10min",5.2,34
"Bad Bascomb (1946)","1h 52min",6.8,456
"Badman's Territory (1946)","1h 37min",6.3,651
"Ballongen (1946)","1h 40min",6,34
"The Bamboo Blonde (1946)","1h 7min",5.7,332
"The Bandit of Sherwood Forest (1946)","1h 26min",5.8,408
"Il bandito (1946)","1h 23min",6.8,277
"Barbacka (1946)","1h 40min",4.2,5
"Bataille du rail (1946)","1h 25min",7,834
"Beale Street Mama (1946)","1h",NA,NA
"The Beast with Five Fingers (1946)","PG",6.6,2424
"Beauty and the Bandit (1946)","1h 17min",6.6,56
"Because of Him (1946)","1h 28min",6.8,275
"Bedelia (1946)","1h 30min",6.7,216
"Bedlam (1946)","1h 19min",6.8,3532
"Begär (1946)","1h 38min",3.2,5
"Behind Green Lights (1946)","1h 4min",6.4,718
"Behind the Mask (1946)","1h 8min",5.2,130
"La belle et la bête (1946)","1h 36min",7.9,24449
"Below the Deadline (1946)","1h 5min",5.3,87
"Bespokoynoe khozyaystvo (1946)","1h 25min",7,74
"Betty Co-Ed (1946)","1h 8min",6.5,11
"Beware of Pity (1946)","1h 45min",6.3,205
"The Big Sleep (1946)","(Banned)",7.9,79332
"Billet mrk. (1946)","1h 41min",6.5,24
