"Name","RunTime","Rating","Votes"
"Ma l'amor mio non muore... (1914)","1h 30min",6.1,109
"The Active Life of Dolly of the Dailies (1914)","2h 50min",6.1,47
"The Avenging Conscience: or 'Thou Shalt Not Kill' (1914)","1h 18min",6.4,1147
"The Bargain (1914)","1h 10min",6.5,158
"Beating Back (1914)","1h",6.1,11
"Behind the Scenes (1914)","1h 15min",6.5,22
"The Beloved Adventurer (1914)","7h 30min",6.5,11
"Cabiria (1914)","2h 28min",7.1,3226
"Captain Alvarez (1914)","1h",8.2,5
"Damon and Pythias (1914)","1h 40min",5.5,13
"The Escape (1914)","1h",6.1,15
"Fantômas contre Fantômas (1914)","59min",6.9,1199
"Le faux magistrat (1914)","1h 10min",6.9,970
"A Florida Enchantment (1914)","1h 3min",5.7,216
"För sin kärleks skull (1914)","1h 4min",NA,NA
"The Ghost Breaker (1914)","1h",5.2,19
"Cajus Julius Caesar (1914)","1h 52min",6.2,43
"The Hazards of Helen (1914)","23h 48min",7,84
"Det hemmelighedsfulde X (1914)","1h 24min",6.9,526
"His Majesty the Scarecrow of Oz (1914)","59min",5.2,425
"Der Hund von Baskerville (1914)","1h 5min",5.5,65
"In the Land of the Head Hunters (1914)","1h 5min",5.8,414
"Judith of Bethulia (1914)","1h 1min",6.1,1259
"The Last Volunteer (1914)","1h 14min",5.9,7
"The Life of General Villa (1914)","1h 45min",6.6,37
"Lucille Love: The Girl of Mystery (1914)","5h",6.7,7
"Manon Lescaut (1914)","1h",NA,NA
"The Master Cracksman (1914)","1h 12min",NA,NA
"The Master Key (1914)","5h 10min",5.4,11
"McVeagh of the South Seas (1914)","59min",5.6,14
"Ned Med Vaabnene (1914)","1h 13min",5.8,26
"Nemye svideteli (1914)","1h 5min",5.7,87
"Neptune's Daughter (1914)","1h 10min",6.5,27
"The Patchwork Girl of Oz (1914)","1h 21min",5.5,398
"The Perils of Pauline (1914)","3h 19min",6.3,942
"The Port of Missing Men (1914)","2h 19min",NA,NA
"Prästen (1914)","1h 39min",NA,NA
"Le chevalier de Maison-Rouge (1914)","1h 49min",5.8,35
"Salomy Jane (1914)","1h 25min",6.1,43
"The Sign of the Cross (1914)","1h 10min",6.1,38
"Soldiers of Fortune (1914)","1h",NA,NA
"The Spoilers (1914)","1h 50min",6.3,55
"The Squaw Man (1914)","1h 14min",5.7,896
"Stormfågeln (1914)","1h 4min",NA,NA
"Stuart Webbs: Das Panzergewölbe (1914)","1h",NA,NA
"Stuart Webbs: Der Spuk im Haus des Professors (1914)","58min",NA,NA
"Tess of the Storm Country (1914)","1h 20min",6,187
"Tillie's Punctured Romance (1914)","1h 22min",6.3,3303
"The Trey o' Hearts (1914)","5h 10min",2.3,11
"Your Girl and Mine: A Woman Suffrage Play (1914)","1h 10min",NA,NA
"Strejken (1914)","1h 18min",NA,NA
"Salainen perintömääräys (1914)","1h 2min",NA,NA
"The Photo-Drama of Creation (1914)","8h",6.5,235
"Sperduti nel buio (1914)","1h 6min",6.2,5
"Tuiskusen kuherruskuukausi (1914)","3h",NA,NA
"Scuola d'eroi (1914)","1h 48min",NA,NA
"Le roman d'un mousse (1914)","1h 36min",6.8,60
"Fräulein Leutnant (1914)","58min",NA,NA
"Christus (1914)","1h 9min",7.1,11
"Rocambole (1914)","3h 20min",6.4,8
"Die badende Nymphe (1914)","1h",NA,NA
"Life in Japan (1914)","1h 19min",6.8,19
"The Difficult Way (1914)","1h 16min",NA,NA
"Impressioni del Reno (1914)","1h 33min",NA,NA
"Das Heldenmädchen aus den Vogesen (1914)","1h 11min",NA,NA
"Theodor Körner (1914)","1h",5.7,7
"With the Army of France (1914)","1h 24min",NA,NA
