"Name","RunTime","Rating","Votes"
"Mustalaishurmaaja (1929)","1h 9min",6.4,59
"The Wrecker (1929)","1h 14min",7.2,51
"Die Frau nach der man sich sehnt (1929)","1h 16min",6.7,216
"After the Verdict (1929)","1h 44min",4.6,7
"The Bellamy Trial (1929)","1h 35min",6.2,5
"Die Büchse der Pandora (1929)","1h 49min",7.8,9923
"Cagliostro - Liebe und Leben eines großen Abenteurers (1929)","58min",6.6,94
"The Four Feathers (1929)","1h 21min",6.9,270
"High Treason (1929)","1h 35min",6.1,130
"Man Woman and Wife (1929)","1h 10min",NA,NA
"Plenniki morya (1929)","1h 10min",NA,NA
"Sole! (1929)","1h 16min",5.3,18
"Times Square (1929)","1h 18min",NA,NA
"The Veiled Woman (1929)","58min",9.2,6
"Waterloo (1929)","2h",6.6,27
"Weary River (1929)","1h 26min",6.1,417
"Zhivoy trup (1929)","1h 22min",6.8,119
"'Neath Western Skies (1929)","1h",6.4,9
"The Ace of Scotland Yard (1929)","3h 35min",6.1,9
"Acquitted (1929)","1h 3min",NA,NA
"After the Fog (1929)","1h 2min",6.2,18
"The Air Legion (1929)","1h 10min",NA,NA
"Alibi (1929)","1h 31min",5.8,707
"All at Sea (1929)","59min",NA,NA
"The Amazing Vagabond (1929)","1h",NA,NA
"The American Prisoner (1929)","1h 16min",8,5
"Andreas Hofer (1929)","1h 31min",3.5,13
"Anne Against the World (1929)","1h 2min",NA,NA
"L'appassionata (1929)","1h 10min",NA,NA
"Applause (1929)","1h 20min",7,1294
"The Argyle Case (1929)","1h 25min",7,5
"Arsenal (1929)","1h 33min",7.3,1860
"Asphalt (1929)","1h 30min",7.4,1359
"Atlantik (1929)","1h 54min",6.5,30
"Atlantic (1929)","1h 27min",5.4,201
"The Aviator (1929)","1h 15min",7.1,9
"The Awful Truth (1929)","1h 20min",7.4,9
"The Bachelor Girl (1929)","1h 6min",NA,NA
"Battle of Paris (1929)","1h 20min",6.4,24
"Behind Closed Doors (1929)","1h 10min",5.7,9
"Behind That Curtain (1929)","1h 31min",4.8,408
"Betrayal (1929)","1h 18min",5.9,21
"The Big Diamond Robbery (1929)","1h 5min",NA,NA
"Big News (1929)","1h 15min",5.5,216
"Big Time (1929)","1h 27min",7.3,15
"The Black Book (1929)","3h 20min",6.8,8
"Black Magic (1929)","1h 6min",NA,NA
"The Black Watch (1929)","1h 33min",5.7,267
"Black Waters (1929)","1h 24min",NA,NA
"Blackmail (1929)","1h 25min",7,9778
"Blaze o' Glory (1929)","1h 18min",NA,NA
"Le bled (1929)","1h 44min",6.5,85
"Blue Skies (1929)","1h",NA,NA
"Tetri mkhedari (1929)","1h 10min",6.9,27
"Border Romance (1929)","1h 11min",6.2,25
"Das brennende Herz (1929)","1h 20min",NA,NA
"The Bridge of San Luis Rey (1929)","1h 26min",7.2,47
"The Vagabond Queen (1929)","1h 2min",7.3,15
"Broadway (1929)","1h 44min",6.1,354
"Broadway Babies (1929)","1h 26min",6.2,159
"Broadway Fever (1929)","1h 2min",NA,NA
"The Broadway Hoofer (1929)","1h 3min",NA,NA
"The Broadway Melody (1929)","1h 40min",5.7,6583
"Broadway Scandals (1929)","1h 13min",6,7
"Brüder (1929)","1h 24min",6.6,43
"Bulldog Drummond (1929)","1h 30min",6.4,900
"Bye Bye Buddy (1929)","1h 3min",NA,NA
"Campus Knights (1929)","1h 1min",5.1,7
"The Canary Murder Case (1929)","1h 22min",6,587
"Le capitaine Fracasse (1929)","1h 32min",6.7,170
"Careers (1929)","1h 32min",NA,NA
"The Careless Age (1929)","1h 5min",5.7,38
"The Carnation Kid (1929)","1h 16min",NA,NA
"The Case of Lena Smith (1929)","1h 20min",6.5,22
"The Charlatan (1929)","1h",7.4,23
"Charming Sinners (1929)","1h 6min",6.2,63
"Chelovek s kino-apparatom (1929)","1h 8min",8.4,22905
"Children of the Ritz (1929)","1h 11min",NA,NA
"China Bound (1929)","1h 14min",NA,NA
"Chinatown Nights (1929)","1h 23min",6.2,79
"Christina (1929)","1h 25min",5.6,5
"City of Play (1929)","1h 20min",5.6,5
"Clear the Decks (1929)","1h 10min",NA,NA
"Close Harmony (1929)","1h 10min",7,21
"The Clue of the New Pin (1929)","1h 21min",5.6,7
"The Cock-Eyed World (1929)","1h 58min",5.8,55
"The Cocoanuts (1929)","1h 36min",7,7098
"The Cohens and Kellys in Atlantic City (1929)","1h 10min",6.7,7
"The College Coquette (1929)","1h",5.8,8
"College Love (1929)","1h 20min",NA,NA
"Come Across (1929)","1h",NA,NA
"Come and Get It! (1929)","1h",NA,NA
"Condemned! (1929)","1h 26min",6.4,367
"Coquette (1929)","1h 16min",5.8,2015
"Courtin' Wildcats (1929)","58min",NA,NA
"The Crooked Billet (1929)","1h 22min",NA,NA
"Daigaku wa detakeredo (1929)","1h 10min",6.4,407
"Dance Hall (1929)","59min",5.2,93
"The Dance of Life (1929)","1h 55min",6.5,270
"Dangerous Curves (1929)","1h 15min",5.9,115
"A Dangerous Woman (1929)","1h 20min",5.2,31
"Dark Red Roses (1929)","1h 3min",6.8,5
"Dark Streets (1929)","1h",5.6,14
"Darkened Rooms (1929)","1h 6min",6.6,29
"Daughters of Desire (1929)","1h 6min",NA,NA
"The Delightful Rogue (1929)","1h 4min",5.7,51
"Desert Nights (1929)","1h 2min",6.5,1083
"The Desert Rider (1929)","1h",NA,NA
"The Desert Song (1929)","2h 3min",6.7,85
"Devil-May-Care (1929)","1h 37min",6.2,105
"The Devil's Chaplain (1929)","1h",7.2,6
"The Devil's Pit (1929)","1h 4min",NA,NA
"Disraeli (1929)","1h 30min",6.1,1065
"Divorce Made Easy (1929)","1h",NA,NA
"The Doctor's Secret (1929)","1h 1min",6,5
"The Donovan Affair (1929)","1h 23min",6.2,77
"Drag (1929)","1h 25min",6.7,32
"The Duke Steps Out (1929)","1h 2min",3,117
"The Dummy (1929)","1h",6.1,14
"Durchs Brandenburger Tor. So lang' noch untern Linden ... (1929)","1h 40min",5.4,5
"Dynamite (1929)","2h 9min",7.1,379
"East Side Sadie (1929)","1h",NA,NA
"Erotikon (1929)","1h 25min",7.2,497
"Es flüstert die Nacht (1929)","1h 25min",NA,NA
"Eternal Love (1929)","1h 11min",6.8,455
"The Eternal Woman (1929)","1h",NA,NA
"Evangeline (1929)","1h 27min",6.6,135
"The Exalted Flapper (1929)","1h 1min",NA,NA
"Eyes of the Underworld (1929)","1h 18min",NA,NA
"The Faker (1929)","1h 1min",6.2,5
"The Far Call (1929)","59min",7,8
"The Fall of Eve (1929)","1h 7min",NA,NA
"Fancy Baggage (1929)","1h 20min",NA,NA
"Fashions in Love (1929)","1h 13min",NA,NA
"Fast Company (1929)","1h 10min",6,11
"Fast Life (1929)","1h 30min",5.8,34
"The Fatal Warning (1929)","3h 20min",2.6,11
"Father and Son (1929)","1h 7min",NA,NA
"Fighters of the Saddle (1929)","1h 2min",NA,NA
"The Fire Detective (1929)","3h 20min",5,7
"Flight (1929)","1h 50min",6,267
"The Flying Fleet (1929)","1h 40min",6.7,237
"The Flying Fool (1929)","1h 3min",5.4,47
"The Flying Marine (1929)","1h 5min",3.9,11
"Footlights and Fools (1929)","1h 18min",7.4,8
"The Forward Pass (1929)","1h 18min",5.3,60
"Fox Movietone Follies of 1929 (1929)","1h 20min",7,10
"Fra Chr. Michelsen til Kronprins Olav og Prinsesse Martha (1929)","1h 23min",NA,NA
"Frau im Mond (1929)","2h 36min",7.3,3077
"From Headquarters (1929)","1h 10min",NA,NA
"Frozen Justice (1929)","1h 13min",5.5,13
"Frozen River (1929)","1h 1min",7.1,7
"Fräulein Else (1929)","1h 30min",6.9,139
"Fugitives (1929)","1h",NA,NA
"Gentlemen of the Press (1929)","1h 15min",7.1,67
"The Ghost Talks (1929)","1h 1min",6.1,9
"Giftgas (1929)","1h 27min",6.4,9
"The Girl from Havana (1929)","1h 5min",NA,NA
"The Girl from Woolworth's (1929)","1h",7.8,6
"The Girl in the Show (1929)","1h 22min",5.2,116
"The Girl on the Barge (1929)","1h 20min",5.8,33
"Glad Rag Doll (1929)","1h 10min",5.2,43
"Glorifying the American Girl (1929)","1h 35min",5.8,637
"Gold Diggers of Broadway (1929)","1h 41min",6.7,145
"Goluboy ekspress (1929)","1h 2min",6.3,112
"The Great Divide (1929)","1h 12min",5.2,121
"The Great Gabbo (1929)","1h 32min",6.1,733
"The Great Power (1929)","1h 30min",NA,NA
"The Greene Murder Case (1929)","1h 9min",6.5,305
"Großstadtschmetterling (1929)","1h 30min",7,27
"Das grüne Monokel (1929)","1h 20min",NA,NA
"Half Marriage (1929)","1h 8min",5.7,119
"Half Way to Heaven (1929)","1h 6min",6.7,44
"Hallelujah (1929)","1h 49min",6.8,1618
"Hallo! Afrika forude! (1929)","2h 25min",NA,NA
"Hard to Get (1929)","1h 20min",NA,NA
"The Hate Ship (1929)","1h 23min",6.4,14
"Hearts in Dixie (1929)","1h 11min",6.5,15
"Hearts in Exile (1929)","1h 22min",5.6,44
"Hell's Heroes (1929)","1h 8min",7.2,664
"Her Private Affair (1929)","1h 10min",5.1,123
"Her Private Life (1929)","1h 20min",NA,NA
"High Seas (1929)","1h 11min",5.6,11
"High Voltage (1929)","1h 3min",5.3,301
"His Captive Woman (1929)","1h 20min",7.5,11
"His First Command (1929)","1h 5min",6,24
"His Glorious Night (1929)","1h 20min",8.5,47
"His Lucky Day (1929)","1h",NA,NA
"Hjärtats triumf (1929)","1h 34min",6.4,30
"Hold Your Man (1929)","1h",9,6
"The Hole in the Wall (1929)","1h 13min",5.8,144
"The Hollywood Revue of 1929 (1929)","2h 10min",5.9,1857
"Honky Tonk (1929)","1h 11min",7.2,8
"Hot Stuff (1929)","1h 10min",NA,NA
"The Hottentot (1929)","1h 19min",NA,NA
"Seven Footprints to Satan (1929)","1h",6.6,333
"Howdy Broadway (1929)","1h 10min",4.3,20
"Der Hund von Baskerville (1929)","1h 5min",6.7,89
"Ich küsse Ihre Hand Madame (1929)","1h 6min",6.1,124
"The Idle Rich (1929)","1h 20min",5.9,125
"Illusion (1929)","1h 24min",7.5,20
"In Old California (1929)","1h",7.2,5
"The Informer (1929)","1h 23min",7.1,190
"Innocents of Paris (1929)","1h 18min",7.3,28
"The Invaders (1929)","1h 2min",NA,NA
"The Iron Mask (1929)","1h 35min",7,1161
"Is Everybody Happy? (1929)","1h 20min",NA,NA
"The Isle of Lost Ships (1929)","1h 24min",NA,NA
"It Can Be Done (1929)","1h 10min",NA,NA
"It's a Great Life (1929)","1h 33min",6,269
"The Jazz Age (1929)","1h 2min",8.3,6
"Jazz Heaven (1929)","1h 8min",6.1,97
"Jealousy (1929)","1h 6min",NA,NA
"José do Telhado (1929)","2h 57min",NA,NA
"The Kid's Clever (1929)","1h 4min",NA,NA
"The King of the Kongo (1929)","3h 33min",5.8,35
"The Kiss (1929)","1h 2min",6.9,969
"Kitty (1929)","1h 35min",4.8,8
"Konstgjorda Svensson (1929)","1h 21min",5.2,16
"Kys klap og kommers (1929)","2h 29min",6.6,9
"Die Königsloge (1929)","1h 16min",NA,NA
"The Lady Lies (1929)","1h 15min",6.6,73
"Lady of the Pavements (1929)","1h 25min",7.1,74
"Laila (1929)","2h 45min",7.3,233
"Das Land ohne Frauen (1929)","1h 58min",NA,NA
"The Lariat Kid (1929)","1h",NA,NA
"The Last Performance (1929)","1h",6.7,338
"The Last of Mrs. Cheyney (1929)","1h 34min",6.1,437
"The Laughing Lady (1929)","1h 20min",6.8,39
"Laughing at Death (1929)","1h",5.3,7
"The Leatherneck (1929)","1h 5min",6.2,80
"The Letter (1929)","1h 5min",6.7,637
"Light Fingers (1929)","1h 10min",NA,NA
"Linda (1929)","1h 15min",6.8,108
"Little Johnny Jones (1929)","1h 14min",7.2,6
"The Locked Door (1929)","1h 14min",6,442
"The Lone Wolf's Daughter (1929)","1h 12min",NA,NA
"The Long Long Trail (1929)","58min",6.6,8
"Lost Patrol (1929)","1h 15min",6.3,15
"The Lost Zeppelin (1929)","1h 12min",5.5,102
"The Love Doctor (1929)","1h 1min",NA,NA
"The Love Parade (1929)","1h 47min",7,2003
"The Love Racket (1929)","1h 14min",7,6
"The Love Trap (1929)","1h 11min",6.5,176
"Love and the Devil (1929)","1h 10min",NA,NA
