"Name","RunTime","Rating","Votes"
"Estaba escrito (1949)","1h 29min",NA,NA
"Figaros Hochzeit (1949)","1h 47min",7.2,11
"Monaca santa (1949)","1h 25min",NA,NA
"Münchnerinnen (1949)","1h 26min",4.4,8
"Wie sagen wir es unseren Kindern? (1949)","1h 29min",7.4,10
"Addio Mimí! (1949)","1h 28min",6,5
"Night Unto Night (1949)","1h 24min",5.8,339
"Noche de Reyes (1949)","1h 27min",NA,NA
"Once Upon a Dream (1949)","1h 27min",5.9,73
"Le silence de la mer (1949)","1h 27min",7.6,4425
"The Accused (1949)","1h 41min",6.8,768
"Allá en el Rancho Grande (1949)","1h 38min",7.1,77
"Les amants de Vérone (1949)","1h 45min",6.6,239
"Aquellas palabras (1949)","1h 22min",NA,NA
"Le mura di Malapaga (1949)","1h 44min",6.8,770
"L'auberge du péché (1949)","1h 48min",NA,NA
"Badger's Green (1949)","1h 2min",7.8,6
"Calabacitas tiernas (1949)","1h 41min",7.4,248
"El capitán de Loyola (1949)","1h 40min",6,22
"Caught (1949)","1h 28min",7,3254
"Cenerentola (1949)","1h 36min",7,8
"Chicken Every Sunday (1949)","1h 34min",6.3,232
"La città dolente (1949)","1h 50min",6.8,89
"Currito de la Cruz (1949)","1h 38min",5.8,29
"La dama del velo (1949)","1h 44min",7,7
"Dernier amour (1949)","1h 39min",5.5,20
"Doce horas de vida (1949)","1h 24min",NA,NA
"Don Juan de Serrallonga (1949)","1h 30min",6.6,34
"En un rincón de España (1949)","1h 49min",NA,NA
"La familia Pérez (1949)","1h 33min",7.6,84
"Una familia de tantas (1949)","2h 10min",7.8,276
"La ferme des sept péchés (1949)","1h 30min",6.8,65
"The Fool and the Princess (1949)","1h 12min",4.5,12
"Forbidden (1949)","1h 27min",6.6,173
"Forró mezök (1949)","1h 34min",7.3,13
"¡Fuego! (1949)","1h 25min",NA,NA
"Guglielmo Tell (1949)","1h 31min",5.7,6
"Hay lugar para... dos (1949)","1h 58min",6.6,9
"Tômei ningen arawaru (1949)","1h 22min",6.2,72
"It's Not Cricket (1949)","1h 17min",6.2,134
"Jalisco canta en Sevilla (1949)","1h 53min",6.9,31
"Jean de la Lune (1949)","1h 34min",6.2,21
"Jour de fête (1949)","1h 10min",7.3,7630
"Lang ist der Weg (1949)","1h 17min",7.6,35
"La leggenda di Faust (1949)","1h 27min",7.2,18
"Liebe '47 (1949)","1h 58min",7.4,70
"Lola Casanova (1949)","1h 31min",6.9,18
"The Golden Madonna (1949)","1h 28min",6.6,22
"Man on the Run (1949)","1h 22min",6.7,226
"Michurin (1949)","1h 21min",6,106
"La mies es mucha (1949)","2h 22min",5.6,21
"The Glass Mountain (1949)","1h 39min",6.4,241
"Il mulino del Po (1949)","1h 37min",6.8,135
"Una noche en blanco (1949)","1h 20min",NA,NA
"Once a Jolly Swagman (1949)","1h 40min",6.5,209
"Philine (1949)","1h 13min",NA,NA
"Portrait from Life (1949)","1h 30min",6.6,127
"Prejudice (1949)","58min",NA,NA
"Prince of the Plains (1949)","59min",6.8,6
"Pueblerina (1949)","1h 51min",7.2,198
"Riso amaro (1949)","1h 48min",7.7,3740
"Salón México (1949)","1h 35min",7.3,459
"Le secret de Mayerling (1949)","1h 30min",6.5,49
"La sepolta viva (1949)","1h 23min",6,5
"Siempre vuelven de madrugada (1949)","1h 27min",6,10
"Le signal rouge (1949)","1h 38min",6.3,19
"Silent Dust (1949)","1h 22min",6.8,208
"Siren of Atlantis (1949)","1h 15min",5.8,196
"The Sun Comes Up (1949)","1h 33min",6.5,339
"Third Time Lucky (1949)","1h 30min",5.8,81
"Ti ritroverò (1949)","1h 20min",NA,NA
"Tri vstrechi (1949)","1h 20min",6.1,18
"Tuya para siempre (1949)","1h 19min",6.6,5
"Une si jolie petite plage (1949)","1h 31min",7.3,615
"Vengeance Is Mine (1949)","59min",5.8,89
"Vertigine d'amore (1949)","1h 33min",NA,NA
"Vida en sombras (1949)","1h 30min",7.4,245
"Uma Vida para Dois (1949)","1h 37min",NA,NA
"Warning to Wantons (1949)","1h 45min",5.8,24
"Kvinna i vitt (1949)","1h 27min",4.8,19
"L'école buissonnière (1949)","1h 29min",6.9,167
"Aaltoska orkaniseeraa (1949)","1h 17min",5.2,40
"Abandoned (1949)","1h 19min",6.5,324
"Bud Abbott Lou Costello Meet the Killer Boris Karloff (1949)","1h 24min",6.9,3614
"Adam and Evelyne (1949)","1h 32min",6.3,481
"Adam's Rib (1949)","1h 41min",7.5,19657
"Adamo ed Eva (1949)","1h 27min",5.6,11
"Adventure in Baltimore (1949)","1h 29min",6.1,411
"The Adventures of Ichabod and Mr. Toad (1949)","1h 8min",7,13540
"The Adventures of P.C. 49: Investigating the Case of the Guardian Angel (1949)","1h 7min",6,62
"The Adventures of Sir Galahad (1949)","4h 12min",6.8,67
"Africa Screams (1949)","1h 19min",6.2,3518
"Air Hostess (1949)","1h",5.3,30
"Akademik Ivan Pavlov (1949)","1h 43min",6.1,29
"Al diavolo la celebrità (1949)","1h 30min",6,69
"Alaska Patrol (1949)","1h 5min",6.1,18
"Aleksandr Popov (1949)","1h 39min",7.2,36
"Alias Nick Beal (1949)","1h 33min",7.1,775
"Alias the Champ (1949)","1h",6.2,37
"Alimony (1949)","1h 10min",5.5,120
"All Over the Town (1949)","1h 23min",6.6,179
"All the King's Men (1949)","1h 50min",7.5,13544
"Altura (1949)","1h 28min",6.3,7
"Always Leave Them Laughing (1949)","1h 56min",5.9,331
"Amazon Quest (1949)","1h 15min",6.2,32
"El amor brujo (1949)","1h 15min",NA,NA
"And Baby Makes Three (1949)","1h 24min",5.9,158
"Andaz (1949)","2h 28min",7.3,482
"Angels in Disguise (1949)","1h 3min",6.8,224
"Anna Lucasta (1949)","1h 26min",6.6,106
"Antonio di Padova (1949)","1h 21min",6.6,8
"Any Number Can Play (1949)","1h 52min",6.9,790
"Apache Chief (1949)","1h",6,22
"Arctic Fury (1949)","1h 1min",5.6,116
"Arctic Manhunt (1949)","1h",4.6,7
"Arson Inc. (1949)","1h 3min",5.3,164
"Au royaume des cieux (1949)","1h 48min",7.2,94
"Aventuras de Esparadrapo (1949)","1h",2.8,16
"Aventuras de Juan Lucas (1949)","1h 32min",4.6,19
"Il bacio di una morta (1949)","1h 21min",NA,NA
"Bad Boy (1949)","1h 26min",6.8,268
"The Bad Lord Byron (1949)","1h 25min",5.2,100
"Badmen of Tombstone (1949)","1h 15min",6.4,102
"Bagdad (1949)","1h 22min",5.4,338
"Der Bagnosträfling (1949)","1h 46min",5.4,5
"Bandit King of Texas (1949)","1h",6.9,50
"Banshun (1949)","1h 48min",8.3,14883
"Bara en mor (1949)","1h 32min",6.9,104
"Barbary Pirate (1949)","1h 5min",5.5,37
"The Barkleys of Broadway (1949)","1h 49min",7,2783
"Barry (1949)","2h",6.4,39
"Barsaat (1949)","2h 51min",7.8,565
"Batman and Robin (1949)","4h 23min",6.1,1628
"Battleground (1949)","1h 58min",7.4,6617
"The Beautiful Blonde from Bashful Bend (1949)","1h 17min",6.1,743
"Bergkristall (1949)","1h 26min",5.7,11
"Beyond the Forest (1949)","1h 37min",7,2189
"Biancaneve e i sette ladri (1949)","1h 22min",5.6,14
"Der Biberpelz (1949)","1h 37min",7.6,9
"The Big Cat (1949)","1h 15min",5.3,183
"Big Jack (1949)","1h 25min",6.1,174
"The Big Sombrero (1949)","1h 22min",5.6,111
"The Big Steal (1949)","1h 11min",7,4158
"The Big Wheel (1949)","1h 32min",5.7,454
"Black Magic (1949)","1h 45min",6.4,1030
"Black Midnight (1949)","1h 6min",6.4,50
"L'Équateur aux cent visages (1949)","1h 8min",NA,NA
"The Blazing Trail (1949)","59min",6.9,45
