"Name","RunTime","Rating","Votes"
"Fausse alerte (1945)","1h 30min",6.4,68
"La vie de bohème (1945)","2h",6.3,49
"L'abito nero da sposa (1945)","1h 28min",NA,NA
"All'ombra della gloria (1945)","1h 27min",NA,NA
"La boîte aux rêves (1945)","1h 40min",5.9,46
"La casa senza tempo (1945)","1h 25min",NA,NA
"Falbalas (1945)","1h 51min",7.1,436
"La freccia nel fianco (1945)","1h 30min",6.8,16
"Freunde (1945)","1h 28min",NA,NA
"Lettere al sottotenente (1945)","1h 31min",NA,NA
"Nessuno torna indietro (1945)","1h 35min",6.3,24
"Non canto più (1945)","1h 16min",NA,NA
"I Was a Criminal (1945)","1h 11min",7.9,27
"Quartieri alti (1945)","1h 22min",5.8,25
"Las abandonadas (1945)","1h 43min",7,133
"The Agitator (1945)","1h 25min",6.2,67
"Am Abend nach der Oper (1945)","1h 36min",6,14
"La barraca (1945)","1h 50min",7.2,96
"Un beso en la noche (1945)","1h 47min",NA,NA
"Between Two Women (1945)","1h 23min",5.9,142
"Bugambilia (1945)","1h 45min",7.4,96
"El camino de Babel (1945)","1h 17min",5.6,30
"El destino se disculpa (1945)","1h 50min",6.4,66
"Adventures of Kitty O'Day (1945)","1h 3min",5.2,141
"Due lettere anonime (1945)","1h 30min",6.9,54
"Die falsche Braut (1945)","1h 15min",5.8,14
"El fantasma y Dª Juanita (1945)","1h 13min",6.8,39
"He Snoops to Conquer (1945)","1h 43min",6.8,64
"Um Homem às Direitas (1945)","1h 50min",5.5,8
"Ivan Nikulin - russkiy matros (1945)","1h 30min",5.7,22
"El jagüey de las ruinas (1945)","1h 38min",5.9,7
"Kiss the Bride Goodbye (1945)","1h 29min",5.3,45
"Kolberg (1945)","1h 51min",6.1,588
"Madonna of the Seven Moons (1945)","1h 50min",6.4,439
"The Man in Half Moon Street (1945)","1h 32min",6.1,100
"Meet Sexton Blake! (1945)","1h 20min",5.3,67
"Los misterios del Hampa (1945)","1h 43min",6.4,7
"Night Club Girl (1945)","1h 1min",5.3,7
"Noche decisiva (1945)","1h 50min",NA,NA
"Odnazhdy nochyu (1945)","1h 13min",6.9,87
"Peccatori (1945)","1h 34min",NA,NA
"Phool (1945)","2h 2min",6.5,8
"A Place of One's Own (1945)","1h 32min",6.2,729
"Processo delle zitelle (1945)","1h 18min",NA,NA
"The Return of the Durango Kid (1945)","58min",6.5,121
"Rustlers' Hideout (1945)","1h",5.8,49
"Solistin Anna Alt (1945)","1h 35min",7,5
"La sombra de Chucho el Roto (1945)","2h 5min",6.2,9
"Sortilèges (1945)","1h 40min",6.8,86
"Twilight Hour (1945)","1h 25min",NA,NA
"Velikiy perelom (1945)","1h 48min",6.2,157
"Via Mala (1945)","1h 48min",6.8,26
"Vivere ancora (1945)","1h 6min",NA,NA
"Waterloo Road (1945)","1h 16min",6.6,546
"Ángela es así (1945)","1h 20min",4.4,10
"13 stolar (1945)","1h 45min",3.8,10
"29 Acacia Avenue (1945)","1h 23min",6.7,40
"A los pies de usted (1945)","1h 25min",NA,NA
"Abbasso la miseria! (1945)","1h 30min",6.3,141
"Bud Abbott and Lou Costello in Hollywood (1945)","1h 23min",6.5,2168
"Adventure (1945)","2h 5min",6.2,943
"Adventures of Rusty (1945)","1h 7min",5.8,167
"The Affairs of Susan (1945)","PG",6.6,302
"Allotment Wives (1945)","1h 20min",6.2,379
"Den allvarsamma leken (1945)","1h 46min",4.8,51
"Along Came Jones (1945)","PG",6.5,1875
"Along the Navajo Trail (1945)","1h 6min",6.4,87
"Das alte Lied (1945)","1h 35min",6.8,5
"Anchors Aweigh (1945)","2h 20min",7.1,7985
"And Then There Were None (1945)","1h 37min",7.5,13302
"An Angel Comes to Brooklyn (1945)","1h 10min",4.4,11
"Apology for Murder (1945)","1h 7min",6,222
"Arshin Mal Alan (1945)","1h 36min",7.7,368
"Arson Squad (1945)","1h 6min",6.4,9
"Back to Bataan (1945)","1h 35min",6.7,3636
"Bambú (1945)","1h 38min",6,30
"Barnen från Frostmofjället (1945)","1h 42min",6.3,281
"Bedside Manner (1945)","1h 12min",6.1,164
"Behind City Lights (1945)","1h 8min",NA,NA
"A Bell for Adano (1945)","1h 43min",6.7,664
"Bells of Rosarita (1945)","1h 8min",6.6,164
"The Bells of St. Mary's (1945)","2h 6min",7.3,7264
"Berlin (1945)","1h 10min",7.1,118
"Betrayal from the East (1945)","1h 22min",5.8,213
"Bewitched (1945)","1h 5min",5.6,514
"Bez viny vinovatye (1945)","1h 38min",7.6,44
"The Big Show-Off (1945)","1h 9min",5.9,64
"Black Market Babies (1945)","1h 11min",5.7,25
"Blod och eld (1945)","1h 40min",4.4,14
"Blonde from Brooklyn (1945)","1h 5min",5.5,64
"Blonde Ransom (1945)","1h 8min",5.8,9
"Blood on the Sun (1945)","1h 34min",6.1,1831
