"Name","RunTime","Rating","Votes"
"Dora la espía (1950)","1h 39min",NA,NA
"Die Kreuzelschreiber (1950)","1h 32min",6.6,5
"Mathilde Möhring (1950)","1h 17min",NA,NA
"Verlobte Leute (1950)","1h 20min",NA,NA
"Dharti Ke Lal (1950)","2h 5min",6.7,15
"Capitan Demonio (1950)","1h 30min",3.8,6
"È primavera... (1950)","1h 32min",6.6,78
"Cita con mi viejo corazón (1950)","2h",NA,NA
"The Dancing Years (1950)","1h 38min",6.2,59
"Gli ultimi giorni di Pompei (1950)","1h 50min",5.8,74
"Doña Diabla (1950)","1h 35min",7.3,105
"El duende y el rey (1950)","1h 20min",NA,NA
"La esfinge maragata (1950)","1h 25min",NA,NA
"Si te hubieses casado conmigo (1950)","1h 20min",6.6,22
"The Art of Burlesque (1950)","1h",6.9,11
"Adémaï au poteau-frontière (1950)","1h 36min",6.7,6
"Alhambra (1950)","1h 32min",NA,NA
"Alitet ukhodit v gory (1950)","1h 40min",6.2,31
"Ambush (1950)","1h 30min",6.5,545
"Amori e veleni (1950)","1h 20min",4.5,6
"The Astonished Heart (1950)","1h 25min",6,339
"Au revoir M. Grock (1950)","1h 47min",6.3,28
"Aventurera (1950)","1h 41min",7.6,539
"Benvenuto reverendo! (1950)","1h 30min",6.3,19
"Black Hand (1950)","1h 32min",6.4,746
"Botta e risposta (1950)","1h 20min",5.2,35
"Cantiga da Rua (1950)","2h 2min",6.6,46
"Captain China (1950)","1h 37min",6.2,87
"La casa chica (1950)","1h 55min",6.4,25
"Il cielo è rosso (1950)","1h 40min",7.5,26
"Cintura di castità (1950)","1h 26min",NA,NA
"Cuatro contra el mundo (1950)","1h 40min",7.2,16
"Cuori senza frontiere (1950)","1h 27min",6,35
"Deep and Light (1950)","1h 30min",NA,NA
"Domani è troppo tardi (1950)","1h 41min",6.9,132
"Domenica d'agosto (1950)","1h 28min",7.1,441
"Donne senza nome (1950)","1h 40min",6.5,51
"Der Dorfmonarch (1950)","1h 36min",5.6,13
"Duello senza onore (1950)","1h 45min",NA,NA
"Duelo en las montañas (1950)","1h 24min",7.2,5
"La familia Vila (1950)","1h 10min",6.1,26
"La figlia del mendicante (1950)","1h 33min",NA,NA
"Il figlio di d'Artagnan (1950)","1h 26min",NA,NA
"La forza del destino (1950)","1h 40min",7,20
"Francis (1950)","1h 31min",6.5,1149
"I fuorilegge (1950)","1h 21min",5.5,11
"Guilty of Treason (1950)","1h 26min",5.6,137
"El hijo de la noche (1950)","1h 33min",3.6,5
"Ho sognato il paradiso (1950)","1h 35min",NA,NA
"Curtain Call at Cactus Creek (1950)","1h 26min",6.5,84
"Into the Straight (1950)","1h 22min",5.3,6
"Katka (1950)","1h 31min",7.1,44
"Kubanskie kazaki (1950)","1h 52min",6.6,315
"La liga de las muchachas (1950)","1h 25min",5.9,14
"Lúdas Matyi (1950)","1h 47min",7.1,265
"Margherita da Cortona (1950)","1h 40min",5.8,9
"La Marie du port (1950)","1h 28min",6.7,345
"Mi adorado Juan (1950)","1h 31min",7,41
"La mujer de nadie (1950)","1h 25min",NA,NA
