"Name","RunTime","Rating","Votes"
"The Little Colonel (1935)","1h 21min",7.1,1487
"Schaste (1935)","1h 35min",7.4,949
"Goryachie denyochki (1935)","1h 30min",5.8,36
"Al buio insieme (1935)","1h 22min",NA,NA
"Brewster's Millions (1935)","1h 20min",7.3,42
"All the King's Horses (1935)","1h 27min",5.7,87
"Behind the Evidence (1935)","1h 10min",NA,NA
"Between Men (1935)","1h",6.4,90
"Bulldog Jack (1935)","1h 12min",6.4,273
"The Cactus Kid (1935)","58min",4.5,26
"Il cappello a tre punte (1935)","1h 13min",6.2,37
"The Clairvoyant (1935)","1h 21min",6.6,988
"Come le foglie (1935)","1h 20min",5.4,5
"Vagabond Lady (1935)","1h 11min",6,145
"Golgotha (1935)","1h 35min",6.5,222
"Hermine und die sieben Aufrechten (1935)","1h 46min",6.3,9
"Kaguya hime (1935)","1h 15min",7.4,5
"Life Returns (1935)","1h 3min",3.9,181
"Kleine Mutti (1935)","1h 30min",7.1,25
"Manhattan Butterfly (1935)","1h 13min",NA,NA
"Murder at Monte Carlo (1935)","1h 10min",7.5,28
"Napoléon Bonaparte (1935)","2h 20min",7.5,96
"Odette (1935)","1h 10min",NA,NA
"Let's Live Tonight (1935)","1h 15min",7.7,12
"One in a Million (1935)","1h 6min",6.4,22
"Petersburger Nächte (1935)","1h 35min",NA,NA
"El primo Basilio (1935)","1h 29min",6.4,5
"A Real Bloke (1935)","1h 10min",NA,NA
"Romance in Manhattan (1935)","1h 17min",6.7,583
"Strogiy yunosha (1935)","1h 40min",6.7,194
"That's My Uncle (1935)","58min",NA,NA
"Toni (1935)","1h 24min",7.2,1617
"Triumph des Willens (1935)","1h 54min",7.3,15035
"Rocky Mountain Mystery (1935)","1h 3min",6,291
"Vecchia guardia (1935)","1h 25min",6.1,73
"La verbena de la Paloma (1935)","1h 18min",6.2,105
"Vorstadtvariete (1935)","1h 33min",6.8,52
"The Yiddish King Lear (1935)","1h 10min",6.4,11
"1000 Dollars a Minute (1935)","1h 10min",6.4,89
"18 Minutes (1935)","1h 28min",5.5,13
"The 39 Steps (1935)","1h 26min",7.6,52599
"Abdul the Damned (1935)","1h 51min",6.1,67
"Accent on Youth (1935)","1h 17min",6.3,89
"The Ace of Spades (1935)","1h 6min",5.5,75
"Admirals All (1935)","1h 15min",NA,NA
"The Adventures of Rex and Rinty (1935)","3h 49min",6.3,71
"Aerograd (1935)","1h 22min",6.1,357
"The Affair of Susan (1935)","1h 2min",6.4,17
"After Office Hours (1935)","1h 12min",6.4,727
"After the Dance (1935)","1h",5.2,65
"Age of Indiscretion (1935)","1h 18min",6.4,124
"Ah Wilderness! (1935)","1h 38min",6.9,692
"Air Hawks (1935)","1h 8min",5.9,153
"Aldebaran (1935)","1h 38min",6,8
"Alias John Law (1935)","59min",5.9,73
"Alias Mary Dow (1935)","1h 5min",7.1,38
"Alibi Ike (1935)","1h 12min",6.1,617
"Alice Adams (1935)","1h 39min",6.9,3816
"Alles hört auf mein Kommando (1935)","1h 27min",NA,NA
"El alma de bandoneón (1935)","1h 17min",7.2,15
"Alô Alô Brasil (1935)","1h 18min",7,6
"Der alte und der junge König - Friedrichs des Grossen Jugend (1935)","1h 31min",7,78
"Der Ammenkönig (1935)","1h 43min",2.7,11
"Amphitryon (1935)","1h 45min",6.5,134
"Anna Karenina (1935)","1h 35min",7,4979
"Annapolis Farewell (1935)","1h 15min",5.4,5
"Annie Oakley (1935)","1h 30min",6.6,1582
"Another Face (1935)","1h 9min",6,207
"April April! (1935)","1h 22min",6.4,35
"Arizona Bad Man (1935)","58min",5.2,26
"The Arizonian (1935)","1h 15min",6.8,166
"Artisten (1935)","1h 47min",2.7,13
"Atlantic Adventure (1935)","1h 8min",5.3,131
"Der Außenseiter (1935)","1h 18min",6.2,12
"Baby Face Harrington (1935)","1h 2min",5.8,224
"La bandera (1935)","1h 36min",6.9,592
"Bar-Mitzvah (1935)","1h 21min",NA,NA
"Barbary Coast (1935)","1h 31min",6.8,1565
"Barcarole (1935)","1h 21min",6.7,9
"Les beaux jours (1935)","1h 20min",6.4,7
"Becky Sharp (1935)","1h 24min",5.9,937
"Behind the Green Lights (1935)","1h 8min",6.1,47
