"Name","RunTime","Rating","Votes"
"Die Abenteuer des Prinzen Achmed (1926)","1h 20min",7.8,5526
"Boy (1926)","1h 12min",NA,NA
"Feu Mathias Pascal (1926)","2h 50min",7.1,321
"Gigantes y cabezudos (1926)","1h 12min",4.8,5
"Glomdalsbruden (1926)","1h 55min",6.6,433
"Gribiche (1926)","1h 53min",6.8,231
"Das Haus der Lüge (1926)","1h 41min",NA,NA
"The House Without a Key (1926)","3h 30min",5.4,27
"Perils of the Rail (1926)","1h 1min",6.9,9
"The Return of Peter Grimm (1926)","1h 10min",6.9,13
"Le voyage imaginaire (1926)","1h 20min",6.7,160
"Die Abenteuer eines Zehnmarkscheines (1926)","1h",NA,NA
"Abrek Zaur (1926)","1h 25min",5.1,19
"The Ace of Cads (1926)","1h 26min",NA,NA
"Across the Pacific (1926)","1h 18min",5.9,17
"Almost a Lady (1926)","1h",6.1,9
"Aloma of the South Seas (1926)","1h 30min",6.4,11
"The Amateur Gentleman (1926)","1h 20min",6.4,5
"The American Venus (1926)","1h 20min",7.6,26
"An der schönen blauen Donau (1926)","58min",NA,NA
"April Fool (1926)","1h 3min",6.4,27
"Arizona Sweepstakes (1926)","1h",NA,NA
"Atta Boy (1926)","1h 3min",5.8,10
"The Auction Block (1926)","1h 10min",NA,NA
"Bachelor Brides (1926)","1h 12min",NA,NA
"Baldevins bryllup (1926)","2h 6min",6.3,6
"The Ball of Fortune (1926)","1h 27min",NA,NA
"Bardelys the Magnificent (1926)","1h 30min",7,1077
"The Barrier (1926)","1h 10min",7.4,14
"The Bat (1926)","1h 26min",6.5,710
"Battling Butler (1926)","1h 17min",7,3016
"Beatrice Cenci (1926)","1h 42min",NA,NA
"Beau Geste (1926)","1h 41min",7,347
"The Beautiful Cheat (1926)","1h 10min",NA,NA
"Behind the Front (1926)","1h 1min",6.3,35
"The Bells (1926)","1h 8min",6.4,372
"Bertha the Sewing Machine Girl (1926)","1h",7,9
"The Better 'Ole (1926)","1h 35min",6.3,217
"The Better Way (1926)","58min",NA,NA
"Beverly of Graustark (1926)","1h 10min",5.8,453
"Bigger Than Barnum's (1926)","1h",NA,NA
"The Black Pirate (1926)","1h 28min",7.1,1721
"The Blackbird (1926)","1h 26min",6.8,662
"Blarney (1926)","1h 6min",NA,NA
"Blarney (1926)","1h",NA,NA
"The Blind Goddess (1926)","1h 20min",4.6,10
"The Block Signal (1926)","59min",6.3,20
"The Blonde Saint (1926)","1h 10min",NA,NA
"The Blue Eagle (1926)","58min",5.5,148
"La Bohème (1926)","1h 35min",7.3,1438
"The Boob (1926)","1h 4min",5,457
"Born to the West (1926)","1h 6min",4.9,12
"The Boy Friend (1926)","1h 5min",7.4,8
"Bred in Old Kentucky (1926)","1h",NA,NA
"Breed of the Sea (1926)","1h 13min",5.2,9
"Bride of the Storm (1926)","1h 10min",NA,NA
"The Broadway Boob (1926)","1h",NA,NA
"The Broadway Gallant (1926)","1h",NA,NA
"Broken Hearts (1926)","1h 20min",NA,NA
"Broken Hearts of Hollywood (1926)","1h 20min",6.8,6
"The Brown Derby (1926)","1h 10min",7.2,8
"Brown of Harvard (1926)","1h 25min",6.2,1406
"Brudeferden i Hardanger (1926)","1h 44min",6.6,118
"The Buckaroo Kid (1926)","1h 4min",6.7,7
"Bukhta smerti (1926)","1h 24min",7.8,16
"Butterflies in the Rain (1926)","1h 20min",NA,NA
"A Calúnia (1926)","1h 25min",NA,NA
"The Campus Flirt (1926)","1h 10min",NA,NA
"The Canadian (1926)","1h 20min",7.5,26
"Carmen (1926)","1h 50min",6.9,80
"Carmiña flor de Galicia (1926)","1h 30min",5.8,12
"The Cat's Pajamas (1926)","1h",6.3,7
"The Caveman (1926)","1h 10min",4.6,17
"Chip of the Flying U (1926)","1h 10min",6.7,7
"Christine of the Big Tops (1926)","1h 5min",NA,NA
"The City (1926)","1h",NA,NA
"The Clinging Vine (1926)","1h 11min",6.1,99
"The Cohens and Kellys (1926)","1h 20min",6.3,7
"The College Boob (1926)","1h",6.5,6
"College Days (1926)","1h 20min",7.2,13
"The Combat (1926)","1h 10min",NA,NA
"Corporal Kate (1926)","1h 20min",6.4,10
"The Country Beyond (1926)","1h",NA,NA
"The Cowboy and the Countess (1926)","1h",NA,NA
"The Cruise of the Jasper B (1926)","1h",7.4,66
"Czerwony blazen (1926)","1h 24min",NA,NA
"Dame Chance (1926)","1h 10min",NA,NA
"Dance Madness (1926)","1h 10min",NA,NA
"The Dancer of Paris (1926)","1h 10min",NA,NA
"Dancing Days (1926)","1h 5min",NA,NA
"Dancing Mothers (1926)","1h 6min",6.5,147
"With Davy Crockett at the Fall of the Alamo (1926)","1h",7,12
"Desert Gold (1926)","1h 10min",NA,NA
"Desert Valley (1926)","1h 6min",6.5,8
"The Desert's Toll (1926)","1h",NA,NA
"The Devil Horse (1926)","1h 8min",5.9,18
"The Devil's Circus (1926)","1h 10min",6.9,94
"Devil's Dice (1926)","1h",5,7
"Devil's Island (1926)","(Banned)",7.6,21
"Diplomacy (1926)","1h 10min",NA,NA
"Dollarmillionen (1926)","1h 15min",NA,NA
"Don Juan (1926)","1h 50min",7,746
"Don Juan's 3 Nights (1926)","1h 16min",NA,NA
"Don Quixote (1926)","2h 59min",6.7,9
"Die drei Kuckucksuhren (1926)","1h 16min",NA,NA
"The Duchess of Buffalo (1926)","1h 15min",7.1,81
"Dürfen wir schweigen? (1926)","1h 29min",7.2,9
"The Eagle of the Sea (1926)","1h 20min",4.8,18
"The Earth Woman (1926)","1h",NA,NA
"Ella Cinders (1926)","1h 15min",6.7,904
"The Enchanted Hill (1926)","1h 10min",6.1,10
"Eve's Leaves (1926)","1h 15min",4.5,119
"Everybody's Acting (1926)","1h 10min",NA,NA
"Exit Smiling (1926)","1h 17min",7,447
"Exquisite Sinner (1926)","1h",5.9,9
"Una extraña aventura de Luis Candelas (1926)","1h 7min",6.9,11
"The Far Cry (1926)","1h 20min",NA,NA
"Farbror Frans (1926)","1h 9min",6.3,6
"Fascinating Youth (1926)","1h 10min",7.2,16
"Faust: Eine deutsche Volkssage (1926)","1h 47min",8.1,14078
"Fiaker Nr. 13 (1926)","1h 18min",5.9,52
"Fig Leaves (1926)","1h 10min",6.3,219
"The Fighting Stallion (1926)","58min",5.7,6
"Fighting with Buffalo Bill (1926)","4h 20min",NA,NA
"Fine Manners (1926)","1h 10min",5.7,771
"The Fire Brigade (1926)","1h 30min",7.5,29
"The First Year (1926)","1h 15min",7.1,17
"The Flame of the Yukon (1926)","1h 5min",5.3,9
"Flames (1926)","1h",NA,NA
"The Flaming Forest (1926)","1h 10min",NA,NA
"The Flaming Frontier (1926)","1h 30min",7.1,9
"Flesh and the Devil (1926)","1h 52min",7.6,3978
"Die sieben Töchter der Frau Gyurkovics (1926)","1h 33min",7.2,14
"Flickorna på Solvik (1926)","1h 38min",NA,NA
"Footloose Widows (1926)","1h 10min",7.1,8
"For Alimony Only (1926)","1h 10min",7.1,11
"For Heaven's Sake (1926)","58min",7.4,1483
"For Wives Only (1926)","1h",NA,NA
"Forbidden Waters (1926)","1h",NA,NA
"Forever After (1926)","1h 9min",NA,NA
"Forlorn River (1926)","1h 5min",6.1,9
"Fänrik Ståls sägner (1926)","3h 4min",6.2,24
"The Gay Deceiver (1926)","1h 10min",NA,NA
"Geheimnisse einer Seele (1926)","1h 37min",6.9,651
"Der Geiger von Florenz (1926)","1h 8min",6.2,60
"Gigolo (1926)","1h 20min",6.6,5
"The Gilded Highway (1926)","1h 14min",NA,NA
"The Girl from Montmartre (1926)","1h",NA,NA
"God Gave Me Twenty Cents (1926)","1h 10min",5.2,6
"Going Crooked (1926)","1h",NA,NA
"The Golden Web (1926)","1h 4min",NA,NA
"Good and Naughty (1926)","1h",NA,NA
"The Grand Duchess and the Waiter (1926)","1h 15min",6.9,49
"The Great Deception (1926)","1h",NA,NA
"The Great Gatsby (1926)","1h 20min",NA,NA
"The Greater Glory (1926)","1h 50min",7,9
"Hallo! Amerika! (1926)","1h 48min",NA,NA
"Hands Across the Border (1926)","1h",2.1,8
