"Name","RunTime","Rating","Votes"
"Timbuctoo (1933)","1h 12min",NA,NA
"Esperáme (1933)","1h 10min",6.8,10
"Born Lucky (1933)","1h 18min",5.8,9
"Channel Crossing (1933)","1h 10min",5.9,50
"Chotard et Cie (1933)","1h 23min",6,91
"A Daughter of Her People (1933)","1h 15min",NA,NA
"Diamond Trail (1933)","1h 1min",5.7,36
"Ekstase (1933)","1h 22min",6.7,2194
"Fargo Express (1933)","1h 1min",7.3,39
"Kantor ideál (1933)","1h 25min",6.5,38
"The Intruder (1933)","1h 6min",5,95
"Ítél a Balaton (1933)","58min",6.6,17
"Let Me Explain Dear (1933)","1h 15min",5.8,26
"Letting in the Sunshine (1933)","1h 13min",6.2,18
"Melodía de arrabal (1933)","1h 34min",7,38
"The Monkey's Paw (1933)","58min",7,73
"Das Testament des Dr. Mabuse (1933)","2h 2min",8,11602
"Tre uomini in frak (1933)","1h 10min",NA,NA
"Die unsichtbare Front (1933)","1h 25min",NA,NA
"Was wissen denn Männer (1933)","1h 32min",NA,NA
"Yes Mr. Brown (1933)","1h 30min",5.2,5
"Yiskor (1933)","1h 20min",NA,NA
"1860 (1933)","1h 20min",6.7,190
"Abenteuer am Lido (1933)","1h 31min",5,5
"Die Abenteuer des Königs Pausole (1933)","1h 20min",NA,NA
"Acciaio (1933)","1h 7min",6.6,73
"Ace of Aces (1933)","1h 16min",6.3,333
"Acqua cheta (1933)","1h 23min",NA,NA
"Adorable (1933)","1h 28min",5.8,106
"Advice to the Lovelorn (1933)","1h 2min",6.3,62
"After Tonight (1933)","1h 11min",6.1,263
"Aggie Appleby Maker of Men (1933)","1h 13min",6.4,240
"Aibu (1933)","1h 33min",6.6,7
"Air Hostess (1933)","1h 7min",6,113
"Alice in Wonderland (1933)","1h 16min",6.4,1948
"Alimony Madness (1933)","1h 5min",6.5,24
"Ann Carver's Profession (1933)","1h 11min",5.9,173
"Ann Vickers (1933)","1h 16min",6.1,567
"Anna und Elisabeth (1933)","1h 14min",7,67
"Another Language (1933)","1h 17min",6.4,299
"Arizona to Broadway (1933)","1h 6min",5.7,39
"As the Devil Commands (1933)","1h 10min",5.8,6
"The Avenger (1933)","1h 19min",6.1,9
"Baby Face (1933)","1h 11min",7.6,6350
"The Barbarian (1933)","1h 23min",5.9,507
"Beauty for Sale (1933)","1h 27min",6.6,349
"Bed of Roses (1933)","1h 7min",6.4,769
"A Bedtime Story (1933)","1h 27min",7,81
"Before Dawn (1933)","1h",6,302
"Below the Sea (1933)","1h 18min",5.9,231
"Berkeley Square (1933)","1h 28min",6.5,757
"The Bermondsey Kid (1933)","1h 15min",7.5,6
"Best of Enemies (1933)","1h 12min",NA,NA
"The Big Bluff (1933)","1h",NA,NA
"The Big Brain (1933)","1h 12min",5.8,16
"The Big Cage (1933)","1h 22min",6,41
"The Big Chance (1933)","1h 2min",4.8,132
"Big Executive (1933)","1h 10min",NA,NA
"The Big Race (1933)","1h 8min",6.6,5
"The Billion Dollar Scandal (1933)","1h 21min",7.3,20
"Bitter Sweet (1933)","1h 33min",6.8,64
"Black Beauty (1933)","1h 10min",6.3,7
"Blind Adventure (1933)","1h 5min",6.2,232
"Blondie Johnson (1933)","1h 7min",6.6,539
"Blood Money (1933)","1h 5min",6.8,313
"Boku no marumage (1933)","1h 17min",NA,NA
"Bomans pojke (1933)","1h 30min",3.9,17
"Bombshell (1933)","1h 36min",7.1,2447
"Bondage (1933)","1h 7min",NA,NA
"The Bowery (1933)","1h 32min",6.9,440
"Breed of the Border (1933)","58min",6.4,31
"Brennendes Geheimnis (1933)","1h 32min",6.7,96
"Brief Moment (1933)","1h 9min",6.3,236
"Britannia of Billingsgate (1933)","1h 20min",5.8,48
"Broadway Bad (1933)","1h 1min",6,169
"Broadway Thru a Keyhole (1933)","1h 30min",6.1,197
"Broadway to Hollywood (1933)","1h 25min",5.9,255
"Broken Dreams (1933)","1h 8min",6,43
"Bureau of Missing Persons (1933)","1h 13min",6.7,1106
"By Appointment Only (1933)","1h 7min",5.8,67
"By Candlelight (1933)","1h 10min",6.6,125
"La calandria (1933)","1h 37min",NA,NA
"The California Trail (1933)","1h 7min",6.5,19
"Call Me Mame (1933)","59min",NA,NA
"Camicia nera (1933)","1h 13min",5,43
"A Canção de Lisboa (1933)","1h 25min",7.7,1355
"Captured! (1933)","1h 9min",6.6,369
"Cash (1933)","1h 13min",6.2,73
"Il caso Haller (1933)","1h 17min",7.3,6
"Cavalcade (1933)","1h 52min",5.8,4677
"Cento di questi giorni (1933)","1h 2min",NA,NA
"Central Airport (1933)","1h 12min",6.3,352
"Chance at Heaven (1933)","1h 11min",6,504
"Charlie Chan's Greatest Case (1933)","1h 10min",5.9,381
