"Name","RunTime","Rating","Votes"
"Just for a Song (1930)","1h 34min",NA,NA
"The Kibitzer (1930)","1h 17min",5.8,27
"Ludwig der Zweite König von Bayern (1930)","1h 57min",6.9,38
"Menschen am Sonntag (1930)","1h 13min",7.4,2801
"Midnight Daddies (1930)","1h",NA,NA
"El misterio de la Puerta del Sol (1930)","1h 11min",6.4,59
"Prividenie kotoroe ne vozvrashchaetsya (1930)","1h 7min",6.7,192
"Chasing Rainbows (1930)","1h 36min",6,206
"The Silent Enemy (1930)","1h 24min",6.9,191
"Takový je zivot (1930)","1h 11min",7,93
"With Byrd at the South Pole (1930)","1h 22min",6.9,300
"Abraham Lincoln (1930)","1h 36min",5.7,1353
"Abschied (1930)","1h 13min",7,93
"After Many Years (1930)","1h 10min",NA,NA
"Ai wa chikara da (1930)","1h 6min",NA,NA
"Alf's Button (1930)","1h 36min",2.7,7
"Alias French Gertie (1930)","1h 6min",6.3,82
"All Quiet on the Western Front (1930)","PG",8,57690
"Along Came Youth (1930)","1h 14min",5.8,11
"Alraune (1930)","1h 43min",6.1,68
"Das alte Lied (1930)","1h 30min",NA,NA
"El amor solfeando (1930)","1h 25min",NA,NA
"Der Andere (1930)","1h 44min",5.1,16
"Animal Crackers (1930)","1h 37min",7.5,13663
"Anna Christie (1930)","1h 29min",6.6,2858
"Anna Christie (1930)","1h 25min",6.9,795
"Anybody's War (1930)","1h 30min",NA,NA
"Anybody's Woman (1930)","1h 20min",6.8,95
"The Apache Kid's Escape (1930)","1h 1min",4.3,72
"Are You There? (1930)","1h",6.7,6
"The Arizona Kid (1930)","1h 28min",6,49
"Around the Corner (1930)","1h 8min",NA,NA
"Au bonheur des dames (1930)","1h 25min",7.2,413
"Back Pay (1930)","1h 3min",5.2,111
"The Bad Man (1930)","1h 17min",6,17
"The Bad One (1930)","1h 10min",6.7,20
"Bar-L Ranch (1930)","1h",NA,NA
"The Bat Whispers (1930)","1h 23min",6.4,861
"Be Yourself! (1930)","1h 5min",5.8,163
"Beau Bandit (1930)","1h 9min",4.9,42
"Bed and Breakfast (1930)","1h 8min",5.8,5
