"Name","RunTime","Rating","Votes"
"Chlen parlamenta (1923)","1h 5min",6,7
"Adam and Eva (1923)","1h 20min",8.2,40
"Dark Secrets (1923)","1h",5.2,11
"Lyda Ssanin (1923)","1h 33min",NA,NA
"Merry-Go-Round (1923)","1h 50min",6.6,304
"Nora (1923)","1h 39min",NA,NA
"Schatten - Eine nächtliche Halluzination (1923)","1h 30min",6.8,886
"The Song of Love (1923)","1h 36min",6.5,24
"Tiefland (1923)","1h 7min",NA,NA
"Unseeing Eyes (1923)","1h 30min",6,7
"The Abysmal Brute (1923)","1h 20min",NA,NA
"The Acquittal (1923)","1h 10min",NA,NA
"Adam's Rib (1923)","1h 42min",6.6,82
"Alice Adams (1923)","1h 13min",NA,NA
"All the Brothers Were Valiant (1923)","1h 41min",6.1,19
"Alles für Geld (1923)","1h 23min",5.7,11
"Das alte Gesetz (1923)","2h 8min",6.9,128
"Andersson Pettersson och Lundström (1923)","1h 20min",NA,NA
"Anderssonskans Kalle på nya upptåg (1923)","1h 4min",5.2,9
"Anna Christie (1923)","1h 36min",6.8,83
"Anna-Clara och hennes bröder (1923)","1h 5min",NA,NA
"April Showers (1923)","1h",NA,NA
"Are You a Failure? (1923)","1h",NA,NA
"As a Man Lives (1923)","1h",NA,NA
"Ashes of Vengeance (1923)","1h 51min",6.7,40
"L'auberge rouge (1923)","1h 20min",6.7,101
"Backbone (1923)","1h 10min",NA,NA
"The Bad Man (1923)","1h 10min",NA,NA
"The Barefoot Boy (1923)","58min",NA,NA
"Bavu (1923)","1h 20min",NA,NA
"Beasts of Paradise (1923)","5h",6.6,11
"Bella Donna (1923)","1h",7.4,14
"Big Brother (1923)","1h 10min",NA,NA
"Big Dan (1923)","1h",4.2,9
"Blinky (1923)","1h",NA,NA
"Bluebeard's 8th Wife (1923)","1h",7.5,11
"Boy of Mine (1923)","1h 10min",NA,NA
"Brass (1923)","1h",6.4,10
"The Brass Bottle (1923)","1h",NA,NA
"Bright Lights of Broadway (1923)","1h 10min",NA,NA
"The Bright Shawl (1923)","1h 20min",6.4,32
"Broadway Gold (1923)","1h 10min",NA,NA
"Broken Hearts of Broadway (1923)","1h 21min",6.1,54
"The Broken Wing (1923)","1h",NA,NA
"The Call of the Canyon (1923)","1h 10min",5.7,15
"Cameo Kirby (1923)","1h 10min",5.2,326
"Cause for Divorce (1923)","1h 18min",NA,NA
"A Chapter in Her Life (1923)","1h 24min",5.3,9
"The Cheat (1923)","1h 20min",5.7,6
"Children of Jazz (1923)","1h",NA,NA
"The Christian (1923)","1h 20min",NA,NA
"Chu-Chin-Chow (1923)","2h",6.4,16
"Circus Days (1923)","1h",6.6,25
"Cláudia (1923)","1h 14min",NA,NA
"Coeur fidèle (1923)","1h 27min",7.5,1140
"The Common Law (1923)","1h 20min",NA,NA
"The Country Kid (1923)","1h",NA,NA
"The Courtship of Myles Standish (1923)","1h 30min",5.6,12
"The Covered Wagon (1923)","1h 38min",6.6,532
"The Cricket on the Hearth (1923)","1h 22min",5.7,6
"Crinoline and Romance (1923)","1h",NA,NA
"Daddy (1923)","1h",7,6
"The Dangerous Maid (1923)","1h 20min",5,5
"The Daring Years (1923)","1h 10min",NA,NA
"Daughters of the Rich (1923)","1h",NA,NA
"The Day of Faith (1923)","1h 10min",NA,NA
"Desire (1923)","1h 10min",NA,NA
"Destroying Angel (1923)","1h",5.2,5
"Divorce (1923)","1h",NA,NA
"Don't Marry for Money (1923)","1h",NA,NA
"Drifting (1923)","1h 10min",6.8,33
"Driven (1923)","1h",NA,NA
"Drums of Fate (1923)","1h",NA,NA
"The Drums of Jeopardy (1923)","1h 10min",NA,NA
"Dulcy (1923)","1h 10min",NA,NA
"East Side - West Side (1923)","1h 3min",6.2,23
"Eld ombord (1923)","1h 26min",7,90
"The Eleventh Hour (1923)","1h 10min",NA,NA
"Enemies of Children (1923)","1h",NA,NA
"Enemies of Women (1923)","1h 45min",5.2,22
"The Eternal City (1923)","1h 20min",6,8
"The Eternal Struggle (1923)","1h 20min",NA,NA
"The Eternal Three (1923)","1h 10min",NA,NA
"The Exciters (1923)","1h",NA,NA
"The Extra Girl (1923)","1h 8min",6.6,1083
"The Face on the Bar-Room Floor (1923)","1h",3.3,23
"The Famous Mrs. Fair (1923)","1h 20min",NA,NA
"Fashion Row (1923)","1h 10min",NA,NA
"The Fighting Blade (1923)","1h 30min",5.8,17
"The Fighting Skipper (1923)","5h",NA,NA
"The Flame of Life (1923)","1h 10min",NA,NA
"Flaming Youth (1923)","1h 30min",7.4,51
"Fog Bound (1923)","1h",NA,NA
"The Fog (1923)","1h 10min",7,27
"The Fourth Musketeer (1923)","1h",NA,NA
"The French Doll (1923)","1h 10min",NA,NA
"Friaren från landsvägen (1923)","1h 14min",2.4,5
"Fury (1923)","1h 30min",6.8,18
"Le gamin de Paris (1923)","2h",6.8,13
"Gamla gatans karneval (1923)","1h 5min",NA,NA
"Garrison's Finish (1923)","1h 20min",NA,NA
"La garçonne (1923)","1h 10min",NA,NA
"Gentle Julia (1923)","1h",NA,NA
"Gimme (1923)","1h",NA,NA
"The Girl I Loved (1923)","1h",NA,NA
"The Girl of the Golden West (1923)","1h 10min",NA,NA
"The Glimpses of the Moon (1923)","1h 10min",NA,NA
"The Go-Getter (1923)","1h 20min",NA,NA
"Going Up (1923)","1h",NA,NA
"The Gold Diggers (1923)","1h 20min",5,7
"The Green Goddess (1923)","1h 20min",6.4,48
"Grumpy (1923)","1h",NA,NA
"Gunnar Hedes saga (1923)","1h 41min",7,148
"Haldane of the Secret Service (1923)","1h 24min",5.5,116
"The Harbour Lights (1923)","1h",NA,NA
"The Heart Raider (1923)","1h",NA,NA
"Hell's Hole (1923)","1h",NA,NA
"Hemslavinnor (1923)","1h 31min",NA,NA
"Her Accidental Husband (1923)","1h 3min",NA,NA
"Her Dangerous Path (1923)","3h 30min",3.6,14
"Her Reputation (1923)","1h 10min",NA,NA
"Her Temporary Husband (1923)","1h 10min",NA,NA
"The Hero (1923)","1h 10min",NA,NA
"His Children's Children (1923)","1h 10min",NA,NA
"His Last Race (1923)","1h",NA,NA
"Hollywood (1923)","1h 20min",7,49
"Homeward Bound (1923)","1h 10min",5.2,19
"Human Wreckage (1923)","1h 20min",7.4,10
"The Hunchback of Notre Dame (1923)","2h 13min",7.2,4901
"The Huntress (1923)","1h",NA,NA
"Hårda viljor (1923)","1h 7min",5.4,12
"I Will Repay (1923)","1h 10min",4,11
"I.N.R.I. (1923)","1h 42min",6.1,51
"If Winter Comes (1923)","2h",NA,NA
"In the Palace of the King (1923)","1h 30min",NA,NA
"Innocence (1923)","58min",NA,NA
"Is Money Everything? (1923)","58min",5.8,20
"The Isle of Lost Ships (1923)","1h 20min",7.2,12
"Jacqueline or Blazing Barriers (1923)","1h 10min",NA,NA
"Java Head (1923)","1h 20min",NA,NA
"Jazzmania (1923)","1h 20min",7.2,6
"Jealous Husbands (1923)","1h 10min",5,5
"Johan Ulfstjerna (1923)","1h 5min",6.3,20
"Judith (1923)","1h 36min",NA,NA
"Der junge Medardus (1923)","2h 16min",4.8,46
"Der Kaufmann von Venedig (1923)","2h 8min",5.8,21
"Kiri no minato (1923)","1h",6.8,6
"Krasnye dyavolyata (1923)","2h 10min",6,87
"Law of the Lawless (1923)","1h 10min",4.4,7
"Lawful Larceny (1923)","1h",NA,NA
"Die Lawine (1923)","1h 11min",5.6,55
"Legally Dead (1923)","1h",NA,NA
"Let's Go (1923)","1h 7min",5.2,21
"The Light That Failed (1923)","1h 10min",NA,NA
"Little Church Around the Corner (1923)","1h 10min",6,25
"The Little Girl Next Door (1923)","1h",5,5
"Little Johnny Jones (1923)","1h 10min",NA,NA
"Little Old New York (1923)","1h 50min",6.2,891
"Os Lobos (1923)","1h 20min",6.6,59
"The Lone Star Ranger (1923)","1h",NA,NA
"Long Live the King (1923)","1h 44min",7.2,10
"Lost and Found on a South Sea Island (1923)","1h 10min",NA,NA
"The Love Piker (1923)","1h 10min",NA,NA
"The Love Trap (1923)","1h",NA,NA
"Love Life and Laughter (1923)","1h 1min",7.2,15
"Luck (1923)","1h 10min",6.9,9
"Lucretia Lombard (1923)","1h 10min",6,33
"Lucros... Ilícitos (1923)","1h 22min",NA,NA
"Maciste und die chinesische Truhe (1923)","1h",NA,NA
"Main Street (1923)","1h 30min",6,5
"The Man from Brodney's (1923)","1h 20min",NA,NA
"The Man Next Door (1923)","1h 10min",NA,NA
"The Man Without Desire (1923)","1h 10min",6.4,7
"A Man of Action (1923)","1h",NA,NA
"The Marriage Maker (1923)","1h 10min",6.8,5
"The Marriage Market (1923)","58min",NA,NA
"Marriage Morals (1923)","1h 10min",NA,NA
"Masters of Men (1923)","1h 10min",NA,NA
"Maytime (1923)","1h 20min",6.7,27
"The Meanest Man in the World (1923)","1h",NA,NA
"Med Roald Amundsens Nordpolsekspedition til første vinterkvarter (1923)","1h 3min",NA,NA
"Mile-a-Minute Romeo (1923)","1h",NA,NA
"Mine to Keep (1923)","1h",NA,NA
"Miss Suwanna of Siam (1923)","1h",6.3,10
"Mist in the Valley (1923)","1h 15min",8,35
"A Morgadinha de Valflor (1923)","1h 45min",NA,NA
"Mothers-in-Law (1923)","1h 10min",NA,NA
"Mr. Billings Spends His Dime (1923)","1h",NA,NA
"Mulheres da Beira (1923)","1h 14min",6.6,27
"Mälarpirater (1923)","1h 47min",6.5,35
"The Ne'er-Do-Well (1923)","1h 20min",NA,NA
"Nobody's Money (1923)","1h",NA,NA
"None So Blind (1923)","1h 13min",NA,NA
"Nordenfor polarcirkelen (1923)","1h 11min",NA,NA
"Norge - en skildring i 6 akter (1923)","1h 40min",NA,NA
"Norrtullsligan (1923)","1h 16min",6.9,76
"The Nth Commandment (1923)","1h 20min",6.5,8
"Nummisuutarit (1923)","1h 23min",5.8,70
"Närkingarna (1923)","1h 8min",NA,NA
"An Old Sweetheart of Mine (1923)","1h",NA,NA
"The Old Fool (1923)","1h",NA,NA
"Os Olhos da Alma (1923)","1h 7min",NA,NA
"On the Banks of the Wabash (1923)","1h 10min",NA,NA
"One Arabian Night (1923)","1h 15min",3.5,6
"Only 38 (1923)","1h 10min",NA,NA
"Ost und West (1923)","1h 1min",7.1,21
"Other Men's Daughters (1923)","1h",NA,NA
"Our Hospitality (1923)","1h 5min",7.8,10344
"Out of Luck (1923)","1h",NA,NA
"Paddy the Next Best Thing (1923)","1h 10min",4.8,6
"Paganini (1923)","1h 30min",7.1,22
"Penrod and Sam (1923)","1h 24min",7,39
"Pioneer Trails (1923)","1h 10min",5.9,16
"Playing It Wild (1923)","1h",NA,NA
"Pleasure Mad (1923)","1h 20min",NA,NA
"Ponjola (1923)","1h 10min",6.2,9
"Poor Men's Wives (1923)","1h 10min",NA,NA
"Potash and Perlmutter (1923)","1h 20min",NA,NA
"Prodigal Daughters (1923)","1h",6.7,11
"Puritan Passions (1923)","1h 10min",NA,NA
"The Purple Highway (1923)","1h 10min",NA,NA
"Quicksands (1923)","1h 10min",5.4,7
"Racing Hearts (1923)","1h",NA,NA
"En rackarunge (1923)","1h 32min",NA,NA
"The Ragged Edge (1923)","1h 10min",NA,NA
"The Ramblin' Kid (1923)","1h",NA,NA
"Raskolnikow (1923)","2h 15min",6.8,262
"Red Lights (1923)","1h 10min",6.4,8
"The Rendezvous (1923)","1h 20min",NA,NA
"Reno (1923)","1h 10min",NA,NA
"Richard the Lion-Hearted (1923)","1h 20min",7.1,9
"Rosario la cortijera (1923)","1h 10min",NA,NA
"Rosita (1923)","1h 39min",6.5,330
"La roue (1923)","6h 57min",7.5,1975
"Ruggles of Red Gap (1923)","1h 20min",6.9,14
"Rupert of Hentzau (1923)","1h 30min",NA,NA
"The Rustle of Silk (1923)","1h 10min",NA,NA
"Safety Last! (1923)","1h 14min",8.1,18667
"St. Elmo (1923)","1h",NA,NA
"The Satin Girl (1923)","1h",NA,NA
"Scaramouche (1923)","2h 4min",7,547
"Scars of Jealousy (1923)","1h 10min",NA,NA
"Der Schatz (1923)","1h 20min",6.8,251
"Schlagende Wetter (1923)","1h 5min",6.3,58
"The Shock (1923)","1h 36min",6.5,383
"The Silent Command (1923)","1h 20min",6.1,70
"The Silent Partner (1923)","1h",NA,NA
"Six Days (1923)","1h 30min",NA,NA
"Sixty Cents an Hour (1923)","1h",NA,NA
"Skid Proof (1923)","1h",NA,NA
"Slander the Woman (1923)","1h 10min",NA,NA
"Slave of Desire (1923)","1h 10min",2.2,6
"Slippy McGee (1923)","1h 10min",NA,NA
"Soul of the Beast (1923)","1h 5min",6.8,43
"Souls for Sale (1923)","1h 30min",7,842
"The Spider and the Rose (1923)","1h 10min",5.3,7
"The Spoilers (1923)","1h 20min",NA,NA
"The Steadfast Heart (1923)","1h 10min",NA,NA
"Der steinerne Reiter (1923)","1h 26min",6.7,70
"Stephen Steps Out (1923)","1h",6.6,11
"Strandhugg på Kavringen (1923)","1h 5min",NA,NA
"Strangers of the Night (1923)","1h 20min",NA,NA
"Die Straße (1923)","1h 14min",7,355
"Suzanna (1923)","1h 20min",6.8,26
"Tea: With a Kick! (1923)","1h",NA,NA
"The Temple of Venus (1923)","1h 10min",6.4,10
"Temptation (1923)","1h 5min",NA,NA
"The Ten Commandments (1923)","2h 16min",6.8,2018
"Three Ages (1923)","1h 3min",7.1,4103
"Three Wise Fools (1923)","1h 10min",6,14
"The Thrill Chaser (1923)","1h",5.2,9
"Thundering Dawn (1923)","1h 10min",NA,NA
"The Tie That Binds (1923)","1h 10min",NA,NA
"Tiger Rose (1923)","1h 20min",6.4,29
"The Tiger's Claw (1923)","1h",NA,NA
"To the Ladies (1923)","1h",NA,NA
"To the Last Man (1923)","1h 10min",5.9,19
"Toilers of the Sea (1923)","1h",NA,NA
"The Trail of the Lonesome Pine (1923)","1h",NA,NA
"Trifling with Honor (1923)","1h 20min",NA,NA
"Trilby (1923)","1h 20min",NA,NA
"Truxton King (1923)","1h",NA,NA
"Twenty-One (1923)","1h 10min",NA,NA
"Das unbekannte Morgen (1923)","1h 30min",6.4,5
"Under the Red Robe (1923)","1h 40min",NA,NA
"The Unknown Purple (1923)","1h 10min",NA,NA
"The Untameable (1923)","1h 5min",6.8,15
"Vanity Fair (1923)","1h 20min",NA,NA
"The Virginian (1923)","1h 24min",5.8,38
"The Voice from the Minaret (1923)","1h 10min",NA,NA
"Wandering Daughters (1923)","1h",NA,NA
"The Wandering Jew (1923)","1h 20min",7.3,7
"The Wanters (1923)","1h 10min",NA,NA
"Where the North Begins (1923)","1h",7,60
"Where the Pavement Ends (1923)","1h 10min",NA,NA
"While Paris Sleeps (1923)","1h",7,20
"The White Rose (1923)","1h 40min",6.5,163
"The White Sister (1923)","2h 23min",6.9,398
"White Tiger (1923)","1h 26min",6.2,140
"Why Worry? (1923)","1h 3min",7.4,1601
"Wild Bill Hickok (1923)","1h 10min",7,15
"Wilhelm Tell (1923)","1h 25min",5.8,28
"Within the Law (1923)","1h 45min",6.4,102
"The Woman with Four Faces (1923)","1h",NA,NA
"A Woman of Paris: A Drama of Fate (1923)","1h 22min",7,4970
"Woman-Proof (1923)","1h 20min",NA,NA
"The World's Applause (1923)","1h 20min",NA,NA
"You Can't Fool Your Wife (1923)","1h",NA,NA
"Zaza (1923)","1h 24min",6.2,800
"Black Oxen (1923)","1h 20min",5.8,139
"The Chechahcos (1923)","1h 27min",6.5,222
"Don't Call It Love (1923)","1h 10min",NA,NA
"Hoodman Blind (1923)","1h",4,24
"The Shepherd King (1923)","1h 30min",NA,NA
"West of the Water Tower (1923)","1h 20min",NA,NA
"The Wolf Man (1923)","1h",5.7,15
"Woman to Woman (1923)","1h 22min",7.1,51
"Das Bildnis (1923)","1h 55min",6.6,8
"Blandt byens børn (1923)","1h 47min",NA,NA
"Kan Kærlighed kureres? (1923)","1h 40min",NA,NA
"Koskenlaskijan morsian (1923)","1h 27min",6,36
"Lille Lise let-paa-taa (1923)","1h 51min",6.3,6
"Mellem muntre musikanter (1923)","1h 29min",NA,NA
"Vore venners vinter (1923)","1h 45min",NA,NA
"The Drivin' Fool (1923)","1h",NA,NA
"A Gentleman of Leisure (1923)","1h",NA,NA
"The Man Between (1923)","1h",NA,NA
"The Grub Stake (1923)","1h 39min",7.1,57
"Der Mann mit der eisernen Maske (1923)","1h 52min",7.1,36
"Koenigsmark (1923)","3h",7.1,8
"Rautakylän vanha parooni (1923)","1h 19min",NA,NA
"Rogues of the Turf (1923)","1h",NA,NA
"Cirano di Bergerac (1923)","1h 53min",6.8,283
"Smashing Barriers (1923)","1h",2.9,10
"The Pipes of Pan (1923)","1h 6min",NA,NA
"Hornet's Nest (1923)","1h",NA,NA
"O Brasil Grandioso (1923)","1h 30min",NA,NA
"Sua Majestade a Mais Bela (1923)","1h 12min",NA,NA
"Ma tante d'Honfleur (1923)","1h",NA,NA
"Corsica (1923)","1h 5min",NA,NA
"Gossette (1923)","3h 53min",NA,NA
"Ce pauvre chéri (1923)","1h 11min",NA,NA
"Landru der Blaubart von Paris (1923)","1h 21min",NA,NA
"Le double (1923)","1h 7min",NA,NA
"La maison du mystère (1923)","6h 22min",7.1,91
"The Blue Lagoon (1923)","1h 20min",5.4,19
"Around the World in the Speejacks (1923)","1h 10min",NA,NA
"Mamis mkvleli (1923)","1h",6.2,21
"Comin' Thro' the Rye (1923)","1h 28min",7.7,36
"Na krylyah vvys (1923)","1h 21min",NA,NA
"Atesten Gömlek (1923)","1h 10min",6.8,32
"Arsena Kachagi (1923)","1h 5min",5.4,14
"Fi bilad Tout Ankh Amon (1923)","1h 20min",NA,NA
"Le brasier ardent (1923)","2h",7,247
"Nedbrudte nerver (1923)","1h 15min",6.7,43
"Besprizornye (1923)","58min",NA,NA
"João da Mata (1923)","1h 30min",NA,NA
"L'appel de la montagne (1923)","1h 22min",NA,NA
"A Canção da Primavera (1923)","1h 32min",5.7,12
"La fuga di Socrate (1923)","1h 4min",5.7,10
"The West~Bound Limited (1923)","1h 2min",6.1,18
"Bolchevikismo (1923)","1h 17min",NA,NA
"Le voile du bonheur (1923)","1h 15min",NA,NA
"Sansone (1923)","1h",NA,NA
"Friedrich Schiller - Eine Dichterjugend (1923)","1h 51min",5.8,47
"Almas de la costa (1923)","1h",4.2,5
"I fjällfolkets land: Dagar i Lappland (1923)","1h 2min",NA,NA
"Le revenant au baiser mortel (1923)","1h 22min",NA,NA
