"Name","RunTime","Rating","Votes"
"Madame DuBarry (1919)","1h 25min",6.8,779
"The Spirit of Lafayette (1919)","1h 40min",NA,NA
"Alraune (1919)","1h 20min",5.5,28
"Az aranyember (1919)","1h 23min",5.9,128
"Dombey and Son (1919)","1h",NA,NA
"The Girl Who Stayed at Home (1919)","1h",6.4,83
"The Great Romance (1919)","1h",2.1,8
"A Romance of Happy Valley (1919)","1h 16min",6.1,345
"Rose Bernd (1919)","1h 10min",NA,NA
"Rose-France (1919)","1h 10min",6.9,37
"The A.B.C. of Love (1919)","1h 6min",6.4,22
"Ace of the Saddle (1919)","1h",5,32
"The Adventures of Ruth (1919)","5h",NA,NA
"The Amazing Wife (1919)","1h",NA,NA
"Anne of Green Gables (1919)","1h",7.2,51
"L'apache (1919)","1h",NA,NA
"L'atleta fantasma (1919)","1h 25min",4.9,12
"Ravished Armenia (1919)","1h 20min",5.9,1092
"Die Austernprinzessin (1919)","1h",7.2,1702
"El automóvil gris (1919)","3h 43min",7.1,178
"Back to God's Country (1919)","1h 13min",6.3,869
"Bare Fists (1919)","1h",4.1,31
"Barrabas (1919)","8h 9min",7.3,70
"Behind the Door (1919)","1h 10min",7.2,232
"The Best Man (1919)","1h",5,7
"Big Little Person (1919)","1h",NA,NA
"Blind Husbands (1919)","1h 39min",7,1367
"The Blinding Trail (1919)","1h",NA,NA
"Bolshevism on Trial (1919)","1h 10min",5.4,33
"The Boomerang (1919)","1h 10min",NA,NA
"The Brand (1919)","1h 10min",6.9,9
"The Brat (1919)","1h 10min",NA,NA
"Broken Blossoms or The Yellow Man and the Girl (1919)","1h 30min",7.3,9535
"The Broken Butterfly (1919)","59min",6.4,111
"The Brute Breaker (1919)","1h",6,8
"The Busher (1919)","1h 3min",5.7,640
"Een Carmen van het Noorden (1919)","1h",6.7,20
"The Carter Case (1919)","5h 10min",6.1,8
"The Challenge of Chance (1919)","1h 10min",NA,NA
"Checkers (1919)","1h 10min",5,7
"The Cinema Murder (1919)","1h",8.3,37
"Common Clay (1919)","1h 10min",NA,NA
"Common Property (1919)","1h",NA,NA
"Creaking Stairs (1919)","1h",NA,NA
"The Crimson Gardenia (1919)","1h",6.6,8
"Daddy-Long-Legs (1919)","1h 25min",6.5,1318
"Dangerous Hours (1919)","1h 10min",5.4,38
"The Dark Star (1919)","1h",8.1,36
"The Delicious Little Devil (1919)","1h 3min",5.9,817
"Deliverance (1919)","1h 30min",6.9,52
"Destiny (1919)","1h",NA,NA
"Don't Change Your Husband (1919)","1h 11min",6.6,1132
"Erstwhile Susan (1919)","1h",NA,NA
"Everywoman (1919)","1h 10min",NA,NA
"The Exquisite Thief (1919)","1h",5.2,10
"Eyes of Youth (1919)","1h 18min",5.3,649
"Fair and Warmer (1919)","1h",NA,NA
"The Fall of Babylon (1919)","1h 22min",6.8,108
"The False Faces (1919)","1h 10min",6,64
"Ett farligt frieri (1919)","1h 5min",6.1,41
"The Feud (1919)","1h",NA,NA
"A Fight for Love (1919)","1h",4.3,27
"The Fighting Roosevelts (1919)","1h",NA,NA
"Fighting Through (1919)","1h",NA,NA
"The Fire Flingers (1919)","1h",NA,NA
"Fires of Faith (1919)","1h",NA,NA
"The Firing Line (1919)","1h 30min",NA,NA
"Fit to Win (1919)","1h",6.4,5
"For Better for Worse (1919)","1h 10min",5.8,698
"Forbidden (1919)","1h",NA,NA
"Getting Mary Married (1919)","1h 5min",6.5,207
"The Girl from Outside (1919)","1h 10min",NA,NA
"The Great Gamble (1919)","5h 10min",6.1,12
"The Great Victory Wilson or the Kaiser? The Fall of the Hohenzollerns (1919)","1h 10min",NA,NA
"The Greatest Question (1919)","1h 20min",5.7,673
"The Grim Game (1919)","1h 11min",6.8,257
"Haceldama ou Le prix du sang (1919)","1h 15min",6,22
"Halbblut (1919)","1h",7,53
"Hans nåds testamente (1919)","1h 15min",6.7,45
"Harakiri (1919)","1h 20min",5.7,575
"Heads Win (1919)","1h",NA,NA
"Heart o' the Hills (1919)","1h 27min",5.7,510
"The Heart of Wetona (1919)","1h 12min",5.7,11
"Hemsöborna (1919)","1h 45min",NA,NA
"Her Code of Honor (1919)","1h",NA,NA
"Her Kingdom of Dreams (1919)","1h 10min",NA,NA
"Herr Arnes pengar (1919)","2h 2min",7.2,1233
"Der Herr der Liebe (1919)","1h",6.1,33
"His Majesty the American (1919)","1h 55min",6.3,59
"Historien om en gut (1919)","1h 20min",6.7,33
"Home (1919)","1h",NA,NA
"The Hoodlum (1919)","1h 18min",6.7,936
"In Old Kentucky (1919)","1h 10min",NA,NA
"Ingmarssönerna (1919)","3h 27min",6.9,98
"The Isle of Conquest (1919)","1h 12min",NA,NA
"J'accuse (1919)","2h 46min",7.7,1490
"Jefthas dotter (1919)","1h 20min",NA,NA
