"Name","RunTime","Rating","Votes"
"Les misérables - Époque 1: Jean Valjean (1913)","1h",6,18
"Quo Vadis? (1913)","2h",6.2,297
"Atlantis (1913)","2h 1min",6.6,350
"Blodets röst (1913)","1h 29min",NA,NA
"The Count of Monte Cristo (1913)","1h 9min",5.9,38
"East Lynne (1913)","1h 9min",NA,NA
"From Dusk to Dawn (1913)","1h 30min",6,88
"Germinal (1913)","2h 30min",6.9,98
"Hamlet (1913)","1h 4min",5.3,44
"Dr. Mawson in the Antarctic (1913)","1h 8min",5.6,7
"Ingeborg Holm (1913)","1h 36min",7.1,1033
"Juve contre Fantômas (1913)","1h 1min",7,1403
"Livets konflikter (1913)","1h 4min",NA,NA
"Miraklet (1913)","1h 40min",NA,NA
"Les misérables - Époque 2: Fantine (1913)","5h",5.9,17
"Le mort qui tue (1913)","1h 30min",7,1093
"One Hundred Years of Mormonism (1913)","1h 30min",5.1,8
"Richard Wagner (1913)","1h 50min",6.3,89
"The Sea Wolf (1913)","1h 10min",5.7,9
"Shadows of the Moulin Rouge (1913)","1h",4.9,8
"Der Student von Prag (1913)","1h 25min",6.5,1858
"Traffic in Souls (1913)","1h 28min",6,574
"Gli ultimi giorni di Pompei (1913)","1h 28min",6.2,485
"Wo ist Coletti? (1913)","1h 26min",5.7,22
"L'enfant de Paris (1913)","2h 4min",7.4,321
"Halvblod (1913)","1h 9min",NA,NA
"Die Suffragette (1913)","1h",5.6,51
"Kun onni pettää (1913)","1h 11min",NA,NA
"Heimat und Fremde (1913)","1h 28min",NA,NA
"Marc'Antonio e Cleopatra (1913)","1h 12min",5.9,41
"O Crime de Paula Matos (1913)","1h 12min",NA,NA
"L'écrin du rajah (1913)","1h 8min",5.4,7
"Life of the Jews of Palestine (1913)","1h 18min",5.8,25
"The Riddle of the Tin Soldier (1913)","58min",NA,NA
"Scott's Antarctic Expedition (1913)","1h 30min",NA,NA
"Le avventure straordinarissime di Saturnino Farandola (1913)","1h 17min",6.4,158
"A Message from Mars (1913)","1h 9min",5,140
"Robespierre (1913)","1h 23min",NA,NA
"I diamanti rosa (1913)","1h 23min",NA,NA
"The Raid of the Human Tigers (1913)","1h 17min",NA,NA
"David Copperfield (1913)","1h 7min",6.4,32
"Spartaco (1913)","1h 28min",5.7,51
"Sans famille (1913)","1h 45min",NA,NA
"Voyage et grandes chasses en Afrique (1913)","1h 28min",NA,NA
"La rose du radjah (1913)","1h",NA,NA
"Le chiffonnier de Paris (1913)","1h 12min",NA,NA
"A sipario calato (1913)","1h 48min",NA,NA
"In hoc signo vinces (In questo segno vincerai) (1913)","1h 1min",5,21
"Dr. Nicholson og den blaa Diamant (1913)","1h 11min",5.5,24
"Rescued from the Burning Stake (1913)","1h 15min",NA,NA
"Die Wittenberger Nachtigall (1913)","1h 2min",NA,NA
