"Name","RunTime","Rating","Votes"
"Of One Blood (1944)","1h 4min",4.3,9
"I bambini ci guardano (1944)","1h 24min",7.7,2473
"Raigekitai Shutsudô (1944)","1h 35min",5.1,17
"Carmen (1944)","2h 4min",6.4,40
"Sorelle Materassi (1944)","1h 12min",6.5,59
"Squadriglia bianca (1944)","1h 18min",7.1,7
"Zazà (1944)","1h 28min",6.6,36
"El 13-13 (1944)","1h 11min",4.1,16
"El as negro (1944)","1h 18min",6.4,7
"Bell-Bottom George (1944)","1h 37min",5.9,183
"Career Girl (1944)","1h 9min",5.5,157
"Una chica de opereta (1944)","1h 22min",4.5,11
"China poblana (1944)","1h 32min",NA,NA
"Le ciel est à vous (1944)","1h 45min",7.2,451
"Circo equestre Za-bum (1944)","1h 25min",3.6,11
"Deber de esposa (1944)","1h 28min",NA,NA
"Il diavolo va in collegio (1944)","1h 23min",NA,NA
"La donna della montagna (1944)","1h 33min",6.2,35
"Egy nap a világ (1944)","1h 21min",NA,NA
"Ez történt Budapesten (1944)","1h 35min",7.7,49
"La fuga (1944)","1h 30min",6.1,14
"Félicie Nanteuil (1944)","1h 39min",6.9,81
"Der gebieterische Ruf (1944)","1h 20min",5.4,7
"Give Us the Moon (1944)","1h 35min",5.7,167
"The Halfway House (1944)","1h 35min",6.8,659
"Hands Across the Border (1944)","1h 12min",6.1,112
"The Heavenly Body (1944)","1h 35min",6.2,699
"Herr Sanders lebt gefährlich (1944)","1h 25min",7.1,8
"Die Hochstaplerin (1944)","1h 21min",NA,NA
"In cerca di felicità (1944)","1h 22min",5.3,7
"Junge Adler (1944)","1h 47min",5.6,30
"Lacrime di sangue (1944)","1h 20min",NA,NA
"Liebesbriefe (1944)","1h 31min",NA,NA
"La locandiera (1944)","1h 11min",5,6
"Machita (1944)","1h 47min",6.4,20
"La mujer sin alma (1944)","2h 9min",6.7,41
"México de mis recuerdos (1944)","1h 31min",7.4,96
"Naná (1944)","1h 27min",6.4,12
"Nászinduló (1944)","1h 41min",7.8,22
"Orosia (1944)","1h 17min",NA,NA
"Phantom Lady (1944)","1h 27min",7.2,4517
"La prigione (1944)","1h 21min",NA,NA
"The Racket Man (1944)","1h 5min",6.7,78
"Resurrezione (1944)","1h 30min",6,5
"Sing a Jingle (1944)","1h 2min",5.8,8
"Song of Russia (1944)","1h 47min",6,250
"Timber Queen (1944)","1h 6min",6,76
"Um neun kommt Harald (1944)","1h 25min",4.6,8
"Valamit visz a víz (1944)","1h 38min",6.6,62
"La vida inútil de Pito Pérez (1944)","1h 50min",7.8,35
"¡Viva mi desgracia! (1944)","1h 35min",7,44
"What a Man! (1944)","1h 7min",5.5,45
"Ladies Courageous (1944)","1h 28min",5.8,122
"Ördöglovas (1944)","1h 22min",5.6,33
"...och alla dessa kvinnor (1944)","1h 51min",4,7
"Kutuzov (1944)","1h 35min",6.9,85
"Two Thousand Women (1944)","1h 37min",6.6,427
"Abroad with Two Yanks (1944)","1h 20min",6.3,64
"Action in Arabia (1944)","1h 15min",6.2,439
"Address Unknown (1944)","1h 15min",6.9,890
"The Adventures of Mark Twain (1944)","2h 10min",7.1,988
"Adversidad (1944)","1h 31min",NA,NA
"Aeroporto (1944)","1h 30min",6.2,5
"Die Affäre Roedern (1944)","1h 29min",5.6,14
"Afrikai völegény (1944)","1h 28min",6.1,20
"Alaska (1944)","1h 16min",5.3,37
"Ali Baba and the Forty Thieves (1944)","1h 27min",6.4,1112
"Allergic to Love (1944)","1h",8.2,8
"Altar mayor (1944)","1h 43min",NA,NA
"An American Romance (1944)","2h 31min",6.8,462
"Amok (1944)","1h 46min",7.2,33
"And Now Tomorrow (1944)","1h 26min",6.8,372
"And the Angels Sing (1944)","1h 36min",6.3,163
"Andy Hardy's Blonde Trouble (1944)","1h 47min",6.6,473
"Anja tule kotiin (1944)","1h 13min",5.2,28
"Appassionata (1944)","1h 48min",5.9,54
"Are These Our Parents? (1944)","1h 13min",3.4,5
"Arizona Whirlwind (1944)","59min",6.6,126
"Army Wives (1944)","1h 8min",5.5,6
"Arribada forzosa (1944)","1h 46min",NA,NA
"Atlantic City (1944)","1h 27min",6.2,92
"Babes on Swing Street (1944)","1h 9min",6.5,25
"Ballaadi (1944)","1h 46min",4.3,21
"Barbary Coast Gent (1944)","1h 27min",6.2,131
"Bathing Beauty (1944)","1h 41min",6.6,1481
"Beautiful But Broke (1944)","1h 14min",6.4,48
"Bedstemor går amok (1944)","1h 8min",5.7,21
"Bees in Paradise (1944)","1h 12min",5.3,115
"Belle of the Yukon (1944)","1h 23min",5.3,339
"Bermuda Mystery (1944)","1h 5min",5.9,50
"Between Two Worlds (1944)","1h 52min",7.2,1815
"The Big Bonanza (1944)","1h 10min",6,46
"The Big Noise (1944)","1h 14min",6.5,1133
"Biskoppen (1944)","1h 40min",7.2,48
"Black Arrow (1944)","4h 30min",5.4,32
"The Black Parachute (1944)","1h 25min",5.3,56
"Block Busters (1944)","1h",5.3,346
"Blonde Fever (1944)","1h 9min",5.5,295
"Bluebeard (1944)","1h 12min",5.9,1645
"Bolshaya zemlya (1944)","1h 23min",6.3,28
"Boss of Boomtown (1944)","58min",4.6,23
"Le bossu (1944)","1h 50min",5.5,47
"Bowery Champs (1944)","1h 2min",5.2,373
"Bowery to Broadway (1944)","1h 34min",7.3,52
"Brazil (1944)","1h 31min",6.6,157
"Bride by Mistake (1944)","1h 21min",6.3,277
"The Bridge of San Luis Rey (1944)","1h 47min",5.8,164
"Broadway Rhythm (1944)","1h 55min",5.9,245
"Brudekronen (1944)","1h 16min",NA,NA
"Buffalo Bill (1944)","1h 30min",6.4,1365
"Call of the Jungle (1944)","1h",4.5,52
"Call of the South Seas (1944)","59min",5,34
"Can't Help Singing (1944)","1h 30min",6.3,516
"Candlelight in Algeria (1944)","1h 26min",6.3,236
"Candles at Nine (1944)","1h 22min",6.2,96
"A Canterbury Tale (1944)","2h 4min",7.5,5137
"The Canterville Ghost (1944)","1h 35min",6.9,2597
"Captain America (1944)","4h 4min",5.5,827
"Carolina Blues (1944)","1h 21min",5.7,144
"Casanova Brown (1944)","1h 34min",6.3,1011
"Casanova in Burlesque (1944)","1h 14min",6,28
"Champagne Charlie (1944)","1h 45min",6.6,259
"Black Magic (1944)","1h 7min",6.6,1284
"Charlie Chan in the Secret Service (1944)","1h 3min",6.5,1455
"Charlie Chan in The Chinese Cat (1944)","1h 6min",6.7,1287
"Chip Off the Old Block (1944)","1h 11min",7.1,45
"Christmas Holiday (1944)","PG",6.6,1233
"El clavo (1944)","1h 39min",6.7,148
"The Climax (1944)","1h 26min",5.4,721
"Cobra Woman (1944)","PG",5.8,985
"The Conspirators (1944)","1h 41min",6.5,1084
"The Contender (1944)","1h 3min",5.5,76
"Three of a Kind (1944)","1h",6.3,32
"El corsario negro (1944)","1h 40min",6.2,20
"Cover Girl (1944)","1h 47min",6.8,4865
"Cowboy Canteen (1944)","1h 12min",6.6,65
"Cowboy and the Senorita (1944)","1h 18min",5.9,240
"Crazy Knights (1944)","1h 3min",5.3,76
"Crime by Night (1944)","1h 12min",6.2,428
"Cry of the Werewolf (1944)","1h 3min",5.4,862
"The Curse of the Cat People (1944)","PG",6.8,5886
"Cécile est morte! (1944)","1h 30min",6.4,153
"En dag skall gry (1944)","1h 35min",5.4,36
"La dama de las camelias (1944)","1h 55min",5.2,5
"Dangerous Passage (1944)","1h",5.5,243
"Dark Waters (1944)","1h 30min",6.5,886
"David Bek (1944)","1h 33min",6.3,29
"Days of Glory (1944)","PG",6.2,1189
"Dead Man's Eyes (1944)","1h 4min",6.1,643
"Die Degenhardts (1944)","1h 33min",6.2,18
"Delinquent Daughters (1944)","1h 12min",3.2,254
"The Desert Hawk (1944)","4h 45min",6.4,27
"Destiny (1944)","1h 5min",6.3,134
"Dixie Jamboree (1944)","1h 12min",4.5,75
"Dolly tar chansen (1944)","1h 19min",4.2,10
"Don't Take It to Heart! (1944)","1h 30min",6.6,125
"Ich bitte um Vollmacht (1944)","1h 17min",7.2,6
"Las dos huérfanas (1944)","2h 5min",NA,NA
"En dotter född (1944)","1h 41min",5.4,27
"Double Exposure (1944)","1h 3min",6.1,184
"Double Indemnity (1944)","1h 47min",8.3,145240
"The Doughgirls (1944)","1h 42min",6.3,540
