"Name","RunTime","Rating","Votes"
"Panhandle (1948)","1h 25min",6.2,166
"Marinai senza stelle (1948)","1h 23min",7.8,22
"Frech und verliebt (1948)","1h 32min",7.3,13
"Intimitäten (1948)","1h 13min",8.3,7
"Fahrt ins Glück (1948)","1h 28min",8.4,10
"Das kleine Hofkonzert (1948)","1h 10min",7.6,9
"Aventuras del capitán Guido (1948)","1h 27min",5.7,6
"La próxima vez que vivamos (1948)","1h 31min",NA,NA
"Lo sconosciuto di San Marino (1948)","1h 25min",5.8,63
"Shep Comes Home (1948)","1h",5.8,12
"Sotto il sole di Roma (1948)","1h 35min",7.1,239
"L'aigle à deux têtes (1948)","1h 33min",6.7,496
"L'urlo (1948)","1h 24min",NA,NA
"Alhucemas (1948)","1h 35min",4.9,15
"Alma baturra (1948)","1h 9min",NA,NA
"Always Another Dawn (1948)","1h 48min",5.9,9
"Amanhã Como Hoje (1948)","1h 13min",NA,NA
"Amanti senza amore (1948)","1h 13min",6.2,16
"Les amoureux sont seuls au monde (1948)","1h 45min",6.9,178
"Assunta Spina (1948)","1h 31min",6.6,96
"Les aventures des Pieds-Nickelés (1948)","1h 35min",5.6,12
"La belle meunière (1948)","1h 39min",5.8,68
"Bill and Coo (1948)","1h 1min",5.5,231
"Blanche Fury (1948)","1h 30min",6.7,761
"Bond Street (1948)","1h 49min",6.7,91
"Borrowed Trouble (1948)","58min",7,148
"Botón de ancla (1948)","1h 40min",6,63
"Brighton Rock (1948)","1h 32min",7.4,5319
"Cartas marcadas (1948)","1h 32min",7.6,43
"La casa de las sonrisas (1948)","1h 35min",5.4,5
"Il cavaliere misterioso (1948)","1h 30min",6.6,134
"Le comédien (1948)","1h 35min",7.1,80
"Conflicto inesperado (1948)","1h 33min",NA,NA
"Croisière pour l'inconnu (1948)","1h 30min",NA,NA
"Cuore (1948)","1h 31min",6.2,65
"La dame d'onze heures (1948)","1h 37min",6.5,162
"Daybreak (1948)","1h 21min",6.7,229
"Les dernières vacances (1948)","1h 35min",6.9,147
"Dos mujeres en la niebla (1948)","1h 39min",NA,NA
"Dédée d'Anvers (1948)","1h 26min",7,402
"L'ebreo errante (1948)","1h 40min",6.7,52
"Embrujo (1948)","1h 20min",6.3,36
"Il fiacre N. 13 (1948)","1h 30min",6.8,12
"Film ohne Titel (1948)","1h 39min",6.8,169
"Germania anno zero (1948)","1h 18min",7.9,10926
"Gioventù perduta (1948)","1h 20min",6.9,124
"Hermoso ideal (1948)","1h 21min",6.3,20
"Perilous Waters (1948)","1h 6min",6,9
"Juan Charrasqueado (1948)","1h 38min",7.7,23
"Krakatit (1948)","1h 50min",7.4,354
"Larceny (1948)","1h 29min",6.9,280
"Legge di sangue (1948)","1h 31min",NA,NA
"Lohengrin (1948)","1h 42min",NA,NA
"Mademoiselle s'amuse (1948)","1h 35min",5,11
"Manù il contrabbandiere (1948)","1h 31min",6.3,6
"Mary Lou (1948)","1h 5min",NA,NA
"Caccia all'uomo (1948)","1h 26min",6.8,106
"El muchacho alegre (1948)","1h 30min",5,9
"Nocturno de amor (1948)","1h 38min",6.2,6
"Nosotros los pobres (1948)","2h 8min",7.9,975
"Pagliacci - Amore tragico (1948)","1h 21min",6.6,74
"Que Dios me perdone (1948)","1h 37min",6.4,36
"Revelación (1948)","1h 29min",NA,NA
"Call of the Blood (1948)","1h 28min",5,6
"Russkiy vopros (1948)","1h 31min",6.5,68
"Ruy Blas (1948)","1h 33min",6.6,119
"Río Escondido (1948)","1h 50min",7.1,189
"La serpiente de cascabel (1948)","1h 13min",7.1,19
"Skazanie o zemle sibirskoy (1948)","1h 54min",6.8,92
"Song of My Heart (1948)","1h 25min",5,7
"The Tender Years (1948)","1h 21min",6.7,23
"Things Happen at Night (1948)","1h 19min",4.5,150
"Las tinieblas quedaron atrás (1948)","1h 20min",NA,NA
"Gli uomini sono nemici (1948)","1h 48min",6.4,7
"El verdugo (1948)","1h 27min",NA,NA
"A Woman's Vengeance (1948)","PG",6.7,389
"Women in the Night (1948)","1h 38min",4.7,137
"13 Lead Soldiers (1948)","1h 4min",6.2,95
"3 Godfathers (1948)","1h 46min",7.1,8534
"Aag (1948)","2h 18min",7.4,355
"Bud Abbott Lou Costello Meet Frankenstein (1948)","1h 23min",7.4,14940
"Accidenti alla guerra!... (1948)","1h 26min",NA,NA
"An Act of Murder (1948)","1h 31min",7,605
"Adventures in Silverado (1948)","1h 15min",6.3,46
"Adventures of Casanova (1948)","1h 23min",6.5,40
"Adventures of Don Juan (1948)","1h 50min",7,2802
"Adventures of Frank and Jesse James (1948)","3h",7,122
"Adventures of Gallant Bess (1948)","1h 11min",5.2,85
"Affaire Blum (1948)","1h 49min",7.8,40
"Against the Wind (1948)","1h 36min",6.5,505
"Las aguas bajan negras (1948)","1h 40min",6,38
"Albuquerque (1948)","1h 30min",6.6,618
"Alegres vacaciones (1948)","1h 13min",4.5,6
"Alias a Gentleman (1948)","1h 16min",6.3,80
"Alisher Navoy (1948)","1h 40min",7,22
"All My Sons (1948)","1h 34min",7.4,1695
"L'amore (1948)","1h 9min",6.9,1455
"Angel in Exile (1948)","1h 30min",6.4,87
"Angel on the Amazon (1948)","1h 26min",5.7,90
"Angelitos negros (1948)","1h 40min",7.1,288
"Angels' Alley (1948)","1h 7min",6.2,220
"Anna Karenina (1948)","2h 19min",6.7,2470
"Anni (1948)","1h 33min",5.4,5
"Anni difficili (1948)","1h 53min",7.3,143
"Another Part of the Forest (1948)","1h 47min",7,454
"Another Shore (1948)","1h 17min",6,97
"Apartment for Peggy (1948)","1h 36min",7.2,898
"Der Apfel ist ab (1948)","1h 45min",7,64
"Appointment with Murder (1948)","1h 7min",5.8,136
"April Showers (1948)","1h 34min",6,281
"Arch of Triumph (1948)","2h",6.4,1390
"Arche Nora (1948)","1h 22min",8.2,11
"Are You with It? (1948)","1h 33min",6.8,78
"The Argyle Secrets (1948)","1h 4min",6.5,129
"The Arizona Ranger (1948)","1h 4min",6.4,122
"L'armoire volante (1948)","1h 30min",6.8,199
"Arrivederci papà! (1948)","1h 25min",NA,NA
"Arthur Takes Over (1948)","1h 3min",5.7,22
"Assigned to Danger (1948)","1h 6min",5.8,78
"Aventuras de don Juan de Mairena (1948)","1h 53min",5.5,15
"B.F.'s Daughter (1948)","1h 48min",6.2,651
"The Babe Ruth Story (1948)","1h 46min",5.3,977
"Bagarres (1948)","1h 35min",5.8,16
"Banketten (1948)","1h 46min",6.9,178
"Il barone Carlo Mazza (1948)","1h 25min",4.6,11
"Behind Locked Doors (1948)","1h 2min",6.6,800
"Belle Starr's Daughter (1948)","1h 26min",5.9,130
"Berlin Express (1948)","PG",6.8,2932
"Berliner Ballade (1948)","1h 29min",7.1,149
"Best Man Wins (1948)","1h 18min",5.9,34
"Beyond Glory (1948)","1h 22min",6.7,213
"Big City (1948)","1h 43min",6.5,220
"The Big Clock (1948)","1h 35min",7.7,7877
"The Big Punch (1948)","1h 20min",6.9,33
"Big Town Scandal (1948)","1h",5.2,57
"The Black Arrow (1948)","1h 16min",6.2,289
"Black Bart (1948)","1h 20min",6.3,353
"Black Eagle (1948)","1h 16min",7.3,12
"The Blind Goddess (1948)","1h 27min",6.5,91
"Blondie's Reward (1948)","1h 6min",6.6,136
"Blondie's Secret (1948)","1h 8min",6.7,144
"Blood on the Moon (1948)","1h 28min",6.9,2448
"Boarding House Blues (1948)","1h 30min",6.8,65
"Bob and Sally (1948)","1h 11min",5.5,8
"Bodyguard (1948)","1h 2min",6.5,883
"Bohemian Rapture (1948)","1h 28min",NA,NA
"The Bold Frontiersman (1948)","59min",7.3,20
"Bonnie Prince Charlie (1948)","2h 16min",5.3,241
"The Boy with Green Hair (1948)","1h 22min",6.7,2659
"Brass Monkey (1948)","1h 40min",5.2,132
"The Bride Goes Wild (1948)","1h 38min",6.4,363
"Brindis a Manolete (1948)","1h 28min",3.8,15
"Broken Journey (1948)","1h 29min",5.8,204
"Bungalow 13 (1948)","1h 10min",NA,NA
"The Calendar (1948)","1h 19min",5.9,54
"California Firebrand (1948)","1h 3min",6.3,26
"Call Northside 777 (1948)","1h 52min",7.4,8124
"La calle sin sol (1948)","1h 35min",7.2,90
"Campus Honeymoon (1948)","1h 1min",6.2,8
"Canción mortal (1948)","1h 30min",NA,NA
"Canon City (1948)","1h 22min",6.5,343
"Carson City Raiders (1948)","1h",7.6,40
"Casbah (1948)","1h 34min",6,423
"Les casse-pieds (1948)","1h 15min",6.7,75
"La Chartreuse de Parme (1948)","2h 50min",7,371
"The Challenge (1948)","1h 8min",6.7,37
"Chandralekha (1948)","3h 27min",6.9,38
"Che tempi! (1948)","1h 30min",6.7,29
"The Checkered Coat (1948)","1h 6min",5.3,6
