"Name","RunTime","Rating","Votes"
"Assunta Spina (1915)","1h 12min",6.4,391
"Der Golem (1915)","1h",6.8,1058
"A tolonc (1915)","1h 7min",6.3,172
"The Absentee (1915)","1h",NA,NA
"Alias Jimmy Valentine (1915)","1h 5min",6.5,215
"The Battle Cry of Peace (1915)","1h 30min",4.3,6
"The Birth of a Nation (1915)","(Banned)",6.3,23002
"The Black Box (1915)","3h 15min",3.7,9
"The Broken Coin (1915)","7h 20min",6.5,15
"Business Is Business (1915)","1h",NA,NA
"Carmen (1915)","59min",6.4,919
"The Chalice of Courage (1915)","1h 5min",NA,NA
"The Cheat (1915)","59min",6.6,2377
"A Child of the Prairie (1915)","1h 3min",NA,NA
"Children of Eve (1915)","1h 13min",6.5,84
"The College Orphan (1915)","1h",NA,NA
"The Coward (1915)","1h 17min",6,253
"The Eternal City (1915)","1h 20min",7.2,6
"Fanchon the Cricket (1915)","1h 15min",6.4,140
"A Fool There Was (1915)","1h 7min",5.8,810
"The Golden Chance (1915)","1h 14min",6.4,195
"The Heart of Maryland (1915)","1h",NA,NA
"Hearts in Exile (1915)","59min",5.3,43
"How Molly Malone Made Good (1915)","1h",6,29
"The Immigrant (1915)","1h",7.2,26
"In the Palace of the King (1915)","1h",NA,NA
"The Iron Strain (1915)","1h",4.8,9
"The Italian (1915)","1h 12min",6.5,319
"Judge Not; or The Woman of Mona Diggings (1915)","1h",NA,NA
"The Juggernaut (1915)","1h 2min",6.1,15
"Life Without Soul (1915)","1h 10min",6.5,28
"The Long Chance (1915)","1h",NA,NA
"Maciste (1915)","1h 7min",5.9,136
"Madame Butterfly (1915)","1h 1min",5.2,55
"Madame de Thèbes (1915)","1h 8min",5.9,37
"Martyrs of the Alamo (1915)","1h 11min",5.5,138
"The Masqueraders (1915)","1h",NA,NA
"The Millionaire Baby (1915)","1h",5,7
"On the Firing Line with the Germans (1915)","1h 30min",6.7,12
"On the Night Stage (1915)","1h 2min",5.8,45
"Peladilla cochero de punto (1915)","1h 40min",NA,NA
"Playing Dead (1915)","58min",5.9,7
"The Regeneration (1915)","1h 12min",6.8,1149
"Stingaree (1915)","4h 10min",NA,NA
"Sweet Alyssum (1915)","59min",7,6
"Temptation (1915)","1h",6.5,6
"Trilby (1915)","59min",6,82
"Les vampires (1915)","7h 1min",7.3,4332
"The Whirl of Life (1915)","1h",6.5,20
"Who Pays? (1915)","6h",6.9,16
"The Wonderful Adventure (1915)","1h",NA,NA
"Het wrak van de Noorzee (1915)","1h",5.4,11
"Young Romance (1915)","59min",5.9,152
"Civilization (1915)","1h 25min",6,294
"Evangeliemandens liv (1915)","1h",6.3,59
"Pro Patria (1915)","1h 12min",5.4,12
"Revolutionsbryllup (1915)","1h 3min",4.5,6
"Der Tunnel (1915)","1h 37min",6.1,13
"Das Gesetz der Mine (1915)","1h 9min",NA,NA
"Sein schwierigster Fall (1915)","1h 14min",NA,NA
"Nobleza gaucha (1915)","1h",6,58
"Filibus (1915)","1h 16min",6.5,112
"Fior di male (1915)","1h 2min",6.7,21
"The New Adventures of J. Rufus Wallingford (1915)","4h 40min",5.5,17
"Inocência (1915)","1h 28min",NA,NA
"Der Meineidbauer (1915)","1h 45min",NA,NA
"Christmas Memories (1915)","1h 2min",NA,NA
"Tsar Ivan Vasilevich Groznyy (1915)","58min",6.2,29
"Ce qu'on voit (1915)","58min",NA,NA
"Balgaran e galant (1915)","1h",7.1,54
"Nurse and Martyr (1915)","1h 20min",NA,NA
"Une page de gloire (1915)","1h",5.4,7
"Der gestreifte Domino (1915)","1h 11min",NA,NA
"Deti veka (1915)","1h 1min",6.1,129
"Paragraph 14 B.G.B. (1915)","1h 16min",NA,NA
"Il jockey della morte (1915)","58min",6.1,18
"California Scrap Book (1915)","1h 9min",NA,NA
"Inocendia (1915)","1h 28min",NA,NA
"Kapellmeister Pflegekind (1915)","1h 21min",NA,NA
