"Name","RunTime","Rating","Votes"
"Altes Herz geht auf die Reise (1947)","1h 27min",6.5,13
"Shakuntala (1947)","2h 2min",6.7,6
"Am Ende der Welt (1947)","1h 24min",6.5,6
"Moss Rose (1947)","1h 22min",6.7,303
"Spuk im Schloß (1947)","1h 22min",5.6,11
"Umwege zu dir (1947)","1h 26min",5.3,6
"Cuando lloran los valientes (1947)","1h 45min",7.3,59
"Geld ins Haus (1947)","1h 21min",6.4,30
"Ima hitotabi no (1947)","1h 58min",7,26
"La perla (1947)","1h 25min",7.4,887
"Abel Sánchez (1947)","1h 17min",NA,NA
"Addio mia bella Napoli! (1947)","1h 31min",NA,NA
"L'apocalisse (1947)","1h 30min",NA,NA
"Il barbiere di Siviglia (1947)","1h 30min",7.2,16
"Le bataillon du ciel (1947)","2h 10min",6.2,34
"California (1947)","1h 37min",6.2,812
"Il cavaliere del sogno (1947)","1h 39min",6.8,9
"Le chanteur inconnu (1947)","1h 30min",6.1,27
"Cinco rostros de mujer (1947)","1h 33min",7.2,16
"Copie conforme (1947)","1h 45min",6.8,247
"Cronaca nera (1947)","1h 30min",NA,NA
"Dernier refuge (1947)","1h 30min",6.3,6
"Le diable au corps (1947)","1h 50min",7,709
"Dos mujeres y un rostro (1947)","1h 35min",NA,NA
"Dr. Kotnis Ki Amar Kahani (1947)","2h 4min",6.9,70
"Dual Alibi (1947)","1h 21min",6.8,193
"Dulcinea (1947)","1h 50min",NA,NA
"Les beaux jours du roi Murat (1947)","1h 25min",4.6,10
"L'elisir d'amore (1947)","1h 30min",5.9,22
"Fame Is the Spur (1947)","1h 56min",6.8,190
"Fatalità (1947)","1h 18min",5.6,11
"Furia (1947)","1h 34min",4.2,5
"La grande aurora (1947)","1h 30min",NA,NA
"El huésped del cuarto número 13 (1947)","1h 49min",6.4,8
"Héroes del 95 (1947)","1h 27min",NA,NA
"The Mighty McGurk (1947)","1h 25min",6.3,188
"My Brother Talks to Horses (1947)","1h 32min",6.1,231
"Non coupable (1947)","1h 35min",7.4,180
"Preludio d'amore (1947)","1h 25min",7.2,6
"La primula bianca (1947)","1h 25min",6.1,9
"Robinzon Kruzo (1947)","1h 13min",6.7,65
"La septième porte (1947)","1h 28min",6.4,10
"Si me han de matar mañana (1947)","1h 53min",7.2,40
"Sinfonia fatale (1947)","1h 31min",NA,NA
"Six heures à perdre (1947)","1h 30min",6.2,12
"That's My Man (1947)","1h 39min",6.6,80
"Los tres García (1947)","1h 58min",7.9,595
"Ultimo amore (1947)","1h 46min",NA,NA
