"Name","RunTime","Rating","Votes"
"Queen Kelly (1932)","1h 41min",7.1,3080
"The Menace (1932)","1h 4min",6.9,448
"Peter Voss der Millionendieb (1932)","1h 44min",6.5,19
"The Third String (1932)","1h 5min",NA,NA
"Beauty and the Boss (1932)","1h 6min",6.9,534
"Business and Pleasure (1932)","1h 17min",6.5,27
"Coeur de lilas (1932)","1h 30min",6.9,171
"The Crooked Lady (1932)","1h 15min",NA,NA
"Down Our Street (1932)","1h 27min",NA,NA
"The Heart of New York (1932)","1h 13min",6,150
"The Fighting Fool (1932)","58min",5.3,14
"Die fünf verfluchten Gentlemen (1932)","1h 20min",5.9,8
"It's Tough to Be Famous (1932)","1h 19min",5.9,164
"Gorizont (1932)","1h 43min",5.9,15
"Love in High Gear (1932)","1h 6min",5.6,61
"Men Like These (1932)","1h 3min",5.9,15
"Murder at Covent Garden (1932)","1h 32min",NA,NA
"Good Night Vienna (1932)","1h 15min",6.6,14
"The Unexpected Father (1932)","1h 11min",6.6,7
"Scarlet Dawn (1932)","58min",6,256
"Santa (1932)","1h 21min",6.9,203
"The Stronger Sex (1932)","1h 25min",5.8,12
"Tomorrow and Tomorrow (1932)","1h 20min",6.1,12
"Die verliebte Firma (1932)","1h 13min",6.2,104
"Zwei himmelblaue Augen (1932)","1h 29min",NA,NA
"¿Cuándo te suicidas? (1932)","1h 21min",NA,NA
"70000 Witnesses (1932)","1h 9min",5.8,40
"Das Abenteuer der Thea Roland (1932)","1h 29min",6.5,8
"Abenteuer im Engadin (1932)","1h 27min",6.6,8
"Acht Mädels im Boot (1932)","1h 21min",5.6,7
"Afraid to Talk (1932)","1h 9min",7.2,88
"After Tomorrow (1932)","1h 19min",6.7,268
"The Age of Consent (1932)","1h 3min",5.9,317
"Air Mail (1932)","1h 24min",6.4,389
"The Airmail Mystery (1932)","3h 45min",5.8,11
"Alias Mary Smith (1932)","1h 1min",4.7,40
"Alias the Doctor (1932)","1h 1min",6,241
"The All-American (1932)","1h 19min",6,54
"Amateur Daddy (1932)","1h 11min",NA,NA
"American Madness (1932)","1h 15min",7.4,1833
"The Animal Kingdom (1932)","1h 25min",6.4,1019
"Are You Listening? (1932)","1h 13min",6.2,469
"Aren't We All? (1932)","1h 20min",NA,NA
"The Arm of the Law (1932)","1h",5.3,14
"Arsène Lupin (1932)","1h 24min",6.9,987
"As You Desire Me (1932)","1h 10min",6.4,592
"Attorney for the Defense (1932)","1h 10min",6.3,132
"Au nom de la loi (1932)","1h 35min",6.5,81
"Baby (1932)","1h 26min",6.7,15
"Bachelor's Affairs (1932)","1h 4min",6.9,29
"Bachelor's Baby (1932)","58min",NA,NA
"Back Street (1932)","1h 33min",7,651
"Die Tänzerin von Sans Souci (1932)","1h 33min",6.2,6
"Baroud (1932)","1h 5min",6.2,52
"The Barton Mystery (1932)","1h 16min",NA,NA
"Tell Me Tonight (1932)","1h 31min",7,6
"The Beast of the City (1932)","1h 26min",6.7,1171
"Beauty Parlor (1932)","1h 4min",5.7,28
"Behind Stone Walls (1932)","58min",5.2,52
"Behind the Mask (1932)","1h 8min",6.2,236
"Between Fighting Men (1932)","59min",5.7,58
"The Big Broadcast (1932)","1h 20min",6.8,200
"Big City Blues (1932)","1h 3min",6.1,650
"The Big Timer (1932)","1h 12min",5.5,229
"A Bill of Divorcement (1932)","1h 10min",6.5,1524
"Mr. Bill the Conqueror (1932)","1h 27min",NA,NA
"Bird of Paradise (1932)","1h 20min",6.1,1146
"The Black Ghost (1932)","1h 10min",5.8,6
"The Black King (1932)","1h 12min",4.8,36
"Diamond Cut Diamond (1932)","1h 11min",5.3,6
"Das blaue Licht - Eine Berglegende aus den Dolomiten (1932)","1h 25min",6.8,1140
"Das Blaue vom Himmel (1932)","1h 17min",7,26
"Blessed Event (1932)","1h 20min",7,552
"Blind Spot (1932)","1h 15min",NA,NA
"Blonde Venus (1932)","1h 33min",7.1,4506
"Ein blonder Traum (1932)","1h 38min",5.8,204
"Blondie of the Follies (1932)","1h 31min",6.5,1160
"The Blue Danube (1932)","1h 12min",NA,NA
"The Boiling Point (1932)","1h 10min",6.7,19
"Border Devils (1932)","1h 5min",6,49
"Boudu sauvé des eaux (1932)","1h 25min",7.3,5193
"Breach of Promise (1932)","1h 4min",NA,NA
"Broken Lullaby (1932)","1h 16min",7.6,875
"The Broken Wing (1932)","1h 11min",5.5,18
"Brother Alfred (1932)","1h 14min",6.1,10
"Bröderna Östermans huskors (1932)","1h 31min",NA,NA
"-But the Flesh Is Weak (1932)","1h 17min",5.7,231
"By Whose Hand? (1932)","1h 5min",6.7,131
"C.O.D. (1932)","1h 4min",5.7,6
"The Cabin in the Cotton (1932)","1h 18min",6.8,1457
"The Call Box Mystery (1932)","1h 13min",NA,NA
"Call Her Savage (1932)","1h 28min",7,697
"Cannonball Express (1932)","59min",6.1,9
"Careless Lady (1932)","1h 8min",6.3,89
"Carmen (1932)","1h 17min",5.9,7
"Carnival Boat (1932)","1h 2min",5.5,286
"Deception (1932)","1h 5min",6.3,11
"Central Park (1932)","58min",6.2,339
"Chandidas (1932)","2h 13min",6.4,24
"Chandu the Magician (1932)","1h 11min",6.3,895
"Charlie Chan's Chance (1932)","1h 13min",6.1,416
"¡Que viva Mexico! (1932)","1h 28min",NA,NA
"Chûshingura - Zempen: Akahokyô no maki (1932)","1h 49min",6.3,14
"Cinque a zero (1932)","1h 10min",NA,NA
"Cock of the Air (1932)","1h 20min",6.9,54
"The Cohens and Kellys in Hollywood (1932)","1h 15min",6.1,48
"Coiffeur pour dames (1932)","1h 35min",6.3,6
"Collision (1932)","1h 28min",NA,NA
"Come On Tarzan (1932)","1h 1min",6.9,46
"Frisco Jenny (1932)","1h 13min",6.9,907
"Condemned to Death (1932)","1h 15min",5,5
"Conduisez-moi Madame (1932)","1h 20min",NA,NA
"The Conquerors (1932)","1h 26min",6.3,243
"The County Fair (1932)","1h 11min",NA,NA
"La couturière de Lunéville (1932)","1h 35min",NA,NA
"The Crash (1932)","58min",6,280
"Les croix de bois (1932)","1h 55min",7.7,1248
"The Crooked Circle (1932)","1h 10min",5.4,281
"Crooner (1932)","1h 8min",5.9,151
"Cross-Examination (1932)","1h 14min",5.8,77
"The Crowd Roars (1932)","1h 25min",6.2,1144
"Kreuzer Emden (1932)","1h 25min",7,19
"The Crusader (1932)","1h 5min",6.4,53
"Csókolj meg édes! (1932)","1h 42min",NA,NA
"Cynara (1932)","1h 15min",6.5,596
"Dance Team (1932)","1h 16min",6.7,7
"Dancers in the Dark (1932)","1h 14min",6,120
"The Dark Horse (1932)","1h 15min",7,1050
"Dela i lyudi (1932)","1h 10min",7,12
"Destry Rides Again (1932)","1h 1min",6.7,86
"Detective Lloyd (1932)","3h 36min",3.4,23
"The Devil Horse (1932)","3h 36min",6.5,32
"Devil on Deck (1932)","1h 10min",4.9,10
"Devil and the Deep (1932)","1h 18min",6.3,492
"The Devil Is Driving (1932)","1h 5min",6.4,45
"Devil's Lottery (1932)","1h 18min",6.4,7
"Die - oder keine (1932)","1h 31min",7.2,11
"Discarded Lovers (1932)","1h",5.1,85
"Disorderly Conduct (1932)","1h 22min",6.8,29
"Divorce in the Family (1932)","1h 21min",5.9,123
"Dlya vas naydyotsya rabota (1932)","1h 10min",NA,NA
"Docks of San Francisco (1932)","1h 4min",5.7,41
"Doctor X (1932)","1h 16min",6.4,2870
"The Doomed Battalion (1932)","1h 21min",6.8,26
"Down to Earth (1932)","1h 19min",6.4,63
"Downstairs (1932)","1h 17min",6.8,1662
"The Drifter (1932)","1h 11min",5.5,45
"Drifting Souls (1932)","1h 4min",NA,NA
"Due cuori felici (1932)","1h 18min",NA,NA
"Dynamite Ranch (1932)","59min",6.3,51
"Ebb Tide (1932)","1h 14min",6,9
"Eine von uns (1932)","1h 29min",NA,NA
"Emma (1932)","1h 12min",7,916
"End of the Trail (1932)","59min",7.2,46
"Das erste Recht des Kindes (1932)","1h 18min",NA,NA
"Es war einmal ein Walzer (1932)","1h 18min",6.5,15
"Es wird schon wieder besser (1932)","1h 7min",6.6,13
"Escapade (1932)","1h 7min",4.9,7
"Evenings for Sale (1932)","1h 1min",7.1,87
"The Expert (1932)","1h 8min",6,124
"Exposed (1932)","1h 3min",NA,NA
"Exposure (1932)","1h 11min",5.7,31
"F.P.1 antwortet nicht (1932)","1h 54min",6.3,206
"The Faithful Heart (1932)","1h 23min",6.8,16
"Faithless (1932)","1h 17min",6.8,483
"False Faces (1932)","1h 13min",6.6,55
"The Famous Ferguson Case (1932)","1h 14min",6.5,275
"Fanny (1932)","2h 20min",7.7,1536
"Fantegutten (1932)","1h 17min",6.6,7
"A Farewell to Arms (1932)","1h 20min",6.5,5209
"Fast Companions (1932)","1h 11min",6.5,12
"Fast Life (1932)","1h 22min",5.7,496
"The Fighting Champ (1932)","59min",5.1,33
"The Fighting Gentleman (1932)","1h 8min",NA,NA
"The Final Edition (1932)","1h 6min",6.3,102
"Fireman Save My Child! (1932)","1h 7min",5.9,229
"The First Mrs. Fraser (1932)","1h 35min",NA,NA
"The First Year (1932)","1h 20min",6.5,14
"Flames (1932)","1h 3min",5.5,35
"Flesh (1932)","1h 36min",6.5,516
"A Fool's Advice (1932)","1h 3min",5.2,71
"For the Love of Mike (1932)","1h 25min",5.9,24
"Forbidden (1932)","1h 25min",6.9,1317
"Forbidden Company (1932)","1h 7min",NA,NA
"Forgotten Commandments (1932)","1h 15min",6.4,31
"The Forty-Niners (1932)","59min",5.9,8
"Frail Women (1932)","1h 12min",5.9,42
"Der Frauendiplomat (1932)","1h 14min",NA,NA
