"Name","RunTime","Rating","Votes"
"Frisco Sally Levy (1927)","1h 10min",NA,NA
"Funkzauber (1927)","1h",NA,NA
"Galloping Fury (1927)","1h",3.1,10
"The Garden of Allah (1927)","1h 36min",6.6,16
"The Gaucho (1927)","1h 55min",7,293
"The Gay Defender (1927)","1h 10min",6.5,8
"The Gay Old Bird (1927)","1h 10min",6.4,5
"The Gay Retreat (1927)","1h",5,10
"A Gentleman of Paris (1927)","1h 5min",6.9,27
"Get Your Man (1927)","1h 3min",6.6,173
"Getting Gertie's Garter (1927)","1h 14min",6.9,51
"Der Geisterzug (1927)","1h 11min",7.1,48
"The Gingham Girl (1927)","1h 10min",NA,NA
"Ginsberg the Great (1927)","1h",NA,NA
"The Girl from Chicago (1927)","1h 10min",NA,NA
"The Girl in the Pullman (1927)","1h",7,30
"Giuli (1927)","1h 10min",5.2,13
"Den glade enke i Trangvik (1927)","1h 39min",NA,NA
"Good Time Charley (1927)","1h 10min",6,23
"The Gorilla (1927)","1h 20min",7.2,21
"The Great Mail Robbery (1927)","1h 10min",NA,NA
"Der große Sprung - Eine unwahrscheinliche aber bewegte Geschichte (1927)","1h 52min",6.3,95
"Ham and Eggs at the Front (1927)","1h",5.5,19
"Hans engelska fru (1927)","2h 30min",6,16
"Hard-Boiled Haggerty (1927)","1h 20min",NA,NA
"Hawk of the Hills (1927)","3h 20min",6.8,8
"The Heart of Maryland (1927)","1h",6.1,10
"The Heart of Salome (1927)","1h",NA,NA
"Held by the Law (1927)","1h 16min",NA,NA
"The Private Life of Helen of Troy (1927)","1h 27min",5.8,45
"A Hero on Horseback (1927)","1h",NA,NA
"Heroes of the Night (1927)","1h 10min",NA,NA
"Heroes of the Wild (1927)","3h 20min",NA,NA
"Hey! Hey! Cowboy (1927)","1h",NA,NA
"Hidden Aces (1927)","1h 2min",6.3,13
"High School Hero (1927)","1h",NA,NA
"Hills of Kentucky (1927)","1h 10min",6.2,26
"Hin och smålänningen (1927)","1h 30min",NA,NA
"Hindle Wakes (1927)","2h",7.2,239
"His Dog (1927)","1h 10min",NA,NA
"Home Made (1927)","1h 10min",NA,NA
"Hotel Imperial (1927)","1h 25min",6.6,217
"Hula (1927)","1h 4min",6.3,204
"Huntingtower (1927)","1h 12min",6.7,10
"Husbands for Rent (1927)","1h",NA,NA
"If I Were Single (1927)","1h 10min",5.6,5
"In Old Kentucky (1927)","1h 10min",5.3,10
"Irish Hearts (1927)","1h",2.5,11
"The Irresistible Lover (1927)","1h 10min",NA,NA
"Is Zat So? (1927)","1h 10min",5,5
"Isle of Forgotten Women (1927)","58min",NA,NA
"It (1927)","1h 12min",7.3,3001
"Jaws of Steel (1927)","1h",7.8,6
"The Jazz Singer (1927)","1h 28min",6.5,9211
"Jesse James (1927)","1h 20min",5.6,23
"Le joueur d'échecs (1927)","2h 15min",6.9,270
"The Joy Girl (1927)","1h 10min",5.9,9
"Judgment of the Hills (1927)","1h",NA,NA
"Der Katzensteg (1927)","2h 4min",6.8,8
"The Kid Brother (1927)","1h 22min",7.6,3908
"The Kid Sister (1927)","58min",NA,NA
"The King of Kings (1927)","2h 40min",7.2,1941
"A Kiss in a Taxi (1927)","1h 10min",NA,NA
"Knockout Reilly (1927)","1h 10min",NA,NA
"Konets Sankt-Peterburga (1927)","1h 25min",7.3,1556
"Ladies Must Dress (1927)","1h",NA,NA
"Ladies at Ease (1927)","1h",NA,NA
"The Lady in Ermine (1927)","1h 10min",4.8,15
"The Ladybird (1927)","1h 10min",NA,NA
"The Land Beyond the Law (1927)","1h 10min",NA,NA
"The Last Outlaw (1927)","1h 3min",6,40
"Let It Rain (1927)","1h 10min",NA,NA
