"Name","RunTime","Rating","Votes"
"The Great Adventure (1916)","1h",NA,NA
"Hævnens Nat (1916)","1h 40min",6.8,280
"20000 Leagues Under the Sea (1916)","1h 45min",6.2,1550
"The Adventures of Peg o' the Ring (1916)","5h",5.1,15
"America Preparing (1916)","1h 40min",NA,NA
"The Americano (1916)","1h 1min",6.1,65
"The Battle of the Somme (1916)","PG",6.7,372
"Beatrice Fairfax (1916)","5h",7.8,53
"The Beggar of Cawnpore (1916)","1h",NA,NA
"The Call of the Cumberlands (1916)","1h 2min",6.4,85
"Christus (1916)","1h 28min",6,47
"The Cossack Whip (1916)","1h 1min",7.8,74
"The Crisis (1916)","1h 40min",6.1,9
"A Daughter of the Gods (1916)","3h",7.3,35
"The Devil's Needle (1916)","59min",6.7,132
"The Dumb Girl of Portici (1916)","1h 52min",6.6,158
"Dödskyssen (1916)","1h",6.1,204
"East Lynne (1916)","1h 15min",5.8,17
"An Enemy to the King (1916)","1h",6.2,11
"The Game of Liberty (1916)","1h",NA,NA
"The Girl Philippa (1916)","1h 10min",NA,NA
"God's Country and the Woman (1916)","1h 20min",NA,NA
"Going Straight (1916)","1h",5.2,610
"Gold and the Woman (1916)","1h",NA,NA
"Gretchen the Greenhorn (1916)","58min",5.7,481
"The Half-Breed (1916)","1h 13min",6.6,155
"The Hand of Peril (1916)","1h 6min",NA,NA
"The Heart of a Hero (1916)","1h 8min",6.2,25
"Hell's Hinges (1916)","1h 4min",6.8,868
"Her Double Life (1916)","1h",NA,NA
"His Picture in the Papers (1916)","1h 2min",5.9,129
"Hoffmanns Erzählungen (1916)","1h 7min",6.2,39
"Homunculus 1. Teil (1916)","1h 9min",6.1,76
"Hoodoo Ann (1916)","1h 5min",5.6,839
"Hypocrisy (1916)","1h",NA,NA
"Idle Wives (1916)","1h 10min",5.7,22
"Intolerance: Love's Struggle Throughout the Ages (1916)","2h 43min",7.7,14386
"Judex (1916)","5h",7.4,890
"King Lear (1916)","1h 3min",5.6,64
"Kärleken segrar (1916)","1h 2min",NA,NA
"The Lash (1916)","1h 30min",NA,NA
"The Last Man (1916)","59min",NA,NA
"Less Than the Dust (1916)","1h 33min",5.8,31
"Liberty (1916)","6h 40min",4.2,12
"The Light at Dusk (1916)","1h",NA,NA
"Love and Hate (1916)","1h",NA,NA
"Macbeth (1916)","1h 20min",6.7,15
"Maciste alpino (1916)","1h 35min",6,81
"A Man of Sorrow (1916)","1h",NA,NA
"The Manxman (1916)","1h 30min",7.7,10
"The Merchant of Venice (1916)","1h 25min",NA,NA
"Milestones (1916)","1h 30min",NA,NA
"The Ne'er Do Well (1916)","2h 20min",5.4,10
"Peggy (1916)","1h 10min",5.3,14
"Die Peitsche (1916)","1h 25min",NA,NA
"The People vs. John Doe (1916)","1h",NA,NA
"The Phantom Buccaneer (1916)","1h 20min",NA,NA
"Pikovaya dama (1916)","1h 3min",6.9,640
"The Power of Evil (1916)","1h",NA,NA
"Purity (1916)","1h 10min",8,6
"Romeo and Juliet (1916)","1h 10min",6.2,5
"Romeo and Juliet (1916)","1h 20min",7.4,11
"Salvation Joan (1916)","1h 10min",NA,NA
"Secret Love (1916)","1h",NA,NA
"The Serpent (1916)","1h",NA,NA
"Sherlock Holmes (1916)","1h 56min",6.4,329
"Shoes (1916)","1h",6.9,425
"Snow White (1916)","1h 3min",6.2,354
"Sudden Riches (1916)","1h",NA,NA
"The Three Godfathers (1916)","1h",7.3,24
"The Three Musketeers (1916)","1h 3min",6.1,24
"Through the Wall (1916)","1h",NA,NA
"Tigre reale (1916)","1h 20min",6.6,96
"Under Two Flags (1916)","1h",6.4,9
"Christophe Colomb (1916)","1h 50min",6,9
"Vingarne (1916)","1h 9min",5.7,104
"The Vixen (1916)","1h",NA,NA
"War Brides (1916)","1h 12min",7,8
"Where Are My Children? (1916)","1h 2min",6.3,625
"The Witching Hour (1916)","1h 10min",NA,NA
"The World and the Woman (1916)","1h 6min",6.2,39
"The Yellow Menace (1916)","5h 20min",NA,NA
"The Garden of Allah (1916)","1h 40min",NA,NA
"Joan the Woman (1916)","2h 18min",6.5,516
"Verdens Undergang (1916)","1h 17min",6.5,304
"Arme Eva Maria (1916)","1h 23min",NA,NA
"Her Greatest Performance (1916)","1h 32min",NA,NA
"O Guarani (1916)","2h 15min",NA,NA
"Eräs elämän murhenäytelmä (1916)","1h 2min",NA,NA
"Zhizn za zhizn (1916)","1h 6min",6.8,390
"Qristine (1916)","1h 23min",7.3,30
"Lady Windermere's Fan (1916)","1h 6min",5.4,40
"Qui? (1916)","1h",6.4,10
"Snow White (1916)","1h 56min",3.8,27
"Disraeli (1916)","1h",6.1,7
"East Is East (1916)","1h 20min",6.2,35
"The Valley of Fear (1916)","1h 48min",5.7,15
"Hasta después de muerta (1916)","1h 20min",6.2,25
"Het geheim van den vuurtoren (1916)","1h 4min",NA,NA
"Das Phantom der Oper (1916)","1h 16min",6.9,26
"The Celebrated Stielow Case (1916)","1h",NA,NA
"Le pied qui étreint (1916)","1h 32min",6.4,13
"Der Amateur (1916)","1h 10min",NA,NA
"Die große Wette (1916)","1h 1min",NA,NA
"Der Brieföffner (1916)","1h 7min",NA,NA
"Gräfin de Castro (1916)","1h 4min",NA,NA
"Der Hilferuf (1916)","1h 15min",NA,NA
"Suzanne professeur de flirt (1916)","1h 23min",NA,NA
"Le Cirque de la Mort (1916)","1h",NA,NA
"Australia Prepared (1916)","1h",NA,NA
"La Destinée de Jean Morénas (1916)","1h 13min",NA,NA
"Arvad (1916)","1h 6min",NA,NA
"Seine letzte Maske (1916)","1h 10min",NA,NA
"Les vampires: Les noces sanglantes (1916)","1h",6.9,141
"Les vampires: Les yeux qui fascinent (1916)","58min",6.8,152
"Gloria (1916)","1h 7min",NA,NA
"The Splendid Waster (1916)","1h",NA,NA
"Homunculus (1916)","6h",6.8,37
