"Name","RunTime","Rating","Votes"
"Another Man's Boots (1922)","1h",7,6
"The Passionate Friends (1922)","1h 10min",NA,NA
"The Sin Flood (1922)","1h 10min",NA,NA
"Across the Continent (1922)","1h",4.6,7
"The Adventures of Robinson Crusoe (1922)","6h",6.8,14
"Alexandra (1922)","1h 23min",6,14
"Always the Woman (1922)","1h",NA,NA
"Amatörfilmen (1922)","1h 5min",NA,NA
"Anderssonskans Kalle (1922)","1h 5min",5.6,10
"Anna Ascends (1922)","1h",4.5,10
"The Bachelor Daddy (1922)","1h 10min",NA,NA
"Back Home and Broke (1922)","1h 20min",NA,NA
"Back Pay (1922)","1h 10min",6.8,35
"The Beautiful and Damned (1922)","1h 10min",7,12
"The Beauty Shop (1922)","1h 10min",NA,NA
"Beauty's Worth (1922)","1h 52min",6.1,776
"The Better Man Wins (1922)","1h 4min",6.8,5
"Beyond the Rainbow (1922)","1h 5min",6.7,7
"Beyond the Rocks (1922)","1h 20min",6.7,2227
"Big Stakes (1922)","1h 1min",5.8,67
"Blood and Sand (1922)","1h 48min",6.5,1255
"The Bohemian Girl (1922)","1h 10min",6.5,46
"The Bond Boy (1922)","1h 10min",NA,NA
"The Bonded Woman (1922)","1h",3,10
"Boomerang Bill (1922)","1h",3.3,12
"Borderland (1922)","1h",NA,NA
"Bought and Paid For (1922)","1h",NA,NA
"Der brennende Acker (1922)","1h 38min",7,583
"The Bride's Play (1922)","1h 10min",6.2,259
"Broadway Rose (1922)","1h",NA,NA
"Broken Chains (1922)","1h 10min",5.1,9
"The Broken Silence (1922)","1h",NA,NA
"Brothers Under the Skin (1922)","1h",NA,NA
"Burning Sands (1922)","1h 10min",NA,NA
"The Call of Home (1922)","1h",NA,NA
"Captain Kidd (1922)","3h 20min",3.6,13
"Cardigan (1922)","1h 10min",6.6,5
"Clarence (1922)","1h 10min",NA,NA
"Come on Over (1922)","1h",6.2,14
"Conquering the Woman (1922)","1h",5.8,5
"The Cradle Buster (1922)","1h",NA,NA
"Crainquebille (1922)","1h 30min",7.1,351
"The Crossroads of New York (1922)","1h",NA,NA
"The Danger Point (1922)","1h",NA,NA
"Der var engang (1922)","1h 15min",6.3,353
"Dick Turpin's Ride to York (1922)","1h 20min",NA,NA
"The Dictator (1922)","1h",2.6,9
"Divorce Coupons (1922)","1h",NA,NA
"Dr. Jack (1922)","1h",7.1,1284
"A Doll's House (1922)","1h 10min",6.2,10
"Domestic Relations (1922)","1h",NA,NA
"Don't Shoot (1922)","1h",NA,NA
"Down to the Sea in Ships (1922)","1h 23min",6.1,341
"Dr. Mabuse der Spieler (1922)","4h 2min",7.9,7640
"Dusk to Dawn (1922)","1h",6.7,7
"Dust Flower (1922)","1h",NA,NA
"East Is West (1922)","1h 20min",6.5,10
"Ebb Tide (1922)","1h 20min",4.9,11
"The Eternal Flame (1922)","1h 36min",NA,NA
"The Face in the Fog (1922)","1h 10min",6.8,5
"Fair Lady (1922)","1h 10min",5,7
"Farende folk (1922)","1h 24min",6.1,8
"Os Faroleiros (1922)","1h 12min",6.3,46
"Fascination (1922)","1h 20min",NA,NA
"The Fast Mail (1922)","1h",NA,NA
