"Name","RunTime","Rating","Votes"
"The Man from Down Under (1943)","1h 43min",6,209
"Shestdesyat dney (1943)","1h 15min",6.8,16
"Untel père et fils (1943)","1h 53min",6.4,87
"Les deux timides (1943)","1h 23min",7.1,7
"Il figlio del corsaro rosso (1943)","1h 20min",3.2,8
"Mechta (1943)","1h 40min",7.2,189
"Gli ultimi filibustieri (1943)","1h 22min",3.9,8
"Addio amore! (1943)","1h 28min",NA,NA
"L'angelo bianco (1943)","1h 25min",NA,NA
"Il birichino di papà (1943)","1h 20min",6.8,29
"Boda accidentada (1943)","1h 3min",4.6,16
"C'è sempre un ma! (1943)","1h 23min",NA,NA
"Calafuria (1943)","1h 21min",6.8,9
"Il campione (1943)","1h 25min",NA,NA
"Canelita en rama (1943)","1h 37min",5.1,7
"Le capitaine Fracasse (1943)","1h 48min",6.9,135
"El circo (1943)","1h 30min",7,185
"Coastal Command (1943)","1h 12min",6.8,47
"Cortocircuito (1943)","1h 25min",NA,NA
"Családunk szégyene (1943)","1h 34min",5.8,13
"La danza del fuoco (1943)","1h 30min",NA,NA
"The Dark Tower (1943)","1h 30min",6.1,353
"Dente per dente (1943)","1h 23min",NA,NA
"Edge of Darkness (1943)","1h 59min",7.2,2025
"Emberek a havason (1942)","1h 28min",7.5,641
"Fekete hajnal (1943)","1h 28min",6.3,6
"La feria de las flores (1943)","1h 41min",5.8,28
"Fuga a due voci (1943)","1h 6min",NA,NA
"Gente dell'aria (1943)","1h 18min",6.6,10
"Giacomo l'idealista (1943)","1h 30min",6.6,13
"The Gorilla Man (1943)","1h 4min",5.3,100
"Grattacieli (1943)","1h 26min",5,9
"Die große Nummer (1943)","1h 38min",6.2,8
"The Hard Way (1943)","1h 49min",7.1,1091
"Hitler's Children (1943)","1h 22min",6.4,835
"Huella de luz (1943)","1h 16min",7.1,67
"Inviati speciali (1943)","1h 30min",NA,NA
"It's That Man Again (1943)","1h 24min",5.7,67
"Jive Junction (1943)","1h 2min",5.2,70
"Journey Into Fear (1943)","1h 8min",6.5,3927
"Harlem (1943)","1h 20min",5.6,19
"Külvárosi örszoba (1943)","1h 31min",6.5,37
"Lady Bodyguard (1943)","1h 9min",5.9,29
"A láp virága (1943)","1h 37min",5.5,11
"Liebeskomödie (1943)","1h 29min",6.5,12
"London Blackout Murders (1943)","59min",5.9,105
"Lumière d'été (1943)","1h 52min",6.7,510
"La main du diable (1943)","1h 18min",7.4,1192
"Maria Malibran (1943)","1h 25min",NA,NA
"María Eugenia (1943)","1h 41min",6.5,20
"La maschera e il volto (1943)","1h 25min",NA,NA
"Maske in Blau (1943)","1h 30min",6.4,17
"Mater dolorosa (1943)","1h 27min",NA,NA
"Mi adorable secretaria (1943)","1h 29min",NA,NA
"Mountain Rhythm (1943)","1h 10min",6.6,7
"Il nemico (1943)","1h 20min",NA,NA
"Nepobedimye (1943)","1h 27min",6.3,29
"Night Plane from Chungking (1943)","1h 9min",6.4,38
"Ossessione (1943)","2h 20min",7.6,6973
"I pagliacci (1943)","1h 30min",5.8,14
"The Peterville Diamond (1943)","1h 25min",5.9,143
"El peñón de las Ánimas (1943)","2h 1min",7.5,73
"Pista tekintetes úr (1943)","1h 24min",5.8,13
"The Powers Girl (1943)","1h 33min",6.6,74
"La primadonna (1943)","1h 28min",NA,NA
"Principessina (1943)","1h 18min",3.4,9
"Quelli della montagna (1943)","1h 25min",7.3,32
"La razón de la culpa (1943)","1h 36min",6.7,18
"Redenzione (1943)","1h 25min",NA,NA
"Rita da Cascia (1943)","1h 23min",NA,NA
"Sarong Girl (1943)","1h 10min",5.6,49
"Somewhere on Leave (1943)","1h 36min",5.1,53
"Squadron Leader X (1943)","1h 39min",7.4,11
"La statua vivente (1943)","1h 25min",6.6,5
"Symphonie eines Lebens (1943)","1h 27min",5.8,15
"Thursday's Child (1943)","1h 21min",6.2,54
"Tomorrow We Live (1943)","1h 25min",6.3,117
"Two Weeks to Live (1943)","1h 16min",5.7,170
"Variety Jubilee (1943)","1h 32min",5.8,37
"We'll Meet Again (1943)","1h 24min",6,127
"Wien 1910 (1943)","1h 32min",6.4,12
"Women Aren't Angels (1943)","1h 25min",6.1,14
"La zia di Carlo (1943)","1h 6min",NA,NA
"Álomkeringö (1943)","1h 30min",5.5,6
"Az éjszaka lánya (1943)","1h 12min",6.5,11
"El abanderado (1943)","1h 50min",5.5,18
"Abenteuer im Grandhotel (1943)","1h 31min",6,20
"Above Suspicion (1943)","1h 30min",6.5,1923
"Action in the North Atlantic (1943)","2h 6min",7,3608
"Adieu Léonard (1943)","1h 44min",6.2,71
"Adventure in Iraq (1943)","1h 5min",5.3,136
"The Adventures of Smilin' Jack (1943)","4h 25min",5.9,319
"The Adventures of Tartu (1943)","1h 43min",7,916
"Adventures of the Flying Cadets (1943)","4h 2min",6.3,65
"Aerial Gunner (1943)","1h 18min",5.6,279
"After Midnight with Boston Blackie (1943)","1h 5min",6.5,315
"Air Force (1943)","2h 4min",7,2991
"Air Raid Wardens (1943)","1h 7min",6.3,1006
"Akrobat Schööön! (1943)","1h 25min",6.8,28
"Aktrisa (1943)","1h 16min",7.2,54
"Aktören (1943)","1h 28min",5.6,41
"Alaska Highway (1943)","1h 6min",4.9,66
"All by Myself (1943)","1h 8min",6.6,13
"Alles aus Liebe (1943)","1h 28min",NA,NA
"Altes Herz wird wieder jung (1943)","1h 37min",6.5,19
"Always a Bridesmaid (1943)","1h 1min",6.7,27
"The Amazing Mrs. Holliday (1943)","1h 36min",6.5,268
"El ametralladora (1943)","1h 38min",7,25
"Amor de Perdição (1943)","2h 8min",6.6,52
"Les anges du péché (1943)","1h 30min",7.3,1364
"Anna Lans (1943)","2h",5.4,30
"Antes de entrar dejen salir (1943)","1h 16min",NA,NA
"The Ape Man (1943)","1h 4min",4.6,1152
"Appointment in Berlin (1943)","1h 17min",6.3,154
"Around the World (1943)","1h 20min",5.7,163
"¡Arriba las mujeres! (1943)","1h 22min",7.2,39
"Assignment in Brittany (1943)","1h 36min",6.6,234
"Ave de Arribação (1943)","1h 54min",NA,NA
"Background to Danger (1943)","1h 20min",6.4,1151
"Bataan (1943)","1h 54min",6.9,2242
"Batman (1943)","4h 20min",6.4,1830
"Behind Prison Walls (1943)","1h 24min",4.9,7
"Behind the Rising Sun (1943)","1h 28min",5.6,296
"The Bells Go Down (1943)","1h 30min",6.8,197
"Bergführer Lorenz (1943)","1h 33min",4.8,6
"Best Foot Forward (1943)","1h 34min",6.4,837
"Beyond the Last Frontier (1943)","1h",5.8,26
"Black Market Rustlers (1943)","58min",6.2,18
"The Black Raven (1943)","1h 1min",5.6,565
"Blazing Frontier (1943)","59min",5.8,45
"La boda de Quinita Flores (1943)","1h 12min",4.7,6
"Bombardier (1943)","1h 39min",6,705
"Bomber's Moon (1943)","1h 7min",6.7,50
"Border Buckaroos (1943)","1h",7.1,17
"Border Patrol (1943)","1h 5min",6.4,244
"Det brændende Spørgsmaal (1943)","1h 33min",6.3,26
"Brödernas kvinna (1943)","1h 44min",4.2,10
"Buckskin Frontier (1943)","1h 5min",6.2,152
"Bitva za nashu Sovetskuyu Ukrainu (1943)","1h 20min",7,109
"Cabin in the Sky (1943)","1h 38min",7.1,2772
"Café de París (1943)","1h 38min",7.2,13
"Calling Dr. Death (1943)","1h 3min",6.1,883
"Campo de' fiori (1943)","1h 35min",6.6,168
"Campus Rhythm (1943)","1h 3min",5.5,107
"Captive Wild Woman (1943)","1h 1min",5.5,768
"La casa de la lluvia (1943)","1h 28min",6.1,8
"Castillo de naipes (1943)","1h 32min",NA,NA
"Cattle Stampede (1943)","58min",6.4,66
"The Chance of a Lifetime (1943)","1h 5min",6.1,229
"Hit Parade of 1943 (1943)","1h 22min",5.7,121
"Chatterbox (1943)","1h 17min",6.6,28
"Chetniks (1943)","1h 13min",6.8,208
"Cheyenne Roundup (1943)","59min",5.8,63
"La chica del gato (1943)","1h 20min",5.3,19
"China (1943)","1h 19min",6.5,373
"Cinderella Swings It (1943)","1h 9min",6.5,20
"City Without Men (1943)","1h 15min",5.4,92
"Clancy Street Boys (1943)","1h 6min",5.9,491
"Claudia (1943)","1h 31min",6.4,380
"Colt Comrades (1943)","1h 7min",6.8,186
"Combat America (1943)","1h 2min",5.9,102
"Con los ojos del alma (1943)","1h 27min",NA,NA
"Coney Island (1943)","1h 36min",6.4,404
"The Constant Nymph (1943)","1h 52min",6.8,1213
"Le comte de Monte Cristo 1ère époque: Edmond Dantès (1943)","1h 30min",6.8,150
"Le corbeau (1943)","1h 32min",7.9,9106
"Corregidor (1943)","1h 13min",5,246
"Corvette K-225 (1943)","1h 38min",6.7,410
"Cosmo Jones in the Crime Smasher (1943)","1h 2min",5.2,122
"O Costa do Castelo (1943)","2h 15min",7.5,559
"Crash Dive (1943)","1h 46min",6.3,1382
"Crazy House (1943)","1h 20min",6.4,187
"Crime Doctor (1943)","1h 6min",6.3,392
"The Crime Doctor's Strangest Case (1943)","1h 8min",6.4,256
"Cristina Guzmán (1943)","1h 46min",NA,NA
"The Cross of Lorraine (1943)","1h 30min",6.6,704
"Cry 'Havoc' (1943)","1h 37min",6.9,985
"The Crystal Ball (1943)","1h 21min",6.6,551
"Cuando habla el corazón (1943)","1h 35min",7.2,21
"Damals (1943)","1h 34min",6.8,93
"The Dancing Masters (1943)","1h 3min",6.4,871
"Danger! Women at Work (1943)","59min",7,44
"Dangerous Blondes (1943)","1h 21min",6.7,296
"Daredevils of the West (1943)","3h 16min",7.6,41
"Dead Men Walk (1943)","1h 4min",4.7,1265
"Dear Octopus (1943)","1h 26min",7.2,8
"Death Valley Rangers (1943)","59min",6.2,117
"December 7th (1943)","1h 22min",6.1,757
"The Deerslayer (1943)","1h 7min",6.2,22
"Deliciosamente tontos (1943)","1h 26min",6.2,34
"The Demi-Paradise (1943)","1h 54min",6.2,443
"Tarzan's Desert Mystery (1943)","1h 10min",6.3,1982
"Desert Victory (1943)","1h",6.4,289
"The Desperadoes (1943)","PG",6.5,1168
"Destination Tokyo (1943)","2h 15min",7.1,4754
"Destroyer (1943)","1h 39min",6.3,1081
"Det brinner en eld (1943)","1h 47min",6.3,33
"Det spökar - det spökar... (1943)","1h 22min",3.7,26
"Distinto amanecer (1943)","1h 48min",7.2,243
"Dixie (1943)","1h 29min",6,126
"Dixie Dugan (1943)","1h 3min",7.6,28
"Don Winslow of the Coast Guard (1943)","4h 5min",6.4,37
"Douce (1943)","1h 44min",7.2,291
"Doughboys in Ireland (1943)","1h 1min",3.9,16
"Doña Bárbara (1943)","2h 18min",7.3,303
"Dr. Gillespie's Criminal Case (1943)","1h 29min",6,262
"Drums of Fu Manchu (1943)","1h 9min",7,30
"Du Barry Was a Lady (1943)","1h 41min",6.3,1293
"Due cuori (1943)","1h 16min",NA,NA
"Due cuori fra le belve (1943)","1h 23min",5.4,72
"Ebberød Bank (1943)","1h 25min",5.9,55
"Eloísa está debajo de un almendro (1943)","1h 49min",6.6,103
"Elvira Madigan (1943)","1h 47min",4.6,13
"Un enredo de familia (1943)","1h 7min",4.7,19
"Enrico IV (1943)","1h 28min",NA,NA
"El escándalo (1943)","2h",6.6,28
"El espectro de la novia (1943)","1h 31min",NA,NA
"Der ewige Klang (1943)","1h 27min",7,8
"The Falcon Strikes Back (1943)","1h 6min",6.5,611
"The Falcon and the Co-eds (1943)","1h 7min",6.5,672
"The Falcon in Danger (1943)","1h 9min",6.3,577
"The Fallen Sparrow (1943)","1h 34min",6.6,1347
"False Colors (1943)","1h 5min",6.7,169
"False Faces (1943)","58min",5.7,15
"Das Ferienkind (1943)","1h 25min",7,28
"Il fidanzato di mia moglie (1943)","1h 25min",7.3,38
"Fighting Valley (1943)","1h",5.9,8
"Fin de curso (1943)","1h 31min",NA,NA
"Fired Wife (1943)","1h 15min",5.8,15
"Fires Were Started (1943)","1h 3min",6.5,1042
"First Comes Courage (1943)","1h 28min",6.6,196
"Five Graves to Cairo (1943)","1h 36min",7.3,5186
"Flesh and Fantasy (1943)","1h 34min",6.9,770
"En flicka för mej (1943)","1h 48min",4.4,10
"Flickan är ett fynd (1943)","1h 21min",2.7,9
"Flight for Freedom (1943)","1h 42min",6,223
"Flor silvestre (1943)","1h 34min",7.1,177
"Follies Girl (1943)","1h 12min",5.1,26
"Follow the Band (1943)","1h 1min",7,24
"Footlight Glamour (1943)","1h 8min",6.8,141
"For Whom the Bell Tolls (1943)","2h 50min",6.9,8473
"Forever and a Day (1943)","1h 44min",7.1,567
"Forja de almas (1943)","1h 44min",5.1,7
"Frankenstein Meets the Wolf Man (1943)","1h 14min",6.5,7949
"Frauen sind keine Engel (1943)","1h 20min",6.7,28
"Front (1943)","1h 50min",6.5,15
"Frontier Badmen (1943)","1h 13min",6.6,47
"Fátima Terra de Fé (1943)","2h 4min",5.2,16
"Fångad av en röst (1943)","1h 39min",4,13
"En fånge har rymt (1943)","1h 13min",2.8,5
"G-Men vs. The Black Dragon (1943)","4h 3min",7,117
"Gabriele Dambrone (1943)","1h 41min",2.4,10
"Gals Incorporated (1943)","1h",6.5,13
"The Gang's All Here (1943)","1h 43min",6.6,1584
"Gangway for Tomorrow (1943)","1h 9min",5.8,207
"Die Gattin (1943)","1h 34min",NA,NA
"Geliebter Schatz (1943)","1h 32min",8.3,9
"The Gentle Sex (1943)","1h 32min",6.2,416
"Get Cracking (1943)","1h 36min",6.2,126
"The Ghost Rider (1943)","58min",6.1,31
"The Ghost Ship (1943)","1h 9min",6.7,2976
"The Ghost and the Guest (1943)","1h 1min",4.6,200
"Ghosts on the Loose (1943)","1h 7min",5.1,1226
"Gildersleeve on Broadway (1943)","1h 5min",6.4,261
"Gildersleeve's Bad Day (1943)","1h 2min",6.6,236
"Girl Crazy (1943)","1h 39min",6.8,1671
"The Girl from Monterrey (1943)","58min",4.9,39
"Girls in Chains (1943)","1h 15min",4.5,182
"El globo de Cantolla (1943)","1h 44min",6.4,8
"Ein glücklicher Mensch (1943)","1h 33min",6.5,6
"The Good Fellows (1943)","1h 10min",7.3,28
"Good Luck Mr. Yates (1943)","1h 10min",5.8,77
"Good Morning Judge (1943)","1h 7min",6,9
"Goupi mains rouges (1943)","1h 44min",7.4,749
"Government Girl (1943)","1h 34min",5.7,522
"Großstadtmelodie (1943)","1h 47min",6.5,24
"Guadalajara (1943)","1h 43min",NA,NA
"Guadalcanal Diary (1943)","1h 33min",6.7,1978
"'Gung Ho!': The Story of Carlson's Makin Island Raiders (1943)","1h 28min",6.1,1296
"A Guy Named Joe (1943)","2h",7,2349
"Hail to the Rangers (1943)","58min",NA,NA
"Hana saku minato (1943)","1h 22min",6.4,121
"Hangmen Also Die! (1943)","2h 14min",7.5,4776
"Hans majestäts rival (1943)","1h 29min",3.2,8
"Hans Onsdagsveninde (1943)","1h 39min",6.5,30
"Happy Go Lucky (1943)","1h 21min",6,158
"Happy Land (1943)","1h 13min",6.6,303
"Harrigan's Kid (1943)","1h 20min",5.4,37
"Harvest Melody (1943)","1h 10min",5,23
"He Hired the Boss (1943)","1h 12min",5.3,29
"He's My Guy (1943)","1h 32min",6,10
"Headin' for God's Country (1943)","1h 18min",6.6,13
"Headline (1943)","1h 15min",6.9,53
"The Heat's On (1943)","1h 19min",5.2,271
"Heaven Can Wait (1943)","1h 52min",7.5,9732
"Hello Frisco Hello (1943)","1h 39min",6.6,437
"Henry Aldrich Gets Glamour (1943)","1h 12min",5.4,114
"Henry Aldrich Haunts a House (1943)","1h 13min",5.5,135
"Henry Aldrich Swings It (1943)","1h 4min",7.7,94
"Here Comes Elmer (1943)","1h 14min",5.7,39
"Here Comes Kelly (1943)","1h 4min",5.1,70
"Herre med portfölj (1943)","1h 26min",4.5,17
"Hers to Hold (1943)","1h 34min",6.4,178
"Hevoshuijari (1943)","1h 31min",NA,NA
"Hi Ya Sailor (1943)","1h 3min",6.1,8
"Hi Diddle Diddle (1943)","1h 12min",6.6,444
"Hi'Ya Chum (1943)","1h 1min",6.1,16
"Hi Buddy (1943)","1h 6min",5.6,7
"High Explosive (1943)","1h",5.8,26
"His Butler's Sister (1943)","1h 27min",7,425
"Hit the Ice (1943)","1h 22min",6.9,1449
"Hitler's Madman (1943)","1h 24min",6.6,692
"Ho tanta voglia di cantare (1943)","1h 20min",NA,NA
"Holy Matrimony (1943)","1h 27min",7.2,650
"El hombre de los muñecos (1943)","1h 39min",5.1,14
"Hon trodde det var han (1943)","1h 40min",4.7,17
"Honeymoon Lodge (1943)","1h 3min",6.6,23
"Hoosier Holiday (1943)","1h 5min",6.8,9
"Hoppy Serves a Writ (1943)","1h 7min",6.8,204
"Hostages (1943)","1h 28min",7,57
"How's About It? (1943)","1h 1min",7,25
"The Human Comedy (1943)","1h 57min",7,1941
"I Dood It (1943)","1h 42min",6.3,542
"I Escaped from the Gestapo (1943)","1h 15min",5.1,59
"I Walked with a Zombie (1943)","1h 9min",7.1,11238
"I dag gifter sig min man (1943)","1h 38min",2.4,5
"I mörkaste Småland (1943)","1h 13min",5.4,15
"Ich vertraue Dir meine Frau an (1943)","1h 28min",6.1,83
"Idaho (1943)","1h 10min",6.4,121
"Ikite iru Magoroku (1943)","1h 29min",6.1,99
"Immensee - Ein deutsches Volkslied (1943)","1h 29min",6.6,153
"Immortal Sergeant (1943)","1h 31min",6.7,786
"In Old Oklahoma (1943)","1h 42min",6.5,995
"Internado para señoritas (1943)","1h 39min",6,37
"The Iron Major (1943)","1h 25min",5.6,191
"Is Everybody Happy? (1943)","1h 13min",6.1,12
"Isle of Forgotten Sins (1943)","1h 22min",4.6,278
"It Ain't Hay (1943)","1h 20min",6.8,849
"It Comes Up Love (1943)","1h 1min",7.1,27
"It's a Great Life (1943)","1h 8min",6.7,151
"Jack London (1943)","1h 34min",5.2,328
"Jag dräpte (1943)","1h 26min",5.3,35
"Jitterbugs (1943)","1h 15min",6.5,1018
"Johann (1943)","1h 15min",6.7,6
"Johnny Come Lately (1943)","1h 37min",6.8,569
"Die Jungfern vom Bischofsberg (1943)","1h 35min",NA,NA
"Kajan går till sjöss (1943)","1h 38min",5.7,40
"Kalotaszegi Madonna (1943)","1h 25min",6.5,21
"The Kansan (1943)","1h 19min",5.6,328
"Karneval der Liebe (1943)","1h 36min",6.2,30
"Katariina ja Munkkiniemen kreivi (1943)","1h 50min",6.4,139
"Katrina (1943)","1h 42min",3.8,8
"Keep 'Em Slugging (1943)","1h 6min",6.3,30
"Keinumorsian (1943)","1h 26min",5.3,42
"Kettesben (1943)","1h 19min",5,10
"Kid Dynamite (1943)","1h 6min",6.1,541
"King of the Cowboys (1943)","1h 7min",6.1,239
"Kismet (1943)","2h 23min",7.3,90
"Der kleine Grenzverkehr (1943)","1h 23min",7.7,15
"Klondike Kate (1943)","1h 4min",5.9,63
"Kohlhiesels Töchter (1943)","1h 30min",6.6,14
"Kollege kommt gleich (1943)","1h 31min",8.2,6
"Konga Roja (1943)","1h 50min",5.2,16
"Kotovsky (1943)","1h 12min",7,44
"Kriminalassistent Bloch (1943)","1h 32min",5.5,12
"Kungsgatan (1943)","1h 36min",5.5,64
"Kvinnor i fångenskap (1943)","1h 39min",4.9,46
"Késö (1943)","1h 30min",5.5,17
"Kölcsönadott élet (1943)","1h 29min",7.9,14
"Lache Bajazzo (1943)","1h 27min",6,6
"Ladies' Day (1943)","1h 2min",5.7,190
"A Lady Takes a Chance (1943)","1h 26min",6.5,1127
"Lady of Burlesque (1943)","1h 31min",6.3,2184
"The Lamp Still Burns (1943)","1h 27min",6.1,177
"Land of Hunted Men (1943)","58min",5.7,43
"Larceny with Music (1943)","1h 4min",7,15
"Lassie Come Home (1943)","1h 29min",7.1,4999
"The Law Rides Again (1943)","58min",6.1,91
"The Leather Burners (1943)","58min",6.7,166
"The Leopard Man (1943)","PG",6.9,4696
"Let's Face It (1943)","1h 16min",6.1,135
"The Life and Death of Colonel Blimp (1943)","G",8.1,13353
