"Name","RunTime","Rating","Votes"
"La hija del mestre (1928)","1h 24min",NA,NA
"Alraune (1928)","1h 48min",6.2,300
"Confetti (1928)","1h 12min",6.2,5
"Devushka s dalyokoy reki (1928)","1h 17min",NA,NA
"Yego prevoskhoditelstvo (1928)","1h",7,15
"The Man in Hobbles (1928)","1h",NA,NA
"Le mystère de la tour Eiffel (1928)","2h 9min",7.3,76
"The Shepherd of the Hills (1928)","1h 30min",NA,NA
"A Ship Comes In (1928)","1h 10min",5.5,149
"Shooting Stars (1928)","1h 20min",7.1,374
"A South Sea Bubble (1928)","1h 40min",NA,NA
"Toni (1928)","1h 12min",NA,NA
"Ukhaby (1928)","1h 16min",NA,NA
"Un chapeau de paille d'Italie (1928)","1h 48min",6.7,780
"The Woman from Moscow (1928)","1h 17min",8.2,5
"Zemlya v plenu (1928)","1h 20min",6.7,65
"13 Washington Square (1928)","1h",6,11
"A.-B. gifta bort baron Olson (1928)","1h 10min",NA,NA
"Abie's Irish Rose (1928)","2h 9min",5.7,23
"Abwege (1928)","1h 47min",7.1,329
"Across the Atlantic (1928)","1h 1min",NA,NA
"Across to Singapore (1928)","1h 25min",6,979
"The Actress (1928)","1h 10min",5.8,12
"Adam's Apple (1928)","1h 25min",6.6,8
"The Adorable Cheat (1928)","59min",6.8,32
"Adoration (1928)","1h 13min",7.8,11
"Afterwards (1928)","1h 16min",3.7,6
"The Air Circus (1928)","1h 58min",7.8,61
"Air Mail Pilot (1928)","1h",5.4,10
"The Albany Night Boat (1928)","1h 4min",NA,NA
"Alex the Great (1928)","1h 10min",NA,NA
"Alias Jimmy Valentine (1928)","1h 28min",7.6,21
"Der alte Fritz - 1. Friede (1928)","2h 47min",6,17
"Annapolis (1928)","1h 28min",7.8,22
"Anybody Here Seen Kelly? (1928)","1h 20min",6.3,15
"The Apache Raider (1928)","59min",NA,NA
"Avalanche (1928)","1h",NA,NA
"The Avenging Rider (1928)","1h",NA,NA
"The Awakening (1928)","1h 30min",6.3,41
"The Baby Cyclone (1928)","1h 10min",NA,NA
"Baby Mine (1928)","1h",NA,NA
"Bachelor's Paradise (1928)","1h 10min",NA,NA
"Balaclava (1928)","1h 12min",5.6,13
"Bare Knees (1928)","1h 1min",7.4,71
"The Barker (1928)","1h 20min",7.1,76
"The Battle of the Sexes (1928)","1h 28min",6.5,407
"Beau Broadway (1928)","1h 10min",NA,NA
"Beau Sabreur (1928)","1h 10min",6.3,42
"Beautiful But Dumb (1928)","1h 10min",NA,NA
"Beggars of Life (1928)","1h 40min",7.5,989
"Belyy oryol (1928)","1h 7min",6.5,43
"Schneeschuhbanditen (1928)","1h 38min",6.7,51
"Beware of Bachelors (1928)","1h 4min",NA,NA
"Beware of Blondes (1928)","59min",4.8,11
"Beware of Married Men (1928)","1h",NA,NA
"Beyond London Lights (1928)","1h",NA,NA
"Beyond the Sierras (1928)","1h 3min",NA,NA
"The Big City (1928)","1h 10min",6.7,58
"The Big Hop (1928)","1h 5min",6.4,16
"The Big Killing (1928)","1h",3.1,9
"A Bit of Heaven (1928)","1h 10min",NA,NA
"The Black Ace (1928)","1h",NA,NA
"Black Butterflies (1928)","1h 10min",NA,NA
"The Black Pearl (1928)","58min",NA,NA
"Blindfold (1928)","1h 5min",NA,NA
"Blockade (1928)","1h 10min",5.6,8
"A Blonde for a Night (1928)","1h",6.2,45
"The Blue Danube (1928)","1h 10min",NA,NA
"The Branded Sombrero (1928)","58min",6.1,9
"Bringing Up Father (1928)","1h 10min",4.9,140
"The Broken Mask (1928)","1h",7,7
"The Bronc Stomper (1928)","1h",NA,NA
"Brotherly Love (1928)","1h 7min",6.1,7
"Buck Privates (1928)","1h 10min",7.7,18
"Burning Bridges (1928)","1h",NA,NA
"Burning Daylight (1928)","1h 12min",6.7,46
"Burning Up Broadway (1928)","1h",NA,NA
"The Bushranger (1928)","1h",NA,NA
"The Butter and Egg Man (1928)","1h 10min",NA,NA
"Cafe X (1928)","1h 40min",7,6
"The Cameraman (1928)","1h 16min",8.1,10768
"The Candy Kid (1928)","1h 10min",NA,NA
"Captain Swagger (1928)","1h 5min",5.7,24
"Carry on Sergeant! (1928)","1h 57min",6.1,35
"Caught in the Fog (1928)","1h 10min",7.6,10
"A Certain Young Man (1928)","58min",NA,NA
"Champagne (1928)","1h 26min",5.6,2067
"Una nueva y gloriosa nación (1928)","1h 5min",6.1,7
"The Chaser (1928)","1h",6.1,89
"The Cheer Leader (1928)","1h",NA,NA
"Chicago After Midnight (1928)","1h 10min",NA,NA
"Chicken a La King (1928)","1h 10min",NA,NA
"Chinatown Charlie (1928)","1h 10min",NA,NA
"The Chinatown Mystery (1928)","3h 20min",NA,NA
"La chute de la maison Usher (1928)","1h 3min",7.3,3540
