"Name","RunTime","Rating","Votes"
"Rotaie (1931)","1h 31min",6.9,105
"1914 die letzten Tage vor dem Weltbrand (1931)","1h 52min",6.5,22
"Beau Ideal (1931)","1h 19min",5.4,181
"Too Young to Marry (1931)","1h 7min",6,48
"Captain Applejack (1931)","1h 3min",5.9,82
"Chelovek iz mestechka (1931)","1h 12min",NA,NA
"City of Song (1931)","1h 36min",6.4,14
"Command Performance (1931)","1h",5.4,52
"A Dangerous Affair (1931)","1h 15min",NA,NA
"David Golder (1931)","1h 26min",7,204
"Fair Warning (1931)","1h 14min",NA,NA
"Die große Attraktion (1931)","1h 27min",NA,NA
"Die heilige Flamme (1931)","1h 26min",NA,NA
"Ihre Majestät die Liebe (1931)","1h 42min",7.1,29
"Little Caesar (1931)","PG",7.2,12268
"Madame Guillotine (1931)","1h 14min",NA,NA
"Der Mann der den Mord beging (1931)","1h 33min",6.7,36
"Die Marquise von Pompadour (1931)","1h 44min",NA,NA
"Mary (1931)","1h 18min",6.1,691
"Die Maske fällt (1931)","1h 13min",NA,NA
"Once a Sinner (1931)","1h 11min",6.1,10
"Le parfum de la dame en noir (1931)","1h 49min",6.5,69
"Prim (1931)","1h 37min",NA,NA
"Schuberts Frühlingstraum (1931)","1h 30min",4.6,7
"The Sin Ship (1931)","1h 5min",5.5,246
"Stranglehold (1931)","1h 6min",NA,NA
"Eine Stunde Glück (1931)","1h 22min",5.8,10
"Third Time Lucky (1931)","1h 25min",5.8,30
"To Oblige a Lady (1931)","1h 10min",NA,NA
"The Deceiver (1931)","1h 6min",5,50
"Der Weg nach Rio (1931)","1h 22min",6.7,11
"Zweierlei Moral (1931)","1h 26min",NA,NA
"24 Hours (1931)","1h 6min",6.1,271
"24 Stunden aus dem Leben einer Frau (1931)","1h 13min",6.6,21
"77 Park Lane (1931)","1h 22min",4.6,11
"Adauchi senshu (1931)","2h 20min",NA,NA
"The Age for Love (1931)","1h 21min",6.3,17
"Air Eagles (1931)","1h 12min",4.8,40
"Air Police (1931)","1h 4min",3.7,21
"Alam Ara (1931)","2h 4min",6.3,110
"Alexander Hamilton (1931)","1h 10min",6,230
"Alias the Bad Man (1931)","1h 6min",6,59
"Alibi (1931)","1h 15min",7,14
"Aloha (1931)","1h 30min",5.7,15
"Always Goodbye (1931)","1h 2min",NA,NA
"Les amours de minuit (1931)","1h 49min",6.3,44
"Ambassador Bill (1931)","1h 10min",6.2,125
"An American Tragedy (1931)","1h 36min",6.5,669
"Die andere Seite (1931)","1h 47min",6.8,56
"Annabelle's Affairs (1931)","Approved",5.4,15
"Anybody's Blonde (1931)","59min",NA,NA
"Are These Our Children (1931)","1h 24min",5.8,189
"Ariane (1931)","1h 25min",6.7,55
"Arizona Terror (1931)","1h 5min",6.5,23
"Arm wie eine Kirchenmaus (1931)","1h 41min",5.4,11
"Around the World with Douglas Fairbanks (1931)","1h 20min",6.3,33
"Arrowsmith (1931)","1h 48min",6.2,1564
"Bobby geht los (1931)","1h 35min",NA,NA
"Ein ausgekochter Junge (1931)","1h 20min",5.5,8
"The Avenger (1931)","1h 12min",5.7,42
"Bachelor Apartment (1931)","1h 16min",6.2,361
"The Bachelor Father (1931)","1h 30min",6.5,1041
"Bad Company (1931)","1h 16min",6.6,97
"Bad Girl (1931)","1h 30min",6.5,1132
"Bad Sister (1931)","1h 8min",6.2,1050
"Le bal (1931)","1h 15min",6.7,31
"The Bargain (1931)","1h 8min",5.8,34
"Battling with Buffalo Bill (1931)","3h 37min",5.7,42
"Behind Office Doors (1931)","1h 22min",6.1,388
"The Bells (1931)","1h 15min",5.8,13
"Beloved Bachelor (1931)","1h 12min",NA,NA
"Berge in Flammen (1931)","1h 49min",6.8,110
"Berlin-Alexanderplatz - Die Geschichte Franz Biberkopfs (1931)","1h 30min",6.7,635
"Beyond Victory (1931)","1h 10min",5.7,67
"Big Business Girl (1931)","1h 15min",5.9,247
"The Big Gamble (1931)","1h 5min",5.6,113
"The Big Shot (1931)","1h 6min",6.1,60
"Bijin to aishû (1931)","2h 38min",5,31
"The Black Camel (1931)","1h 11min",6.8,1338
"Black Coffee (1931)","1h 18min",6.8,11
"Le blanc et le noir (1931)","1h 46min",5.6,94
"Blonde Crazy (1931)","1h 19min",7.1,1732
"Die Blumenfrau von Lindenau (1931)","1h 32min",NA,NA
"Body and Soul (1931)","1h 10min",6.6,68
"Bomben auf Monte Carlo (1931)","1h 51min",5.9,115
"Border Law (1931)","1h 3min",5.9,75
"Born to Love (1931)","1h 21min",5.8,263
"Bought! (1931)","1h 32min",6.3,46
"Branded (1931)","1h 1min",6.1,47
"Branded Men (1931)","1h 3min",6.1,56
"The Brat (1931)","1h",6.6,109
"Der brave Sünder (1931)","1h 49min",6.1,40
"Broadminded (1931)","1h 5min",5.9,252
"Brokiga blad (1931)","1h 38min",4.9,19
"Los calaveras (1931)","1h 3min",6.4,143
"The Calendar (1931)","1h 20min",NA,NA
"Captivation (1931)","1h 8min",NA,NA
"Carnival (1931)","1h 28min",NA,NA
"Caught (1931)","1h 8min",6.5,21
"Caught Cheating (1931)","1h 3min",NA,NA
"Caught Plastered (1931)","1h 8min",6.6,191
"Cavalier of the West (1931)","1h 15min",5.9,56
"Woman Hungry (1931)","1h 5min",NA,NA
"The Champ (1931)","1h 26min",7.3,2840
"The Chance of a Night Time (1931)","1h 10min",NA,NA
"Chances (1931)","1h 12min",6.5,190
"Charlie Chan Carries On (1931)","1h 16min",6.5,479
"The Cheat (1931)","1h 14min",6.4,459
"La chienne (1931)","1h 31min",7.6,3804
"Children of Dreams (1931)","1h 18min",5.3,9
"Chinatown After Dark (1931)","59min",4.4,113
"Cimarron (1931)","2h 3min",5.9,5527
"The Cisco Kid (1931)","1h",6.8,62
"City Lights (1931)","G",8.5,169898
"City Streets (1931)","1h 23min",7,1421
"Clearing the Range (1931)","1h 1min",5.2,89
"The Common Law (1931)","1h 14min",6,264
"Compromised (1931)","1h 5min",NA,NA
"Confessions of a Co-Ed (1931)","1h 15min",6,83
"A Connecticut Yankee (1931)","1h 35min",6.4,339
"The Conquering Horde (1931)","1h 15min",6.3,32
"Consolation Marriage (1931)","1h 21min",6.1,429
"Contraband Love (1931)","1h 7min",NA,NA
"Convicted (1931)","1h 3min",5,62
"Corsair (1931)","1h 15min",5.8,184
"Cracked Nuts (1931)","1h 5min",6.2,290
"The Cuban Love Song (1931)","1h 26min",5.6,169
"Cyclone Kid (1931)","1h",NA,NA
"Dactylo (1931)","1h 17min",5.6,18
"Daddy Long Legs (1931)","1h 20min",5.9,100
"Damaged Love (1931)","1h 9min",NA,NA
"Dance Fools Dance (1931)","1h 20min",6.2,824
"Dancing Dynamite (1931)","1h 7min",NA,NA
"Just a Gigolo (1931)","1h 6min",6.1,844
"Danger Island (1931)","3h 40min",5.8,16
"Dantes mysterier (1931)","1h 11min",4.1,9
"Danton (1931)","1h 32min",6.8,32
"Daughter of the Dragon (1931)","1h 10min",6.1,376
"Daybreak (1931)","1h 25min",6.2,126
"The Deadline (1931)","1h 5min",5,25
"Defenders of the Law (1931)","1h 4min",5,27
"Delicious (1931)","1h 46min",5.9,191
"Desert Vengeance (1931)","1h 5min",6.4,30
"The Devil Plays (1931)","1h 3min",5.1,112
"Devotion (1931)","1h 21min",6.2,204
"Dirigible (1931)","1h 40min",6.3,553
"Dishonored (1931)","1h 31min",7.3,2237
"Doctors' Wives (1931)","1h 20min",5.8,41
"Don't Bet on Women (1931)","1h 10min",6.2,133
"Dr. Josser K.C. (1931)","1h 11min",NA,NA
"Dracula (1931)","1h 15min",7.5,47361
"Drácula (1931)","1h 44min",7.2,4066
"Der Draufgänger (1931)","1h 32min",6.4,24
"Drei Tage Liebe (1931)","1h 41min",6.4,7
"Die 3 Groschen-Oper (1931)","1h 52min",7.3,2037
"Dreyfus (1931)","1h 30min",6.2,6
"The Drums of Jeopardy (1931)","1h 15min",5.6,232
"Dude Ranch (1931)","1h 11min",5.3,34
"The Easiest Way (1931)","1h 13min",6.1,455
"East Lynne (1931)","1h 42min",5.9,153
"East Lynne on the Western Front (1931)","1h 25min",NA,NA
"East of Borneo (1931)","1h 17min",5.6,174
"Ehe mit beschränkter Haftung (1931)","1h 15min",NA,NA
"Das Ekel (1931)","1h 22min",NA,NA
"Elisabeth von Österreich (1931)","1h 24min",6,22
"Emil und die Detektive (1931)","1h 15min",7.2,575
"Enemies of the Law (1931)","1h 16min",NA,NA
"Everything's Rosie (1931)","1h 7min",6,133
"Ex-Bad Boy (1931)","1h 16min",3.9,30
"The Exile (1931)","1h 33min",4.8,100
"Expensive Women (1931)","1h",5.6,193
"Der falsche Ehemann (1931)","1h 25min",7.1,18
"The False Madonna (1931)","1h 10min",6.5,114
"Falska miljonären (1931)","1h 30min",4.9,34
"Fanny Foley Herself (1931)","1h 15min",5.3,7
"Farornas paradis (1931)","1h 12min",NA,NA
"Die Faschingsfee (1931)","1h 30min",NA,NA
"Fascination (1931)","1h 10min",5.9,28
"Father's Son (1931)","1h 16min",NA,NA
"Faubourg Montmartre (1931)","1h 55min",6.2,47
"Fifty Fathoms Deep (1931)","1h 10min",NA,NA
"50 Million Frenchmen (1931)","1h 14min",5.2,112
"Figaro e la sua gran giornata (1931)","1h 25min",5.3,6
"Fighting Caravans (1931)","1h 32min",5.8,546
"The Fighting Sheriff (1931)","1h 7min",5.8,21
"La fin du monde (1931)","1h 45min",6.1,223
"The Finger Points (1931)","1h 30min",5.9,402
"Finger Prints (1931)","3h 30min",3.1,20
"Finn and Hattie (1931)","1h 18min",6.5,45
"Up for Murder (1931)","1h 8min",5.9,46
"First Aid (1931)","1h 22min",4,5
"Five Star Final (1931)","1h 29min",7.2,1827
"Five and Ten (1931)","1h 29min",6.3,1267
"Flickan från Värmland (1931)","1h 25min",2.8,5
"The Flood (1931)","1h 5min",NA,NA
"Flying High (1931)","1h 20min",5.8,240
"Flying Lariats (1931)","1h",NA,NA
"The Forgotten Frontier (1931)","59min",5.4,45
"Forgotten Women (1931)","1h 7min",5.7,20
"Frankenstein (1931)","PG",7.8,65940
"A Free Soul (1931)","1h 33min",6.7,2304
"Friends and Lovers (1931)","1h 8min",5.5,326
"The Front Page (1931)","1h 41min",6.7,2532
"Die Försterchristl (1931)","1h 30min",NA,NA
"The Galloping Ghost (1931)","3h 46min",5.6,130
"Galloping Thru (1931)","58min",5.9,14
"The Gang Buster (1931)","1h 5min",6.3,48
"The Gay Diplomat (1931)","1h 7min",5.1,152
"Gefahren der Liebe (1931)","1h 26min",NA,NA
"Das gelbe Haus des King-Fu (1931)","1h 30min",6.4,5
"Generalen (1931)","1h 20min",NA,NA
"A Gentleman of Paris (1931)","1h 18min",4.4,8
"Gentleman's Fate (1931)","1h 30min",6.3,757
"The Ghost Train (1931)","1h 25min",6.6,44
"The Girl Habit (1931)","1h 17min",5.6,9
"Girls About Town (1931)","1h 20min",7,559
"Girls Demand Excitement (1931)","1h 9min",6,65
"Glimt fra New York og den Norske koloni (1931)","1h 7min",NA,NA
"Gloria (1931)","1h 30min",6.6,19
"God's Country and the Man (1931)","59min",6.2,28
"God's Gift to Women (1931)","1h 12min",5.3,321
"Gold Dust Gertie (1931)","1h 5min",6.1,84
"Goldie (1931)","1h 8min",5.6,97
"The Good Bad Girl (1931)","1h 7min",6.1,86
"Good Sport (1931)","1h 7min",6.7,30
"Gosudarstvennyy chinovnik (1931)","1h 11min",6.1,10
"The Great Lover (1931)","1h 11min",5.7,178
"The Great Meadow (1931)","1h 15min",6.1,119
"Die große Fahrt (1931)","1h 19min",4.5,8
"The Guardsman (1931)","1h 22min",6.5,492
