"Name","RunTime","Rating","Votes"
"Die Brüder Karamasoff (1920)","1h 10min",6.5,12
"A víg özvegy (1920)","1h 10min",4.7,14
"The Corsican Brothers (1920)","1h",NA,NA
"The Courage of Marge O'Doone (1920)","1h 10min",NA,NA
"A Dark Lantern (1920)","1h",NA,NA
"The Deadlier Sex (1920)","1h",6.3,11
"Das Cabinet des Dr. Caligari (1920)","1h 16min",8.1,58110
"Die Legende von der heiligen Simplicia (1920)","1h 41min",NA,NA
"Nachtgestalten (1920)","1h 46min",5.8,8
"813 (1920)","1h",4.2,6
"Algol - Tragödie der Macht (1920)","1h 39min",6.3,149
"Alias Jimmy Valentine (1920)","1h",5.3,6
"Anna Boleyn (1920)","1h 40min",6.6,598
"Anna the Adventuress (1920)","1h 10min",NA,NA
"Arme Violetta (1920)","1h 40min",5.5,10
"Baron Olson (1920)","59min",NA,NA
"The Barton Mystery (1920)","1h 12min",NA,NA
"Behold My Wife (1920)","1h 10min",NA,NA
"Below the Surface (1920)","1h",6.3,26
"Big Happiness (1920)","1h 10min",NA,NA
"Black Is White (1920)","1h",NA,NA
"Blade af Satans bog (1920)","2h 47min",6.7,1106
"Blind Youth (1920)","1h",NA,NA
"The Blue Pearl (1920)","1h",NA,NA
"Bodakungen (1920)","1h 43min",5.2,13
"The Branded Woman (1920)","1h 24min",NA,NA
"The Branding Iron (1920)","1h 10min",NA,NA
"The Breath of the Gods (1920)","1h",5.3,6
"Bright Skies (1920)","1h",NA,NA
"The Butterfly Man (1920)","1h",NA,NA
"Carolina Rediviva (1920)","1h 34min",6.3,7
"Children Not Wanted (1920)","1h",NA,NA
"The Confession (1920)","1h 18min",5.2,13
"Conrad in Quest of His Youth (1920)","1h",6.9,34
"The Copperhead (1920)","1h 10min",7.1,9
"Dangerous Days (1920)","1h 10min",5.6,5
"A Daughter of Two Worlds (1920)","1h 12min",NA,NA
"Dead Men Tell No Tales (1920)","1h 10min",6.1,10
"The Deep Purple (1920)","1h",NA,NA
"Democracy: The Vision Restored (1920)","1h 10min",NA,NA
"The Devil to Pay (1920)","1h 20min",NA,NA
"The Devil's Passkey (1920)","2h 10min",5.7,9
"Dinty (1920)","1h 10min",7.6,64
"Don't Ever Marry (1920)","1h",NA,NA
"Down Home (1920)","1h 10min",7,14
"Dr. Jekyll and Mr. Hyde (1920)","1h 9min",7,4969
"Drag Harlan (1920)","1h 4min",6.9,8
"Earthbound (1920)","1h 20min",NA,NA
"The Empire of Diamonds (1920)","1h",5.2,5
"Empty Arms (1920)","1h",NA,NA
"Erotikon (1920)","1h 46min",6.5,785
"The Face at the Window (1920)","1h",NA,NA
"The False Road (1920)","1h",5.9,10
"Fante-Anne (1920)","1h 33min",6.3,124
"Fiskebyn (1920)","1h 31min",NA,NA
"The Flapper (1920)","1h 28min",6.5,310
"For the Soul of Rafael (1920)","1h 10min",4.9,8
"The Forbidden Thing (1920)","1h",NA,NA
"The Forbidden Woman (1920)","1h",NA,NA
"The Fortune Teller (1920)","1h 10min",6.2,13
"The Furnace (1920)","1h 10min",NA,NA
"Genuine (1920)","1h 28min",6,892
"Go and Get It (1920)","1h 10min",4.2,13
"Der Golem wie er in die Welt kam (1920)","1h 16min",7.2,6945
"The Greatest Love (1920)","1h",NA,NA
"Gyurkovicsarna (1920)","1h 21min",5.3,21
"Harriet and the Piper (1920)","1h",NA,NA
"Headin' Home (1920)","1h 11min",5.1,261
"Heart Strings (1920)","1h",NA,NA
"The Heart of a Child (1920)","1h 10min",NA,NA
"Held in Trust (1920)","1h",NA,NA
"Held by the Enemy (1920)","1h",NA,NA
"Helen of Four Gates (1920)","1h 4min",7.5,73
"Heliotrope (1920)","1h 10min",NA,NA
"Help Wanted - Male (1920)","1h",3,6
"Homespun Folks (1920)","1h",NA,NA
"L'homme du large (1920)","1h 26min",6.9,198
"Huckleberry Finn (1920)","1h 10min",6.6,81
"Humoresque (1920)","1h",6.2,142
"Der Hund von Baskerville - 6. Teil: Das Haus ohne Fenster (1920)","2h 37min",3.1,14
"The Idol Dancer (1920)","1h 44min",5.4,88
"If I Were King (1920)","1h 20min",6.4,7
"The Invisible Divorce (1920)","1h",NA,NA
"Isobel or The Trail's End (1920)","1h",5.4,11
"The Jack-Knife Man (1920)","1h",6.2,108
"Der Januskopf (1920)","1h 47min",7.2,90
"Jenny Be Good (1920)","1h",NA,NA
"Jes' Call Me Jim (1920)","1h",6.2,10
"The Joyous Trouble-Makers (1920)","1h",5.9,8
"Judy of Rogues' Harbor (1920)","1h",NA,NA
"Kaksen på Øverland (1920)","1h 7min",5.6,5
"Karin Ingmarsdotter (1920)","1h 55min",6.5,109
"The Kentucky Colonel (1920)","1h",NA,NA
"King of the Circus (1920)","6h",NA,NA
"Kismet (1920)","1h 35min",6.6,24
"Der Klosterjäger (1920)","1h 10min",6,112
