"Name","RunTime","Rating","Votes"
"Das Tagebuch des Dr. Hart (1918)","1h 22min",5.8,26
"Der Weg des Todes (1918)","1h 15min",NA,NA
"Himmelskibet (1918)","1h 37min",6.5,623
"Otets Sergiy (1918)","1h 52min",7,483
"Our Little Wife (1918)","1h",NA,NA
"Adam Bede (1918)","1h",NA,NA
"All Night (1918)","58min",6.1,69
"All Woman (1918)","1h",NA,NA
"Alraune die Henkerstochter genannt die rote Hanne (1918)","1h 28min",5.8,11
"Amarilly of Clothes-Line Alley (1918)","1h 7min",5.8,743
"America's Answer (1918)","1h 20min",NA,NA
"The Answer (1918)","1h 10min",NA,NA
"Aphrodite (1918)","1h 5min",NA,NA
"Die Augen der Mumie Ma (1918)","1h 3min",5.5,568
"Berg-Ejvind och hans hustru (1918)","2h 16min",7.2,1579
"The Blue Bird (1918)","1h 15min",7,807
"'Blue Blazes' Rawden (1918)","1h 5min",6,79
"Borrowed Clothes (1918)","1h",NA,NA
"Bound in Morocco (1918)","1h 4min",NA,NA
"Bread (1918)","1h",5.9,17
"The Bride's Awakening (1918)","1h",NA,NA
"Broadway Love (1918)","1h",5.9,124
"Carmen (1918)","1h 10min",6,272
"Carmen of the Klondike (1918)","1h 15min",5.4,8
"The Woman the Germans Shot (1918)","1h",NA,NA
"Danger Go Slow (1918)","1h",NA,NA
"De Luxe Annie (1918)","1h 12min",7.4,9
"La dixième symphonie (1918)","1h 34min",5.9,136
"The Doctor and the Woman (1918)","1h",NA,NA
"Dodging a Million (1918)","1h",6.9,8
"La España trágica o Tierra de sangre (1918)","4h",NA,NA
"Eye for Eye (1918)","1h 10min",6.2,6
"The Face in the Dark (1918)","1h",NA,NA
"The Finger of Justice (1918)","1h 10min",NA,NA
"The Floor Below (1918)","1h",6.4,25
"For Freedom (1918)","1h",NA,NA
"For Husbands Only (1918)","1h",NA,NA
"The Forbidden City (1918)","1h 2min",5.3,282
"Fyrvaktarens dotter (1918)","1h 3min",5.8,26
"The Ghost of Rosy Taylor (1918)","59min",6.7,47
"The Ghosts of Yesterday (1918)","1h 12min",NA,NA
"The Grand Passion (1918)","1h 10min",NA,NA
"The Great Love (1918)","1h 10min",6.8,44
"The Greatest Thing in Life (1918)","1h 10min",6.9,56
"The Heart of Humanity (1918)","1h 50min",5.8,66
"Hearts of the World (1918)","1h 57min",6.4,918
"The Hell Cat (1918)","1h",NA,NA
"Her Body in Bond (1918)","1h",NA,NA
"Her Man (1918)","1h",NA,NA
"Her Only Way (1918)","1h 12min",NA,NA
"O Homem dos Olhos Tortos (1918)","1h 32min",6,13
"The House of Mirth (1918)","1h",7,11
"Humdrum Brown (1918)","1h",NA,NA
"I Love You (1918)","1h 10min",NA,NA
"The Iron Test (1918)","5h",5.4,9
"Jack Spurlock Prodigal (1918)","1h",NA,NA
"Joan of Plattsburg (1918)","1h",5.9,14
"Johanna Enlists (1918)","1h 12min",5.1,598
"The Kaiser the Beast of Berlin (1918)","1h 10min",6.4,18
"The Lady of the Dugout (1918)","1h",6.7,60
"Lafayette We Come (1918)","1h",NA,NA
"Laughing Bill Hyde (1918)","1h 6min",5.4,10
