"Name","RunTime","Rating","Votes"
"The Voice of Israel (1934)","1h 33min",NA,NA
"The Admiral's Secret (1934)","1h 3min",5.1,35
"Almas encontradas (1934)","1h 30min",NA,NA
"El agua en el suelo (1934)","1h 36min",4.3,6
"As the Earth Turns (1934)","1h 13min",6.1,194
"Aunt Sally (1934)","1h 24min",5.8,50
"Colonel Blood (1934)","1h 38min",NA,NA
"El compadre Mendoza (1934)","1h 25min",7.8,464
"Dick Turpin (1934)","1h 19min",5.7,7
"Egy éj Velencében (1934)","1h 9min",5.2,15
"Elisabeth und der Narr (1934)","1h 16min",7,8
"Enlighten Thy Daughter (1934)","1h 15min",NA,NA
"Giallo (1934)","1h 8min",6.3,35
"Palos brudefærd (1934)","1h 19min",7.1,61
"Love Birds (1934)","1h 1min",5.7,14
"Unfinished Symphony (1934)","1h 24min",7.5,27
"La maestrina (1934)","1h",NA,NA
"Meet My Sister (1934)","1h 10min",NA,NA
"Miss Fane's Baby Is Stolen (1934)","1h 10min",6.7,34
"Murder in the Private Car (1934)","1h 3min",6.2,450
"On a volé un homme (1934)","1h",6.3,7
"On the Air (1934)","1h 18min",NA,NA
"Picture Brides (1934)","1h 6min",5.9,70
"The Scotland Yard Mystery (1934)","1h 16min",5.3,44
"The Song You Gave Me (1934)","1h 26min",6.9,33
"A Southern Maid (1934)","1h 23min",7.3,10
"Those Were the Days (1934)","1h 20min",6.7,89
"Waltzes from Vienna (1934)","1h 21min",6,1292
"The Woman Condemned (1934)","1h 6min",4.4,164
"365 Nights in Hollywood (1934)","1h 17min",5.7,116
"6 Day Bike Rider (1934)","1h 9min",6,306
"Abschiedswalzer (1934)","1h 27min",6.6,21
"Adventure Girl (1934)","1h 9min",4.8,108
"The Affairs of Cellini (1934)","1h 19min",6.1,345
"Affairs of a Gentleman (1934)","1h 8min",7.2,19
"Against the Law (1934)","1h 1min",5.3,6
"The Age of Innocence (1934)","1h 21min",6.2,400
"All Men Are Enemies (1934)","1h 18min",6.3,6
"All of Me (1934)","1h 10min",6,86
"Among the Missing (1934)","1h 2min",6.4,79
"Amrit Manthan (1934)","2h 35min",6,14
"Anderssonskans Kalle (1934)","1h 17min",5,24
"Angèle (1934)","2h 25min",7.2,309
"Anne of Green Gables (1934)","1h 18min",7,1125
"Are We Civilized? (1934)","1h 10min",5.2,39
"Are You a Mason? (1934)","1h 10min",NA,NA
"As Husbands Go (1934)","1h 18min",NA,NA
"L'Atalante (1934)","1h 29min",7.8,14670
"Atlantäventyret (1934)","1h 28min",4.7,26
"Autumn Crocus (1934)","1h 26min",7.4,47
"Babbitt (1934)","1h 14min",6.1,211
"Babes in Toyland (1934)","1h 17min",7.2,6286
"Baby Take a Bow (1934)","PG",6.7,852
"Bachelor Bait (1934)","1h 14min",6.3,264
"Bachelor of Arts (1934)","1h 14min",6.6,5
"Badge of Honor (1934)","1h 8min",6.2,22
"Badger's Green (1934)","1h 8min",8,6
"The Band Plays On (1934)","1h 25min",6.3,48
"Barken Margrethe (1934)","1h 51min",5.9,36
"The Barretts of Wimpole Street (1934)","1h 49min",7,1667
"Bedside (1934)","1h 6min",6.2,220
"Beggar's Holiday (1934)","1h",6.3,7
"Beggars in Ermine (1934)","1h 12min",6,96
"Bella Donna (1934)","1h 31min",5.5,24
"Belle of the Nineties (1934)","1h 13min",6.4,663
"Beloved (1934)","1h 25min",5.9,36
"Besuch am Abend (1934)","1h 26min",NA,NA
"Beyond the Law (1934)","58min",NA,NA
"The Big Shakedown (1934)","1h 4min",6.4,827
"Big Hearted Herbert (1934)","59min",6.2,152
"The Black Cat (1934)","1h 5min",7,9760
"Black Moon (1934)","1h 8min",6,558
"Bleeke Bet (1934)","1h 51min",6.3,42
"Blind Date (1934)","1h 12min",6,209
"Blind Justice (1934)","1h 13min",5.9,8
"Blokkade (1934)","58min",4.2,5
"Blossom Time (1934)","1h 31min",6.7,40
"The Blue Squadron (1934)","1h 36min",NA,NA
"Bolero (1934)","1h 25min",6.7,292
"Bombay Mail (1934)","1h 10min",7.3,62
"Boomerang (1934)","1h 22min",NA,NA
"Born to Be Bad (1934)","1h 2min",6.2,1017
"Borrowed Clothes (1934)","1h 10min",NA,NA
"Bottoms Up (1934)","1h 25min",5.8,117
"The Brand of Hate (1934)","1h 3min",5.5,68
"Lily of Killarney (1934)","1h 28min",5.6,16
"Bright Eyes (1934)","1h 25min",7.3,2019
"British Agent (1934)","1h 20min",6.2,489
"Broadway Bill (1934)","1h 44min",6.7,911
"The Broken Melody (1934)","1h 24min",5.9,77
"En bröllopsnatt på Stjärnehov (1934)","1h 22min",3.8,5
"Bulldog Drummond Strikes Back (1934)","1h 23min",7,314
"Burn 'Em Up Barnes (1934)","3h 30min",6.5,65
"By Your Leave (1934)","1h 22min",5.7,163
"Call It Luck (1934)","1h 5min",7,8
"The Camels Are Coming (1934)","1h 19min",5.8,97
"La canzone del sole (1934)","1h 32min",6.7,7
"The Captain Hates the Sea (1934)","1h 33min",6.4,660
"Caravan (1934)","1h 41min",6.1,103
"Il cardinale Lambertini (1934)","1h 12min",NA,NA
"Carolina (1934)","1h 25min",6.3,53
"The Case of the Howling Dog (1934)","1h 14min",7,674
"The Cat and the Fiddle (1934)","1h 28min",6.4,370
"The Cat's-Paw (1934)","1h 42min",6.7,1158
"The Rise of Catherine the Great (1934)","1h 35min",6.4,580
"Chained (1934)","1h 16min",6.2,806
"Change of Heart (1934)","1h 17min",6.1,278
"Chapaev (1934)","1h 33min",7.2,1170
"Charleys Tante (1934)","1h 31min",NA,NA
"Charlie Chan in London (1934)","1h 19min",7.1,1861
"Charlie Chan's Courage (1934)","1h 10min",6.4,426
"Cheaters (1934)","1h 5min",6.9,15
"Cheating Cheaters (1934)","1h 10min",7.6,8
"Chu Chin Chow (1934)","1h 43min",6.4,131
"La cieca di Sorrento (1934)","1h 8min",5.9,74
"The Circus Clown (1934)","1h 4min",6.2,189
"City Limits (1934)","1h 7min",6.1,36
"City Park (1934)","1h 12min",5.8,26
"La ciudad de cartón (1934)","1h 16min",NA,NA
"Clara Gibbings (1934)","1h 21min",NA,NA
