"Name","RunTime","Rating","Votes"
"Escape from Hong Kong (1942)","1h",5.4,19
"August järjestää kaiken (1942)","1h 35min",6.2,33
"Non mi sposo più (1942)","1h 22min",NA,NA
"The Lady from Lisbon (1942)","1h 15min",5.9,50
"Macao l'enfer du jeu (1942)","1h 30min",6.7,145
"Flora y Mariana (1942)","1h 43min",NA,NA
"L'affare si complica (1942)","1h 18min",NA,NA
"Banana Ridge (1942)","1h 28min",6.1,29
"The Bashful Bachelor (1942)","1h 18min",5.6,118
"Billy the Kid Trapped (1942)","59min",5.5,158
"Black Sheep of Whitehall (1942)","1h 20min",6.7,306
"Blue White and Perfect (1942)","1h 14min",6.7,344
"Bob's Your Uncle (1942)","1h 15min",4.7,23
"The Bugle Sounds (1942)","1h 42min",6,195
"C'è un fantasma nel castello (1942)","1h 15min",NA,NA
"Capitan Tempesta (1942)","1h 25min",5.9,11
"La cena delle beffe (1942)","1h 27min",6.2,187
"Un colpo di pistola (1942)","1h 30min",7,63
"Come on Danger (1942)","59min",6.2,108
"El conde de Montecristo (1942)","2h 45min",6.7,52
"Penn of Pennsylvania (1942)","1h 18min",5.6,133
"Croisières sidérales (1942)","1h 35min",5.5,64
"Damen med de lyse Handsker (1942)","1h 21min",4.1,7
"A Date with the Falcon (1942)","1h 3min",6.6,763
"Don't Get Personal (1942)","1h",5.5,6
"Dr. Kildare's Victory (1942)","1h 32min",6.4,243
"Dr. Kovács István (1942)","1h 34min",6,19
"Egy asszony visszanéz (1942)","1h 49min",6.9,12
"Fari nella nebbia (1942)","1h 35min",6.9,56
"Finalmente soli (1942)","1h 28min",5.7,32
"The Foreman Went to France (1942)","1h 27min",6.9,329
"Fortunato (1942)","1h 17min",5.3,13
"Fra' Diavolo (1942)","1h 30min",NA,NA
"Un garibaldino al convento (1942)","1h 23min",6.1,167
"Gert and Daisy's Week-end (1942)","1h 19min",7.2,87
"Das große Spiel (1942)","1h 25min",5.5,32
"Hard Steel (1942)","1h 26min",6.7,7
"Hatter's Castle (1942)","1h 42min",6.6,299
"La isla de la pasión (1942)","2h",6,20
"Kísértés (1942)","1h 33min",6.8,13
"Paren iz nashego goroda (1942)","1h 22min",7,53
"Lady for a Night (1942)","1h 27min",6.1,423
"Land of the Open Range (1942)","1h",6.3,65
"Il leone di Damasco (1942)","1h 25min",4.1,10
"Lucky Ghost (1942)","1h 1min",6.2,131
"Magdolna (1942)","1h 39min",4.6,17
"The Man Who Came to Dinner (1942)","1h 52min",7.6,6914
"Il mercante di schiave (1942)","1h 8min",NA,NA
"Mr. and Mrs. North (1942)","1h 7min",6.1,286
"Obliging Young Lady (1942)","1h 20min",5.8,185
"Oro nero (1942)","1h 25min",NA,NA
"La pantera nera (1942)","1h 17min",NA,NA
"Les petits riens (1942)","1h 28min",6,31
"Primer amor (1942)","1h 35min",NA,NA
"Regina di Navarra (1942)","1h 26min",NA,NA
"Riding the Wind (1942)","1h",5.9,69
"Rodeo Rhythm (1942)","1h 12min",5.8,8
"Rossini (1942)","1h 52min",6,12
"A régi nyár (1942)","1h 20min",6.1,16
"Sealed Lips (1942)","1h 2min",6.3,54
"The Seventh Survivor (1942)","1h 15min",6.3,71
"Sissignora (1942)","1h 34min",NA,NA
"Small Town Deb (1942)","1h 13min",6.7,6
"Take My Life (1942)","1h 10min",NA,NA
"They Flew Alone (1942)","1h 43min",6.2,222
"Thundering Hoofs (1942)","1h 1min",6.6,58
"Tragica notte (1942)","1h 20min",6.9,50
"Turbamento (1942)","1h 26min",NA,NA
"L'ultimo addio (1942)","1h 23min",NA,NA
"L'uomo venuto dal mare (1942)","1h 25min",NA,NA
"Vertigine (1942)","1h 29min",NA,NA
"Violette nei capelli (1942)","1h 25min",6.4,13
"Voglio vivere così (1942)","1h 23min",NA,NA
"Wild Bill Hickok Rides (1942)","1h 22min",5.9,120
"'Neath Brooklyn Bridge (1942)","1h 1min",5.7,616
"A 2000 pengös férfi (1942)","1h 28min",7.2,13
"A che servono questi quattrini? (1942)","1h 25min",7.5,45
"¡A mí la Legión! (1942)","1h 22min",4.8,56
"A-Haunting We Will Go (1942)","1h 7min",6.5,1095
"Acque di primavera (1942)","1h 25min",NA,NA
"Across the Pacific (1942)","1h 37min",6.9,4316
"Addio Kira! (1942)","1h 36min",7.1,81
